Reporter Identifier	VALUE
1	0.000686639
2	0.000817179
3	0.012964766
4	0.001733183
5	0.001201989
6	0.001753241
7	0.480177597
8	0.004592324
9	0.047063095
10	0.039927872
11	0.229177926
12	0.001091585
13	0.000717487
14	0.000534301
15	0.000133298
16	0.089178516
17	0.000992146
18	0.000402825
19	0.136714674
20	0.007621761
21	0.000622275
22	0.002840459
23	0.157120137
24	9.481005033
25	21.73186372
26	26.38306004
27	0.171269481
28	0.000655571
29	0.030276453
30	0.048547473
31	0.000610653
32	4.560335607
33	0.04524305
34	0.001308872
35	0.069325984
36	0.180121213
37	0.002597141
38	6.805211499
39	0.118498442
40	0.151442286
41	3.424848094
42	0.171911743
43	0.453740707
44	0.938897779
45	3.986824226
