Reporter Identifier	VALUE
1	0.000728603
2	0.000995232
3	0.011988708
4	0.001604367
5	0.001069773
6	0.001539439
7	0.614514944
8	0.003634367
9	0.051779326
10	0.028462772
11	0.214778279
12	0.000913834
13	0.000853288
14	0.000493802
15	0.000113937
16	0.082048456
17	0.000948095
18	0.000353898
19	0.132450023
20	0.007098451
21	0.000671149
22	0.002611908
23	0.146028311
24	11.21703909
25	22.95632819
26	28.42956265
27	0.265635524
28	0.000697857
29	0.026661837
30	0.047891718
31	0.000795925
32	3.801898456
33	0.041081139
34	0.001384058
35	0.06946933
36	0.196121554
37	0.003017396
38	7.888330511
39	0.101048513
40	0.124301878
41	3.404681869
42	0.171480924
43	0.455625374
44	0.941426259
45	3.993129887
