Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [sensitized with]	Characteristics [strain background]	Term Source REF	Term Accession Number	Characteristics [treated with]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue [SENSITIZED WITH]
GSM1057268 1	P1 HDM5-3	Pglyrp1-/-_HDM for 5 weeks	Pglyrp1-/- mice sensitized with HDM for 5 weeks, expt 3	Pglyrp1-/-	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057268 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057268 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057268	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057268_sample_table.txt norm	GSM1057268_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	Pglyrp1-/-	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks
GSM1057267 1	P1 HDM5-2	Pglyrp1-/-_HDM for 5 weeks	Pglyrp1-/- mice sensitized with HDM for 5 weeks, expt 2	Pglyrp1-/-	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057267 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057267 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057267	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057267_sample_table.txt norm	GSM1057267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	Pglyrp1-/-	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks
GSM1057266 1	P1 HDM5-1	Pglyrp1-/-_HDM for 5 weeks	Pglyrp1-/- mice sensitized with HDM for 5 weeks, expt 1	Pglyrp1-/-	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057266 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057266 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057266	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057266_sample_table.txt norm	GSM1057266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	Pglyrp1-/-	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks
GSM1057265 1	WT HDM5-3	WT_HDM for 5 weeks	WT mice sensitized with HDM for 5 weeks, expt 3	wild type	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057265 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057265 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057265	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057265_sample_table.txt norm	GSM1057265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	wild type	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks
GSM1057264 1	WT HDM5-2	WT_HDM for 5 weeks	WT mice sensitized with HDM for 5 weeks, expt 2	wild type	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057264 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057264 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057264	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057264_sample_table.txt norm	GSM1057264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	wild type	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks
GSM1057263 1	WT HDM5-1	WT_HDM for 5 weeks	WT mice sensitized with HDM for 5 weeks, expt 1	wild type	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057263 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057263 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057263	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057263_sample_table.txt norm	GSM1057263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	wild type	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 5 weeks
GSM1057262 1	P1 HDM3-3	Pglyrp1-/-_HDM for 3 weeks	Pglyrp1-/- mice sensitized with HDM for 3 weeks, expt 3	Pglyrp1-/-	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057262 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057262 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057262	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057262_sample_table.txt norm	GSM1057262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	Pglyrp1-/-	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks
GSM1057261 1	P1 HDM3-2	Pglyrp1-/-_HDM for 3 weeks	Pglyrp1-/- mice sensitized with HDM for 3 weeks, expt 2	Pglyrp1-/-	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057261 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057261 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057261	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057261_sample_table.txt norm	GSM1057261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	Pglyrp1-/-	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks
GSM1057260 1	P1 HDM3-1	Pglyrp1-/-_HDM for 3 weeks	Pglyrp1-/- mice sensitized with HDM for 3 weeks, expt 1	Pglyrp1-/-	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057260 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057260 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057260	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057260_sample_table.txt norm	GSM1057260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	Pglyrp1-/-	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks
GSM1057259 1	WT HDM3-3	WT_HDM for 3 weeks	WT mice sensitized with HDM for 3 weeks, expt 3	wild type	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	lung, right lobe	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks	BALB/c	EFO	EFO_0000602	  	P-GSE43137-2	ArrayExpress	GSM1057259 extract 1	total RNA	P-GSE43137-3	ArrayExpress	GSM1057259 LE 1	SYBR Green	P-GSE43137-4	ArrayExpress	GSM1057259	A-GEOD-16426	ArrayExpress	array assay	P-GSE43137-1	ArrayExpress	P-GSE43137-5	ArrayExpress	GSM1057259_sample_table.txt norm	GSM1057259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43137/E-GEOD-43137.processed.1.zip	wild type	10 �l per application of 2.5 mg/ml of purified house dust mite allergen (HDM) for 3 weeks
