Reporter Identifier	VALUE
1	0.001608063
2	0.001242912
3	0.003637946
4	0.000724734
5	0.000254251
6	0.000136202
7	0.296836416
8	0.002794954
9	0.004838381
10	0.005773813
11	0.002793946
12	3.14744E-05
13	4.37257E-05
14	0.000960278
15	6.29489E-05
16	0.10674497
17	0.000355624
18	0.000134654
19	0.024766606
20	0.010430412
21	0.000648386
22	0.001246709
23	0.013410808
24	3.644548249
25	9.293615769
26	0.515677141
27	0.162954376
28	0.000821154
29	0.006544234
30	0.040919718
31	0.000233052
32	2.427952168
33	0.046344438
34	0.000883024
35	0.020596457
36	0.025551291
37	0.001569521
38	0.008577304
39	0.001959145
40	0.012638245
41	2.988745391
42	0.116349749
43	0.392765468
44	0.814699541
45	8.987002479
