ID_REF	P1 PBS-1/WT PBS-1	P1 PBS-2/WT PBS-2	P1 PBS-3/WT PBS-3	WT HDM3-1/WT PBS	WT HDM3-2/WT PBS	WT HDM3-3/WT PBS	P1 HDM3-1/P1 PBS	P1 HDM3-2/P1 PBS	P1 HDM3-3/P1 PBS	WT HDM5-1/WT PBS	WT HDM5-2/WT PBS	WT HDM5-3/WT PBS	P1 HDM5-1/P1 PBS	P1 HDM5-2/P1 PBS	P1 HDM5-3/P1 PBS				
1	0.633	0.758	0.613	0.399	0.427	0.453	0.972	1.011	1.160	2.103	1.835	2.531	1.922	1.635	1.574				
2	0.859	0.742	0.983	0.739	0.658	0.801	1.440	1.087	1.578	2.674	2.950	2.844	1.946	2.195	1.922				
3	0.981	0.886	0.932	3.170	3.564	3.296	11.701	7.723	9.517	2.705	3.039	3.820	6.268	5.141	4.351				
4	0.912	0.964	0.957	2.573	2.392	2.214	4.498	4.056	4.411	2.507	2.170	2.380	2.624	2.416	3.028				
5	0.810	0.730	0.769	4.513	4.727	4.207	3.141	2.737	3.551	5.411	4.847	5.981	2.227	2.619	2.662				
6	1.181	1.331	1.440	13.699	12.874	11.304	2.461	2.182	2.830	14.102	16.812	12.896	7.614	7.295	7.851				
7	0.836	0.991	0.910	1.846	1.618	2.071	0.992	1.244	1.412	3.194	3.616	2.874	1.618	1.912	1.553				
8	0.896	0.984	0.852	1.461	1.643	1.300	1.434	0.978	1.173	1.984	2.261	1.579	1.333	1.117	1.726				
9	0.843	0.795	0.907	8.962	9.733	10.708	5.536	6.998	6.535	11.751	14.502	10.068	6.081	6.272	6.389				
10	0.771	0.844	0.806	6.138	6.916	4.930	5.870	6.397	6.297	7.010	7.909	6.311	4.127	4.234	4.838				
11	0.915	0.839	0.763	99.519	82.047	76.892	21.911	29.072	31.769	106.841	118.266	103.411	52.198	41.387	49.580				
12	0.906	1.100	1.039	22.519	28.302	23.694	13.275	11.033	16.151	28.760	29.699	33.228	17.894	19.987	15.886				
13	1.034	1.166	0.910	26.974	20.840	24.784	8.559	7.309	9.980	27.471	27.642	25.144	8.496	10.166	12.519				
14	0.742	0.603	0.669	0.585	0.556	0.514	0.748	0.447	0.336	2.860	3.252	2.335	2.295	2.523	2.138				
15	0.840	0.969	0.733	2.368	2.668	2.281	2.200	2.317	2.466	6.201	6.392	6.545	2.737	3.215	3.313				
