ID_REF	WT PBS-1	WT PBS-2	WT PBS-3	P1 PBS-1	P1 PBS-2	P1 PBS-3	WT HDM3-1	WT HDM3-2	WT HDM3-3	P1 HDM3-1	P1 HDM3-2	P1 HDM3-3	WT HDM5-1	WT HDM5-2	WT HDM5-3	P1 HDM5-1	P1 HDM5-2	P1 HDM5-3
1	28.9039	29.1682	29.0361	30.0112	29.7895	30.0767	30.7412	30.6423	30.5513	30.0456	29.9872	29.7896	27.9843	28.2341	27.7059	28.9665	29.3123	29.3067
2	29.3665	29.4488	29.4077	30.0327	30.1005	29.7666	30.2227	30.3912	30.1014	29.4859	29.8897	29.3524	28.0089	27.9210	27.9088	28.9560	28.8944	29.0256
3	27.6271	28.0889	27.8583	28.1023	28.4841	28.2932	26.5723	26.4034	26.5109	24.7897	25.3876	25.0869	26.4432	26.3287	25.9340	25.5953	25.9933	26.1734
4	30.1215	30.2499	30.1859	30.7011	30.5236	30.5823	29.2011	29.3065	29.4125	28.4781	28.6258	28.5054	28.8802	29.1424	28.9440	29.1605	29.3921	29.0057
5	31.3482	32.0441	31.6971	32.0996	32.7195	32.4096	29.9011	29.8345	29.9972	30.8032	31.0008	30.6254	29.2811	29.4934	29.1254	31.2043	31.0827	30.9988
6	31.6933	33.5013	32.5976	31.9007	33.3103	32.4055	29.2001	29.2899	29.4721	31.2847	31.4567	31.0821	28.8001	28.6001	28.9178	29.5602	29.7342	29.5676
7	21.5439	21.4727	21.5079	22.2500	21.7065	21.9782	21.0021	21.1925	20.8312	22.0342	21.7074	21.5241	19.8534	19.7278	19.9945	21.2340	21.1056	21.3443
8	28.2649	28.2117	28.2386	28.8705	28.4567	28.8035	28.0705	27.9007	28.2328	28.2350	28.7857	28.5236	27.2705	27.1357	27.5887	28.2452	28.6133	27.9240
9	27.4379	27.4575	27.4469	28.1322	28.0096	27.9209	24.6622	24.5434	24.4002	25.5971	25.2576	25.3568	23.9132	23.6634	24.1250	25.3666	25.4342	25.3470
10	27.1801	27.2031	27.1919	28.0027	27.6695	27.8361	24.9527	24.7806	25.2635	25.3278	25.2023	25.2256	24.4027	24.2823	24.5432	25.7412	25.8162	25.5632
11	28.0233	28.4550	28.2391	28.5990	28.9285	28.9637	21.9809	22.2596	22.3478	24.4219	24.0125	23.8850	21.5203	21.4274	21.5562	23.0745	23.5215	23.2003
12	34.4101	34.1313	34.7111	38.2031	34.2148	34.9895	30.3031	29.9735	30.2245	31.0492	31.3147	30.7654	29.5920	29.5993	29.3725	30.5234	30.4760	30.7467
13	34.5072	35.0000	34.2368	34.9065	35.0000	34.7065	30.2065	30.5789	30.3234	31.8187	32.0450	31.5961	29.8220	29.8667	29.9385	31.7342	31.5876	31.2265
14	29.8535	29.7058	29.7799	30.7317	30.6574	30.6946	30.9317	31.0042	31.1125	31.1587	31.8985	32.3142	28.2842	28.1524	28.5654	29.4460	29.4215	29.6002
15	34.0197	34.4018	33.7111	34.7191	34.6683	34.4937	33.1791	33.0072	33.2282	33.5345	33.4586	33.3689	31.4321	31.4421	31.3432	33.1243	33.0045	32.9003
16	22.8586	23.1078	22.9834	23.2361	23.1632	23.1997	23.8361	23.6213	23.7361	23.5475	23.9986	23.6859	22.9361	22.7843	22.6123	22.9457	23.3450	23.3731
17	31.0760	31.3491	31.2130	31.9504	32.1217	31.8411	29.9994	30.1113	30.1714	30.1428	30.0042	30.2256	28.6621	28.7265	28.7255	30.6657	30.7122	30.4762
18	32.1338	33.0940	32.6141	32.5907	33.3954	33.0763	31.6407	31.4117	31.5931	30.7842	30.8812	30.9553	30.0721	30.1557	30.1701	29.7764	30.2325	29.8996
19	24.8891	25.2923	25.0911	25.9796	26.0566	25.9181	23.4296	23.0049	23.0452	22.8445	23.0745	22.6458	22.6296	22.7763	22.3936	21.8678	21.7968	22.0623
20	26.2999	26.3770	26.3387	27.0011	27.0661	27.0336	27.4011	27.1698	27.2670	26.3760	26.6236	26.7859	27.4019	27.5561	27.3732	27.2554	27.2113	26.8853
21	30.3195	30.3755	30.3465	31.1063	31.0048	30.9005	30.7063	30.7843	30.6698	30.1024	29.9924	30.3254	29.7063	29.9834	30.1045	29.7866	29.6997	29.6734
22	29.2367	29.5692	29.4033	30.0511	30.0233	29.9002	28.6511	28.5938	28.7094	28.3247	28.0143	28.1621	27.7872	27.6962	27.5437	27.6445	27.6122	27.2565
23	25.8248	26.1283	25.9761	26.3566	26.4007	26.4786	22.7066	22.8042	22.9044	24.3684	24.4123	24.4851	22.2852	22.5058	22.0743	24.1532	24.0776	24.3537
24	17.7513	18.0289	17.8899	18.5680	18.5165	18.3422	16.7768	16.8891	16.6411	16.9214	17.0256	17.1245	16.3248	16.0210	16.4356	16.9886	17.3234	17.0703
25	16.5391	16.5408	16.5394	17.1908	17.1826	16.9302	15.4908	15.6924	15.6079	14.9621	15.0547	15.2008	11.6145	11.8321	11.3745	13.1561	13.1122	12.6997
26	20.1796	21.2421	20.7111	21.5977	22.3212	21.9595	15.4977	15.4126	15.2994	17.2059	17.4069	17.0002	14.6362	14.3134	14.4463	15.6767	15.9337	15.6775
27	22.4187	22.3267	22.3731	23.2089	23.0413	23.3251	22.8002	22.6798	22.0412	23.1568	23.2887	22.8140	21.4601	21.6621	21.7886	22.8754	22.9995	22.7873
28	30.3173	29.6952	30.0057	31.9742	30.8830	31.4286	30.8442	30.7091	30.6135	32.2580	32.3047	32.0003	30.8072	30.7992	30.7113	32.2599	32.1556	32.0062
29	27.1231	26.8985	27.0112	28.4652	27.9561	28.2907	25.2652	25.1798	25.3578	26.6543	26.8547	26.4547	23.7350	23.5003	23.2254	25.2723	25.5265	24.9965
30	24.5330	24.2016	24.3667	25.0157	24.6008	24.9982	24.4007	24.4986	24.5128	24.6657	24.6657	24.4135	23.7820	23.8762	23.6275	24.3472	24.5856	24.0053
31	31.8848	31.7628	31.8227	32.5001	32.3452	32.5926	30.6001	30.8115	30.4238	32.1253	31.7475	31.8825	29.3432	29.7931	29.0826	31.3236	31.1247	31.1293
32	18.4337	18.5186	18.4759	18.2935	18.0107	18.3021	18.0035	17.9450	18.2020	17.1247	17.3257	17.5123	18.3345	18.3769	18.2568	17.3564	17.2455	16.9210
33	24.3556	24.0195	24.1871	25.0901	24.5247	24.7674	24.6901	24.6003	24.7341	23.7670	23.9989	24.1453	25.1547	25.2864	25.1792	23.9443	23.7445	23.7003
34	29.0747	29.7280	29.9009	29.3043	29.9582	30.1312	29.5043	29.7116	29.6256	28.7247	28.4756	28.6132	30.5482	30.3753	30.1044	28.7845	28.7112	28.5063
35	25.2685	25.4449	25.3571	26.1957	26.0728	26.3242	23.8457	23.9846	23.9762	25.4086	25.2684	25.5658	23.5231	23.5863	23.4644	24.7678	24.7842	24.8002
36	24.9504	25.1429	25.0461	25.4999	25.5627	25.3313	22.5299	22.6071	22.4789	23.3860	23.2684	23.2524	22.1232	21.9430	22.1760	22.9998	23.2302	22.9340
37	29.0579	29.0834	29.0711	29.6596	29.6593	29.6595	29.0596	28.7230	28.5012	29.6742	29.1568	29.3452	27.7268	27.9944	27.6246	28.9764	28.9738	29.1265
38	26.3987	26.8434	26.6209	27.2066	27.3204	27.0635	17.2066	17.3675	17.1490	18.5870	18.3682	18.2023	17.0012	16.9780	16.7632	18.1134	17.9670	17.4027
39	28.2899	29.2115	28.7512	28.7709	29.5005	29.1357	23.6709	23.2112	23.4356	24.0154	24.2561	23.8561	22.6927	22.3327	22.9050	23.6478	23.5377	23.7594
40	25.6660	26.4570	26.0617	37.0027	35.9135	36.4581	22.6607	22.8573	23.1368	38.6689	39.4580	39.6532	22.6072	22.8494	22.9678	38.9876	39.5532	39.6578
41	18.1536	18.1972	18.1761	18.3577	18.3038	18.3308	18.3577	18.3581	18.3612	18.3568	18.3512	18.3566	18.2266	18.1456	18.0345	18.2238	18.3122	18.3212
42	22.7434	22.9739	22.8591	22.6736	22.5186	22.5961	22.6736	22.6744	22.6726	22.6738	22.6742	22.6729	22.9282	22.8652	22.6642	22.5123	22.4887	22.3088
43	21.0738	21.1345	21.1039	21.2739	21.2251	21.2495	21.2739	21.2742	21.2628	21.2741	21.2747	21.2745	21.0994	21.1432	21.1240	21.1288	21.3214	21.3186
44	20.0069	20.0931	20.0513	20.2246	20.1467	20.1857	20.2246	20.2251	20.2158	20.2229	20.2236	20.2238	20.1489	20.2319	20.1129	20.1045	20.3312	20.2317
45	16.4549	16.7199	16.5878	18.1400	18.0297	18.0849	18.1400	18.1389	18.1312	18.1447	18.1414	18.1398	16.4758	16.7613	16.8874	18.2276	18.3044	18.2745
