gene_symb,gene_symb_1
Abca2,Sh3glb2
Abcb6,Nkx2-9
Abce1,Irf3
Abcf3,Acot8
Abhd14a,Nr4a2
Abhd17b,Chid1
Abhd18,Pex1
Abhd4,Entpd4
Abhd8,Syngap1
Abraxas1,Clec4b1
Acad9,Ifnar1
Acap3,Gm1673
Accs,Impdh1
Ace,Phkg1
Aco2,Hip1r
Acot13,Kif24
Acp1,Adamts10
Acp2,Zfp738
Acss2,Serpina1e
Actc1,Ccser1
Actl6a,Unc79
Actr2,Ccdc114
Actr3,Gja6
Actr6,Angpt4
Adamts15,Pnmal1
Adamts9,Kcnn2
Adgrg1,Spin2c
Adgrl4,Wdr25
Adh1c,Fcgbp
Adprs,Fnbp1
Aebp1,Igkv6-25
Agap1,Slc38a10
Agxt2,Bdh2
Aif1,Mylk4
Aimp2,Ctse
Aip,Zup1
Akap7,Gm49396
Akap8,Ifitm6
Akap8l,Rgs3
Akr1a1,Ift122
Alas2,Acy1
Aldh16a1,Vmn2r57
Aldh1a1,Gm14391
Aldh1a3,Hes7
Aldh3a2,Lias
Aldh6a1,Krtcap2
Aldh9a1,Aqp4
Alg10,Gpr27
Alg14,Acin1
Alg2,Gm42715
Alkbh3,Stk40
Angpt2,Upk3a
Ankhd1,Fbxo2
Ankrd10,Lratd1
Ano6,Csnk1d
Anxa5,Epc1
Anxa7,Gprc5a
Ap1s1,Yif1b
Ap2b1,Mapk9
Ap3s1,A4galt
Ap3s2,Zfp513
Apbb1ip,Tmem8
Apeh,Vwa5b2
Appl2,Dicer1
Aqp5,Nupl2
Araf,Adamts9
Arb2a,Fam214b
Arfgap1,Srsf11
Arfgap2,Gkap1
Arhgdia,Tcerg1
Arhgef1,Rbm27
Arl13b,Plekhh3
Armt1,Traf7
Arpp19,Proser2
Arsl,Rsc1a1
Atat1,Usp33
Atg2a,Trafd1
Atg4b,Krt86
Atl2,Marveld3
Atp11a,Llgl1
Atp5mc1,Ercc5
Atp5me,Klf9
Atp6v0a1,B4galt3
Atp6v1e2,Clcn7
Atrn,Heatr1
Atxn7l2,Zfp560
Aup1,Ino80
Aven,Zfp956
Azi2,Bag6
B3gat3,Jag2
B3gnt2,Plaur
B4galt7,Irf2bp2
B9d2,Urb1
Bbs4,Stx1a
Bckdhb,Ccl17
Bcl6b,Asb14
Bclaf1,Ddb2
Bdnf,Setd2
Becn1,Rnf25
Bicral,Krt7
Bin2,Smurf1
Bltp2,BC051142
Blzf1,Srrm1
Bmerb1,Fyttd1
Boc,Becn1
Bod1,Phrf1
Borcs5,Zfp341
Brd4,2900026A02Rik
Brd8,Arhgef6
C17h6orf62,Serpina3i
C18h18orf32,Saxo2
C1h16orf54,9030624G23Rik
C1h16orf92,Sdccag8
C1qtnf5,Rexo1
C20h6orf136,Erf
C2h4orf33,D930048N14Rik
C2h5orf34,Kmt5b
C3,Klf15
C4bpa,Tsc22d3
C5ar1,Cops7a
C7h12orf56,Pprc1
C8h11orf52,Herpud1
Cab39l,Jund
Cabp4,Swi5
Calca,Nodal
Calml4,Birc6
Camk2d,Prdx6
Camkk1,Fpgs
Capn15,Rpgr
Capn7,Gm14406
Capzb,Pim3
Car11,Ppl
Car8,Npm2
Carf,Ptpn18
Cars2,Atp6v0e2
Casp6,Abca8b
Castor1,Sec31b
Cavin3,Nlk
Cbarp,Aqp9
Ccdc126,Aamdc
Ccdc17,Slirp
Ccdc43,Dmxl2
Ccdc80,P2rx4
Ccl2,Plekha1
Ccl24,Cenpt
Ccna1,Whamm
Ccng2,Recql4
Ccnj,Bcl3
Ccp110,Ppp2r3d
Cct7,Ndufv3
Cd248,Ovgp1
Cd300a,Camkk2
Cd37,Sema6b
Cd47,Tlk2
Cd79a,Spaca6
Cdc26,Csad
Cdc40,Fkbp5
Cdc42ep1,Rprd1b
Cdk5rap1,Gm14443
Cdkn1b,Fhl1
Cdkn1c,P4ha2
Cela1,Styk1
Cep162,Dot1l
Cep95,Mapk1ip1
Cfap206,Lmo7
Cfap298,Hmgn3
Cfap97,Atf5
Chchd1,Desi2
Chchd4,Hsf2
Chkb,Armc10
Chlsn,Large2
Chmp1b,Agbl5
Chp1,Ric1
Cish,Rgcc
Ciz1,Fdx1
Cks2,Mbl1
Clk3,Cep112
Clpx,1700067K01Rik
Clta,Pakap
Cmss1,Zdhhc3
Cmtm3,Atm
Cmtm7,Kat2a
Cnih1,Vwa3a
Cnot10,Txnip
Cnot9,Lilr4b
Cnr1,Vps39
Cog3,Lrrc47
Cog4,E4f1
Col1a1,Cipc
Col4a1,Spink2
Col5a1,Zscan21
Commd8,Gnpda2
Copa,Usp47
Coq5,Tnrc18
Cox4i2,Lig3
Cox6a1,Tomm5
Cox6b2,Banp
Cpq,Psip1
Cpsf1,Sorbs3
Cpsf4,Grk3
Crat,Prom1
Crebl2,Srrm2
Creld1,Shank3
Crem,Vgll4
Crp,Tead4
Cryzl1,Fez1
Csad,Igsf23
Csf1r,Tnfaip8l3
Csgalnact2,Tex9
Csrnp1,Gramd1a
Csrp2,Pms2
Ctbs,Cdipt
Ctc1,Sec31a
Ctdsp1,Pon3
Ctnna1,Abca7
Ctsz,Zfp426
Ctu1,Ngf
Cul1,Phf1
Cul3,Itfg2
Cxcr4,Nrf1
Cxxc1,Rxrb
Cyb5r3,Spata25
Cybc1,Cnot1
Cybrd1,Rpl3
Cycs,Ccdc74a
Dalrd3,Top3a
Dars1,Arih2
Dbp,Rnaseh2a
Dcaf13,Arl4d
Dctn4,Plcd3
Dda1,Mrpl58
Ddx19a,Abhd4
