adj_p_value,p_value,gene_id,gene_symb,p_value_group,has_gene_symble
0.000728983,0.000728983,29304; 100911372,Rps6; LOC100911372,<0.001,TRUE
0.001090532,0.001090532,29754,Atp5mc1,0.001-0.01,TRUE
0.001103578,0.001103578,117553,Uba3,0.001-0.01,TRUE
0.001103578,0.001103578,25584,F3,0.001-0.01,TRUE
0.001103578,0.001103578,259225,Ppp1r14b,0.001-0.01,TRUE
0.001103578,0.001103578,116831,Fxyd3,0.001-0.01,TRUE
0.001103578,0.001103578,361628,Eif4g2,0.001-0.01,TRUE
0.001418177,0.001418177,79248,Abca2,0.001-0.01,TRUE
0.001418177,0.001418177,289752,Ewsr1,0.001-0.01,TRUE
0.001418177,0.001418177,78959,Akr1a1,0.001-0.01,TRUE
0.001435136,0.001435136,266732,Npc1,0.001-0.01,TRUE
0.001435136,0.001435136,310326,Arsl,0.001-0.01,TRUE
0.001435136,0.001435136,24667,Ppm1b,0.001-0.01,TRUE
0.001435136,0.001435136,304799,Ppp1r15b,0.001-0.01,TRUE
0.001435136,0.001435136,361618,Stim1,0.001-0.01,TRUE
0.001435136,0.001435136,81504,Grb2,0.001-0.01,TRUE
0.001955727,0.001955727,293722,B3gat3,0.001-0.01,TRUE
0.001955727,0.001955727,290669,Gatad2a,0.001-0.01,TRUE
0.001955727,0.001955727,288615,Sbds,0.001-0.01,TRUE
0.001979101,0.001979101,81530,Pdk2,0.001-0.01,TRUE
0.001979101,0.001979101,291987,Utp4,0.001-0.01,TRUE
0.001979101,0.001979101,89804,Tek,0.001-0.01,TRUE
0.001979101,0.001979101,363545,Naa60,0.001-0.01,TRUE
0.001979101,0.001979101,689997,Fam91a1,0.001-0.01,TRUE
0.001979101,0.001979101,252891,Sra1,0.001-0.01,TRUE
0.001979101,0.001979101,365668,Mtrex,0.001-0.01,TRUE
0.001979101,0.001979101,84026,Dnaja2,0.001-0.01,TRUE
0.001979101,0.001979101,300474,Adamts15,0.001-0.01,TRUE
0.001979101,0.001979101,303280,Bltp2,0.001-0.01,TRUE
0.001979101,0.001979101,25261,Id1,0.001-0.01,TRUE
0.001979101,0.001979101,363269,Sp100,0.001-0.01,TRUE
0.001979101,0.001979101,299827,Tbk1,0.001-0.01,TRUE
0.00295883,0.00295883,84598,Jak1,0.001-0.01,TRUE
0.00295883,0.00295883,25748,Alas2,0.001-0.01,TRUE
0.00295883,0.00295883,24377,G6pd,0.001-0.01,TRUE
0.00295883,0.00295883,83833,Smarcd2,0.001-0.01,TRUE
0.00295883,0.00295883,287766,Cep95,0.001-0.01,TRUE
0.00295883,0.00295883,361407,Cog4,0.001-0.01,TRUE
0.00295883,0.00295883,308443,B9d2,0.001-0.01,TRUE
0.00295883,0.00295883,113959,C5ar1,0.001-0.01,TRUE
0.00295883,0.00295883,297522,Sec13,0.001-0.01,TRUE
0.00295883,0.00295883,25022,Fgfr2,0.001-0.01,TRUE
