Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	mRNA Splicing, via Spliceosome (GO:0000398)	30/211	1.250192e-06	2.924759e-03	0	0	2.949111e+00	4.008495e+01	SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;METTL14;PUF60;RSRC1;U2AF2;TRA2B;MTREX;RALY;RBM6;SRPK2;RBM17;HNRNPA3;PRMT7;NCBP1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;SF1;SRSF9;RBM22
GO_Biological_Process_2025	Nucleocytoplasmic Transport (GO:0006913)	13/50	1.743523e-06	2.924759e-03	0	0	6.199545e+00	8.220351e+01	NDC1;SEC13;NPM1;CDKN1B;UBE2I;RITA1;NUP93;NEMF;RSRC1;NUP62;NUP88;NUP58;HTATIP2
GO_Biological_Process_2025	Modification-Dependent Protein Catabolic Process (GO:0019941)	29/208	2.792958e-06	3.123458e-03	0	0	2.880233e+00	3.683360e+01	PSMD11;RNF13;PSMD13;RNF14;CUL3;USP33;UBE3B;FBXO21;RCHY1;FBXO22;HERC4;HERC3;RNF217;LONP1;FBXO7;KCMF1;HACE1;UBE2I;SMURF1;SYVN1;KLHL22;UBE2G1;TRPC4AP;UBE2S;TOLLIP;MDM2;MKRN2;UBA1;RNF185
GO_Biological_Process_2025	RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)	25/171	5.704115e-06	4.784326e-03	0	0	3.038008e+00	3.668189e+01	SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;METTL14;RSRC1;U2AF2;TRA2B;MTREX;RALY;RBM6;HNRNPA3;NCBP1;LSM4;CDC40;SMU1;PRPF4;PRPF6;HNRNPK;HNRNPC;SF1;RBM22
GO_Biological_Process_2025	mRNA Processing (GO:0006397)	29/226	1.442605e-05	8.120576e-03	0	0	2.614550e+00	2.914302e+01	SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;MYG1;METTL14;RSRC1;U2AF2;TRA2B;LEO1;MTREX;RALY;RBM6;HNRNPA3;NCBP1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;TRMT61A;SF1;SRSF9;RBM22
GO_Biological_Process_2025	Cytoplasmic Translational Initiation (GO:0002183)	10/36	1.452264e-05	8.120576e-03	0	0	6.771453e+00	7.543265e+01	SLBP;EIF2B4;EIF2B3;EIF2S3;NCBP1;EIF3J;EIF3G;EIF2D;EIF2B1;EIF3B
GO_Biological_Process_2025	Positive Regulation of TOR Signaling (GO:0032008)	14/73	3.161332e-05	1.500499e-02	0	0	4.185949e+00	4.337452e+01	SEC13;HDAC3;PIH1D1;CUL3;KLHL22;CASTOR1;F3;TBK1;PIK3CA;RHEB;LARS1;LONP1;LAMTOR2;LAMTOR4
GO_Biological_Process_2025	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	46/455	3.577940e-05	1.500499e-02	0	0	2.007314e+00	2.055116e+01	PSMD11;RNF13;RNF14;PSMD13;CUL3;USP33;CUL1;UBE3B;TNFAIP1;FBXO21;RCHY1;RNF4;FBXO22;PSMA7;PSMB10;HERC4;HERC3;PSMD2;CHMP1B;RNF217;MVB12A;TBL1X;FBXO7;DCAF13;KCMF1;HACE1;UBE2I;SMURF1;SYVN1;KLHL22;UBE2G1;TRPC4AP;PJA2;SPSB3;PSMA3;PSMA1;UBE2S;TOLLIP;KBTBD2;PELI1;MDM2;TRIM13;MKRN2;UBAP1;UBA1;RNF185
GO_Biological_Process_2025	RNA Processing (GO:0006396)	33/291	4.994512e-05	1.697644e-02	0	0	2.272968e+00	2.251281e+01	FTO;SF3B2;DDX27;PDCD7;TUT4;AKAP8L;HNRNPU;USP39;NOL6;MYG1;METTL14;RSRC1;U2AF2;MTREX;DCAF13;RBM6;SRPK2;RBM39;NCBP1;PIH1D1;WDR18;USB1;LSM4;SMU1;PRPF4;HNRNPK;PRPF6;SBDS;RBMS1;HNRNPC;TRMT61A;RBMS2;SRSF9
GO_Biological_Process_2025	protein-RNA Complex Assembly (GO:0022618)	20/138	5.418023e-05	1.697644e-02	0	0	2.997433e+00	2.944437e+01	SRPK2;PRMT7;NCBP1;RPS5;USP39;LSM4;TARBP2;SART1;PRPF6;EIF2S3;EIF6;PUF60;U2AF2;EIF3J;EIF3G;LUC7L;EIF2D;SF1;SRSF9;EIF3B
