Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,"mRNA Splicing, via Spliceosome (GO:0000398)",30/211,1.2501919861938736e-06,0.0029247592638656,0,0,2.9491114573987502,40.08495235631382,SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;METTL14;PUF60;RSRC1;U2AF2;TRA2B;MTREX;RALY;RBM6;SRPK2;RBM17;HNRNPA3;PRMT7;NCBP1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;SF1;SRSF9;RBM22
GO_Biological_Process_2025,Nucleocytoplasmic Transport (GO:0006913),13/50,1.7435226610227389e-06,0.0029247592638656,0,0,6.199545339732255,82.20350982095738,NDC1;SEC13;NPM1;CDKN1B;UBE2I;RITA1;NUP93;NEMF;RSRC1;NUP62;NUP88;NUP58;HTATIP2
GO_Biological_Process_2025,Modification-Dependent Protein Catabolic Process (GO:0019941),29/208,2.792958236870933e-06,0.0031234582949006,0,0,2.8802327923420226,36.83359560856088,PSMD11;RNF13;PSMD13;RNF14;CUL3;USP33;UBE3B;FBXO21;RCHY1;FBXO22;HERC4;HERC3;RNF217;LONP1;FBXO7;KCMF1;HACE1;UBE2I;SMURF1;SYVN1;KLHL22;UBE2G1;TRPC4AP;UBE2S;TOLLIP;MDM2;MKRN2;UBA1;RNF185
GO_Biological_Process_2025,"RNA Splicing, via Transesterification Reactions With Bulged Adenosine as Nucleophile (GO:0000377)",25/171,5.704114520222868e-06,0.0047843260538369,0,0,3.038007872180646,36.68188771119723,SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;METTL14;RSRC1;U2AF2;TRA2B;MTREX;RALY;RBM6;HNRNPA3;NCBP1;LSM4;CDC40;SMU1;PRPF4;PRPF6;HNRNPK;HNRNPC;SF1;RBM22
GO_Biological_Process_2025,mRNA Processing (GO:0006397),29/226,1.4426051678921712e-05,0.008120575974898,0,0,2.614550323158574,29.14301939903602,SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;MYG1;METTL14;RSRC1;U2AF2;TRA2B;LEO1;MTREX;RALY;RBM6;HNRNPA3;NCBP1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;TRMT61A;SF1;SRSF9;RBM22
GO_Biological_Process_2025,Cytoplasmic Translational Initiation (GO:0002183),10/36,1.4522639597433189e-05,0.008120575974898,0,0,6.771453150763495,75.43264582571722,SLBP;EIF2B4;EIF2B3;EIF2S3;NCBP1;EIF3J;EIF3G;EIF2D;EIF2B1;EIF3B
GO_Biological_Process_2025,Positive Regulation of TOR Signaling (GO:0032008),14/73,3.1613317214327895e-05,0.0150049863820713,0,0,4.18594916839752,43.37452103737656,SEC13;HDAC3;PIH1D1;CUL3;KLHL22;CASTOR1;F3;TBK1;PIK3CA;RHEB;LARS1;LONP1;LAMTOR2;LAMTOR4
GO_Biological_Process_2025,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),46/455,3.577940120911213e-05,0.0150049863820713,0,0,2.007313743566287,20.551155548254563,PSMD11;RNF13;RNF14;PSMD13;CUL3;USP33;CUL1;UBE3B;TNFAIP1;FBXO21;RCHY1;RNF4;FBXO22;PSMA7;PSMB10;HERC4;HERC3;PSMD2;CHMP1B;RNF217;MVB12A;TBL1X;FBXO7;DCAF13;KCMF1;HACE1;UBE2I;SMURF1;SYVN1;KLHL22;UBE2G1;TRPC4AP;PJA2;SPSB3;PSMA3;PSMA1;UBE2S;TOLLIP;KBTBD2;PELI1;MDM2;TRIM13;MKRN2;UBAP1;UBA1;RNF185
GO_Biological_Process_2025,RNA Processing (GO:0006396),33/291,4.994512445605647e-05,0.0169764432667301,0,0,2.27296788482835,22.512805131624443,FTO;SF3B2;DDX27;PDCD7;TUT4;AKAP8L;HNRNPU;USP39;NOL6;MYG1;METTL14;RSRC1;U2AF2;MTREX;DCAF13;RBM6;SRPK2;RBM39;NCBP1;PIH1D1;WDR18;USB1;LSM4;SMU1;PRPF4;HNRNPK;PRPF6;SBDS;RBMS1;HNRNPC;TRMT61A;RBMS2;SRSF9
GO_Biological_Process_2025,protein-RNA Complex Assembly (GO:0022618),20/138,5.418023390596634e-05,0.0169764432667301,0,0,2.99743291292632,29.444366216968987,SRPK2;PRMT7;NCBP1;RPS5;USP39;LSM4;TARBP2;SART1;PRPF6;EIF2S3;EIF6;PUF60;U2AF2;EIF3J;EIF3G;LUC7L;EIF2D;SF1;SRSF9;EIF3B
GO_Biological_Process_2025,Purine Nucleotide Biosynthetic Process (GO:0006164),7/20,5.566046972698409e-05,0.0169764432667301,0,0,9.460108664569631,92.67349833521624,PRPSAP1;PRPSAP2;MTHFD1;NAMPT;NADSYN1;GART;NADK
GO_Biological_Process_2025,Positive Regulation of TORC1 Signaling (GO:1904263),11/52,8.680628465393045e-05,0.024269590417828,0,0,4.724153622133236,44.17948881998963,SEC13;TBK1;RHEB;PIH1D1;LARS1;CUL3;LONP1;KLHL22;CASTOR1;LAMTOR2;LAMTOR4
GO_Biological_Process_2025,Protein Ubiquitination (GO:0016567),38/369,0.00011348742198295618,0.0292884846732936,0,0,2.0418566327931886,18.547855150704255,RNF31;MARCHF2;RNF13;RNF14;CUL3;CUL1;UBE3B;TNFAIP1;RCHY1;RNF4;TANK;FBXO22;DDA1;HERC4;NPEPPS;HERC3;RNF138;FBXO7;MARCHF3;HACE1;TRIM41;SMURF1;SYVN1;KLHL22;UBE2G1;TRPC4AP;PJA2;TRIM17;NFX1;UBE2S;OTULIN;TRIM13;MDM2;MKRN2;RNF181;FBXL3;UBA1;RNF185
GO_Biological_Process_2025,Nuclear Transport (GO:0051169),9/38,0.00015178940487090212,0.0363752466672769,0,0,5.457907917549605,47.99147433122957,NDC1;NUP93;NPM1;SEC13;RSRC1;NUP62;HCLS1;NUP88;NUP58
GO_Biological_Process_2025,Purine-Containing Compound Biosynthetic Process (GO:0072522),7/24,0.00020536673807381307,0.0459336937491761,0,0,7.232670019680735,61.41052688622906,PRPSAP1;PRPSAP2;MTHFD1;SOAT1;SHMT1;PPY;GART
GO_Biological_Process_2025,Nucleotide Biosynthetic Process (GO:0009165),6/18,0.00026276990256439545,0.0545886597126799,0,0,8.77669452181987,72.35710411010497,PRPSAP1;RRM1;PRPSAP2;MTHFD1;PPY;GART
GO_Biological_Process_2025,Protein Polyubiquitination (GO:0000209),26/228,0.0002766042369942056,0.0545886597126799,0,0,2.278960630216285,18.671348554828125,RNF31;RNF14;CUL3;CUL1;UBE3B;RNF4;TANK;FBXO22;DDA1;NPEPPS;TRIM5;CDC26;TRIM27;FBXO7;KCMF1;HACE1;SMURF1;FBXO38;SYVN1;UBE2G1;SPSB3;UBE2S;KBTBD2;PELI1;MDM2;RNF185
GO_Biological_Process_2025,Protein Transport (GO:0015031),32/308,0.00032615639196349386,0.0580196604001381,0,0,2.056399012672541,16.509045929845794,COPA;NECAB3;VPS26C;GOLGA4;GRPEL1;SNX27;SCFD2;CHMP1B;PPY;RAB29;EIF2D;TMED7;SNX6;GSDMD;NDC1;SEC13;NPM1;PAM16;FGG;LAPTM5;TIMM21;FAM91A1;MCOLN1;RAB11A;PDIA4;EHD1;SEC23IP;RAB34;SNX15;GNAS;UNC119;BLZF1
GO_Biological_Process_2025,Positive Regulation of Double-Strand Break Repair via Homologous Recombination (GO:1905168),9/42,0.0003416581594500076,0.0580196604001381,0,0,4.795327577450482,38.27486542741092,ACTR2;VPS72;EP400;PELI1;TIMELESS;YEATS4;BRD8;HDGFL2;WRAP53
GO_Biological_Process_2025,Endoplasmic Reticulum to Golgi Vesicle-Mediated Transport (GO:0006888),16/112,0.0003458698086446388,0.0580196604001381,0,0,2.9398625429553267,23.429082043382408,TRAPPC3;COPA;SEC13;TRAPPC2L;CUL3;TRAPPC10;YIPF4;COG3;ATL2;GOSR1;TRAPPC9;YIF1A;RAB29;TMED7;SEC24D;SEC22A
GO_Biological_Process_2025,Protein Localization to Nucleus (GO:0034504),17/127,0.0004988871127719946,0.0717632672068814,0,0,2.7265819546307357,20.730559005442657,MORC3;SEC13;NPM1;HNRNPU;RPF2;TOR1B;NUP93;COL1A1;NUP62;LMNA;MDM2;FAM53B;FAM53A;NUP88;KPNA3;APPL2;BBS4
GO_Biological_Process_2025,"Alternative mRNA Splicing, via Spliceosome (GO:0000380)",6/20,0.0004997658703954582,0.0717632672068814,0,0,7.522085157182651,57.17815868268984,RBM17;NCBP1;PUF60;RSRC1;HNRNPU;SRSF9
GO_Biological_Process_2025,succinyl-CoA Metabolic Process (GO:0006104),4/8,0.000502065124659889,0.0717632672068814,0,0,17.528266913809084,133.1584000807847,SUCLA2;NUDT19;OGDH;DLST
GO_Biological_Process_2025,Spliceosomal Complex Assembly (GO:0000245),11/63,0.0005133586923890175,0.0717632672068814,0,0,3.722642795637199,28.19729094631423,SRPK2;SF3B2;PRPF6;NCBP1;PUF60;U2AF2;LUC7L;USP39;HTATSF1;SF1;SRSF9
GO_Biological_Process_2025,tRNA Aminoacylation for Protein Translation (GO:0006418),8/36,0.0005605544967355948,0.0752264134619168,0,0,5.020332225913621,37.58513937602054,EPRS1;LARS1;TARS2;YARS1;DTD1;CARS2;DARS1;WARS1
GO_Biological_Process_2025,Endothelial Cell Migration (GO:0043542),9/45,0.0005868428706730186,0.0757253011964606,0,0,4.39501862197393,32.702250000449816,NRP1;CALCA;PIK3CA;TNFSF12;GLMN;ID1;LPXN;FSTL1;LOXL2
GO_Biological_Process_2025,Protein Autoubiquitination (GO:0051865),11/65,0.000676050917036815,0.0799747324045839,0,0,3.584387092316197,26.163309395247182,RNF13;TRIM17;NFX1;CUL3;TRIM13;MDM2;RNF181;RCHY1;RNF4;TANK;RNF185
GO_Biological_Process_2025,Regulatory ncRNA-mediated Gene Silencing (GO:0031047),8/37,0.0006816366149008789,0.0799747324045839,0,0,4.8469607056936646,35.339257707582405,HELZ2;TSNAX;HNRNPK;NCBP1;HNRNPU;ARB2A;SND1;TARBP2
GO_Biological_Process_2025,"Regulation of mRNA Splicing, via Spliceosome (GO:0048024)",14/97,0.0007151242837965774,0.0799747324045839,0,0,2.971767331252043,21.52467187050585,SRPK2;RBM39;NCBP1;FMR1;HNRNPU;SMU1;HNRNPK;PUF60;U2AF2;TRA2B;ARB2A;NSRP1;SF1;SRSF9
GO_Biological_Process_2025,Regulation of TORC1 Signaling (GO:1903432),14/97,0.0007151242837965774,0.0799747324045839,0,0,2.971767331252043,21.52467187050585,SEC13;PIH1D1;CUL3;KLHL22;CASTOR1;TBK1;NPC1;RHEB;LARS1;LONP1;PELI1;LAMTOR2;LAMTOR4;MAPK3
GO_Biological_Process_2025,Positive Regulation of DNA Recombination (GO:0045911),10/56,0.0007601786251943881,0.082270944758941,0,0,3.823291057174115,27.458712426651687,ACTR2;VPS72;KMT5C;PELI1;TIMELESS;EP400;YEATS4;BRD8;HDGFL2;WRAP53
GO_Biological_Process_2025,Post-Transcriptional Gene Silencing (GO:0016441),6/22,0.0008765311434096462,0.0896622187459411,0,0,6.581128133704736,46.32810370366416,TSNAX;HELZ2;NCBP1;GIGYF2;SND1;TARBP2
GO_Biological_Process_2025,Vesicle Coating (GO:0006901),7/30,0.0009086484165013412,0.0896622187459411,0,0,5.344189429448845,37.42831027249853,TRAPPC3;TRAPPC2L;CUL3;TRAPPC10;AP3S2;AP3S1;TRAPPC9
GO_Biological_Process_2025,Negative Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),7/30,0.0009086484165013412,0.0896622187459411,0,0,5.344189429448845,37.42831027249853,DUSP3;CD300A;LAPTM5;GPS2;LPXN;PTPN22;NCK1
GO_Biological_Process_2025,mRNA Metabolic Process (GO:0016071),14/101,0.001073734464589,0.1029251179627541,0,0,2.8345322193907725,19.37859855336446,SF3B2;YTHDF2;NCBP1;AKAP8L;CNOT10;USP39;HNRNPAB;SND1;EREG;MYG1;METTL14;U2AF2;TRMT61A;SRSF9
GO_Biological_Process_2025,Protein Homotetramerization (GO:0051289),10/59,0.0011582774109549,0.1036648822004214,0,0,3.5886414211537363,24.26216360262503,ALDH1A3;SHMT1;OSBPL2;ACOT13;AQP5;MCOLN1;SOD2;APPL2;GRIA3;ALDH9A1
GO_Biological_Process_2025,Organelle Assembly (GO:0070925),33/346,0.001186788040741,0.1036648822004214,0,0,1.868041989958923,12.584073732007113,BECN1;ABCB6;FMR1;CFAP298;ARL13B;PTPMT1;CHMP1B;TEKT1;NUDT19;MVB12A;AP1S1;AP3S2;AP3S1;BBS4;ACTR3;ACTR2;YTHDF1;YTHDF2;RFX2;IRGM;RAB11A;TMEM231;EHD1;ATAT1;TTC8;EHD4;RAB34;ATG2A;UBAP1;ATG4B;CEP162;B9D2;IFT25
GO_Biological_Process_2025,Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569),12/80,0.0011916562780668,0.1036648822004214,0,0,3.105783489866534,20.90941127009767,ACTR2;RTEL1;VPS72;ACTL6A;PELI1;TIMELESS;EP400;YEATS4;BRD8;SENP3;HDGFL2;WRAP53
GO_Biological_Process_2025,Protein K48-linked Ubiquitination (GO:0070936),13/91,0.0012050463206606,0.1036648822004214,0,0,2.934423676012461,19.722957784216412,KCMF1;HACE1;CUL3;FBXO38;CUL1;SYVN1;UBE2G1;RNF4;SPSB3;CDC26;KBTBD2;PELI1;FBXO7
GO_Biological_Process_2025,RNA Splicing (GO:0008380),13/92,0.0013352244931613,0.1102371831529578,0,0,2.8971252809653376,19.17507516469597,SRPK2;SF3B2;NCBP1;PDCD7;USB1;USP39;LSM4;SMU1;PRPF4;PRPF6;RSRC1;TRA2B;HNRNPC
GO_Biological_Process_2025,Regulation of Translation (GO:0006417),22/201,0.0013556553913052,0.1102371831529578,0,0,2.170588514050727,14.333416694819965,EIF2B4;NPM1;YTHDF1;NCBP1;IFRD2;SHMT1;FMR1;UPF3A;CNOT10;ELP6;ELAVL1;GIGYF2;METTL14;EIF6;EPRS1;TCOF1;ERBB2;PAIP2;CNOT9;EIF4E;EIF4G2;EIF3B
GO_Biological_Process_2025,"Regulation of Phagocytosis, Engulfment (GO:0060099)",4/10,0.0013800183882039,0.1102371831529578,0,0,11.684275563793635,76.9486481586067,C3;CD300A;ANO6;APPL2
GO_Biological_Process_2025,Aminoglycan Biosynthetic Process (GO:0006023),6/24,0.0014409472920168,0.1124273991794524,0,0,5.8492726709996905,38.26860054207321,EXT1;EXT2;B3GAT3;B3GNT2;PXYLP1;B4GALT7
