Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Negative Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)	7/31	1.795483e-04	2.772540e-01	0	0	7.062237e+00	6.091226e+01	PER1;NCOR1;CNOT1;CNOT2;CRY2;NODAL;FOXP1
GO_Biological_Process_2025	Intracellular Receptor Signaling Pathway (GO:0030522)	7/35	3.995650e-04	2.772540e-01	0	0	6.052083e+00	4.735836e+01	BECN1;IRF3;NR1H2;STAT3;CRY2;NR1D2;NR1D1
GO_Biological_Process_2025	Negative Regulation of DNA-templated Transcription (GO:0045892)	62/1006	4.687523e-04	2.772540e-01	0	0	1.626978e+00	1.247149e+01	TCERG1;CIITA;EHMT2;UBE2D3;CTNND1;ZBTB21;CHD3;ING1;IKZF4;SOX2;FLCN;EPC1;TLE2;RBFOX2;TLE1;DICER1;SIRT2;FOXP1;MED25;KAT2A;NCOR1;THAP7;CRY2;DPEP2;LCOR;ATF5;VGLL4;HDAC3;MAX;CTBP1;CIPC;GPS2;FOXO3;HIF1A;BCLAF1;E4F1;SKIL;CBX6;JUND;NR1H2;PCGF2;STAT3;PDE2A;NR2F1;IRF2BP2;NR1D2;NR1D1;SMARCA2;PHC3;MEIS2;PML;NR4A2;PER1;WT1;CNOT1;ID2;CNOT2;MAFF;BCL3;MDM4;BCOR;RCOR1
GO_Biological_Process_2025	Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	48/732	5.465311e-04	2.772540e-01	0	0	1.730278e+00	1.299771e+01	TCERG1;CIITA;HDAC3;CTBP1;MAX;EHMT2;CTNND1;UBE2D3;ZBTB21;GPS2;CHD3;FOXO3;ING1;SOX2;FLCN;EPC1;E4F1;SKIL;CBX6;JUND;NR1H2;PCGF2;STAT3;PDE2A;NR2F1;IRF2BP2;NR1D2;DICER1;NR1D1;SMARCA2;MEIS2;SIRT2;NR4A2;PER1;KAT2A;MED25;NCOR1;WT1;CNOT1;THAP7;CNOT2;ID2;MAFF;CRY2;DPEP2;LCOR;MDM4;BCOR
GO_Biological_Process_2025	Renal Filtration Cell Differentiation (GO:0061318)	3/5	5.979598e-04	2.772540e-01	0	0	3.617902e+01	2.685202e+02	WT1;PROM1;KLF15
GO_Biological_Process_2025	Glomerular Epithelial Cell Differentiation (GO:0072311)	3/5	5.979598e-04	2.772540e-01	0	0	3.617902e+01	2.685202e+02	WT1;PROM1;KLF15
GO_Biological_Process_2025	Negative Regulation of Intracellular Signal Transduction (GO:1902532)	24/297	8.958601e-04	3.343514e-01	0	0	2.147097e+00	1.506774e+01	GSK3B;RUBCN;TLE1;PLEKHA1;PDE2A;STAT3;CTNND1;RTKN2;PLAUR;ABCA7;NMI;NR1D1;GMIP;TARBP2;HERPUD1;DHDDS;ARHGAP12;PER1;FLCN;SIKE1;BANK1;CNOT1;DLG5;VGLL4
GO_Biological_Process_2025	Regulation of Autophagy (GO:0010506)	20/230	9.614707e-04	3.343514e-01	0	0	2.321780e+00	1.612951e+01	GSK3B;RUBCN;BECN1;SETD2;ATP6V1G2;DAPK2;USP33;STAT3;FOXO3;GPR137B;SIRT2;TPCN2;FLCN;TLK2;GPR137;ATM;SMCR8;ATP6V0E2;EIF4G3;EIF4E
GO_Biological_Process_2025	Negative Regulation of RNA Biosynthetic Process (GO:1902679)	33/470	1.295063e-03	4.003184e-01	0	0	1.849819e+00	1.229981e+01	CIITA;HDAC3;CTBP1;CIPC;ZBTB21;CHD3;IKZF4;BCLAF1;EPC1;TLE2;RBFOX2;TLE1;NR1H2;NR1D2;NR1D1;PHC3;SMARCA2;SIRT2;PML;FOXP1;PER1;NCOR1;WT1;THAP7;ID2;BCL3;CRY2;DPEP2;MDM4;BCOR;ATF5;RCOR1;VGLL4
GO_Biological_Process_2025	Phosphorylation (GO:0016310)	23/298	2.067014e-03	5.712519e-01	0	0	2.039822e+00	1.260947e+01	PRKCG;GSK3B;PANK2;CAMK2D;CTBP1;CSNK1A1;DAPK2;MINK1;STAT3;CSNK1D;PTK6;NLK;STK4;KALRN;CAMKK2;MAPK9;PHKG2;TLK2;ATM;PIM3;BIRC6;MAP3K6;MARK2
GO_Biological_Process_2025	Regulation of Mitotic Cell Cycle Phase Transition (GO:1901990)	10/88	2.651091e-03	5.712519e-01	0	0	3.107309e+00	1.843499e+01	KLHL18;NPM2;RGCC;ID2;ERCC2;PSME2;INO80;PKD1;SMARCA2;SIRT2
GO_Biological_Process_2025	Lamellipodium Assembly (GO:0030032)	5/25	2.742539e-03	5.712519e-01	0	0	6.039358e+00	3.562539e+01	SPEF1;ARFIP2;WHAMM;RHOD;ARHGEF6
GO_Biological_Process_2025	Regulation of Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:2000095)	3/8	3.059277e-03	5.712519e-01	0	0	1.446935e+01	8.377139e+01	SPEF1;PLEKHA4;MLLT3
GO_Biological_Process_2025	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	57/983	3.102719e-03	5.712519e-01	0	0	1.516063e+00	8.755988e+00	TCERG1;CIITA;EHF;PSIP1;PKD1;SOX2;EPC1;MYBL2;NANOS1;TCF12;TFE3;TET2;LMO7;PPRC1;KLF15;SIRT2;MED25;KAT2A;IRF3;ZSCAN21;ATF5;RNASEH2A;HDAC3;MAX;DOT1L;GPS2;NRF1;FOXO3;HIF1A;RXRB;BCLAF1;HSF2;E4F1;RPRD1B;JUND;BCL11B;NFYA;NR1H2;STAT3;PBX2;NR1D2;INO80;NR1D1;SMARCA2;MEIS2;FOSL2;NR4A2;CXCL10;PER1;RGCC;PSMC3;WT1;TNIP2;MAFF;ASXL2;ATM;SSBP2
GO_Biological_Process_2025	COPII-coated Vesicle Cargo Loading (GO:0090110)	4/16	3.132005e-03	5.712519e-01	0	0	8.045702e+00	4.639218e+01	SEC24A;SEC24C;SEC31B;SEC31A
GO_Biological_Process_2025	Establishment or Maintenance of Apical/Basal Cell Polarity (GO:0035088)	5/26	3.285417e-03	5.712519e-01	0	0	5.751469e+00	3.288841e+01	PATJ;DLG5;SCRIB;MARK2;LLGL1
GO_Biological_Process_2025	Negative Regulation of Autophagy (GO:0010507)	8/65	4.226701e-03	6.541244e-01	0	0	3.396811e+00	1.856810e+01	RUBCN;SNRNP70;STAT3;TLK2;SMCR8;EIF4E;EIF4G3;SIRT2
GO_Biological_Process_2025	Positive Regulation of Cytokine Production Involved in Inflammatory Response (GO:1900017)	4/18	4.941874e-03	6.541244e-01	0	0	6.895597e+00	3.661570e+01	MAPK9;IRF3;STAT3;HIF1A
GO_Biological_Process_2025	mRNA Splice Site Recognition (GO:0006376)	5/29	5.373980e-03	6.541244e-01	0	0	5.031749e+00	2.629686e+01	SFSWAP;CELF3;PSIP1;SRSF5;LUC7L2
GO_Biological_Process_2025	Regulation of Hippo Signaling (GO:0035330)	6/41	5.434519e-03	6.541244e-01	0	0	4.143253e+00	2.160700e+01	TIAL1;SIKE1;DLG5;STK4;VGLL4;DHDDS
GO_Biological_Process_2025	Regulation of Primary Metabolic Process (GO:0080090)	11/113	5.551085e-03	6.541244e-01	0	0	2.613828e+00	1.357560e+01	KAT2A;MBNL2;AHNAK;SNRNP70;ESRP2;ID2;ESRP1;GPS2;NR1D2;NR1D1;TARBP2
GO_Biological_Process_2025	Glucan Metabolic Process (GO:0044042)	3/10	6.174300e-03	6.541244e-01	0	0	1.033417e+01	5.257364e+01	GSK3B;PHKG1;PHKG2
GO_Biological_Process_2025	Regulation of Ceramide Biosynthetic Process (GO:2000303)	3/10	6.174300e-03	6.541244e-01	0	0	1.033417e+01	5.257364e+01	SPHK1;PLA2G6;SIRT3
GO_Biological_Process_2025	Lamellipodium Organization (GO:0097581)	5/30	6.240590e-03	6.541244e-01	0	0	4.830227e+00	2.452152e+01	SPEF1;ARFIP2;WHAMM;RHOD;ARHGEF6
