Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Negative Regulation of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144),7/31,0.00017954830036400612,0.2772540493514344,0,0,7.062236952861953,60.9122619689282,PER1;NCOR1;CNOT1;CNOT2;CRY2;NODAL;FOXP1
GO_Biological_Process_2025,Intracellular Receptor Signaling Pathway (GO:0030522),7/35,0.00039956504583764434,0.2772540493514344,0,0,6.052083333333333,47.35836298923722,BECN1;IRF3;NR1H2;STAT3;CRY2;NR1D2;NR1D1
GO_Biological_Process_2025,Negative Regulation of DNA-templated Transcription (GO:0045892),62/1006,0.0004687522828161063,0.2772540493514344,0,0,1.626977784421498,12.471494259984905,TCERG1;CIITA;EHMT2;UBE2D3;CTNND1;ZBTB21;CHD3;ING1;IKZF4;SOX2;FLCN;EPC1;TLE2;RBFOX2;TLE1;DICER1;SIRT2;FOXP1;MED25;KAT2A;NCOR1;THAP7;CRY2;DPEP2;LCOR;ATF5;VGLL4;HDAC3;MAX;CTBP1;CIPC;GPS2;FOXO3;HIF1A;BCLAF1;E4F1;SKIL;CBX6;JUND;NR1H2;PCGF2;STAT3;PDE2A;NR2F1;IRF2BP2;NR1D2;NR1D1;SMARCA2;PHC3;MEIS2;PML;NR4A2;PER1;WT1;CNOT1;ID2;CNOT2;MAFF;BCL3;MDM4;BCOR;RCOR1
GO_Biological_Process_2025,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),48/732,0.0005465310503042539,0.2772540493514344,0,0,1.7302777583105566,12.997707121124686,TCERG1;CIITA;HDAC3;CTBP1;MAX;EHMT2;CTNND1;UBE2D3;ZBTB21;GPS2;CHD3;FOXO3;ING1;SOX2;FLCN;EPC1;E4F1;SKIL;CBX6;JUND;NR1H2;PCGF2;STAT3;PDE2A;NR2F1;IRF2BP2;NR1D2;DICER1;NR1D1;SMARCA2;MEIS2;SIRT2;NR4A2;PER1;KAT2A;MED25;NCOR1;WT1;CNOT1;THAP7;CNOT2;ID2;MAFF;CRY2;DPEP2;LCOR;MDM4;BCOR
GO_Biological_Process_2025,Renal Filtration Cell Differentiation (GO:0061318),3/5,0.0005979598476306997,0.2772540493514344,0,0,36.17902010050251,268.5202150749775,WT1;PROM1;KLF15
GO_Biological_Process_2025,Glomerular Epithelial Cell Differentiation (GO:0072311),3/5,0.0005979598476306997,0.2772540493514344,0,0,36.17902010050251,268.5202150749775,WT1;PROM1;KLF15
GO_Biological_Process_2025,Negative Regulation of Intracellular Signal Transduction (GO:1902532),24/297,0.0008958601081586008,0.3343514275606852,0,0,2.1470967741935483,15.06773747184456,GSK3B;RUBCN;TLE1;PLEKHA1;PDE2A;STAT3;CTNND1;RTKN2;PLAUR;ABCA7;NMI;NR1D1;GMIP;TARBP2;HERPUD1;DHDDS;ARHGAP12;PER1;FLCN;SIKE1;BANK1;CNOT1;DLG5;VGLL4
GO_Biological_Process_2025,Regulation of Autophagy (GO:0010506),20/230,0.0009614706759473336,0.3343514275606852,0,0,2.321780059905862,16.129514019517636,GSK3B;RUBCN;BECN1;SETD2;ATP6V1G2;DAPK2;USP33;STAT3;FOXO3;GPR137B;SIRT2;TPCN2;FLCN;TLK2;GPR137;ATM;SMCR8;ATP6V0E2;EIF4G3;EIF4E
GO_Biological_Process_2025,Negative Regulation of RNA Biosynthetic Process (GO:1902679),33/470,0.0012950630146095,0.4003183674048715,0,0,1.849818666316148,12.299806738214237,CIITA;HDAC3;CTBP1;CIPC;ZBTB21;CHD3;IKZF4;BCLAF1;EPC1;TLE2;RBFOX2;TLE1;NR1H2;NR1D2;NR1D1;PHC3;SMARCA2;SIRT2;PML;FOXP1;PER1;NCOR1;WT1;THAP7;ID2;BCL3;CRY2;DPEP2;MDM4;BCOR;ATF5;RCOR1;VGLL4
GO_Biological_Process_2025,Phosphorylation (GO:0016310),23/298,0.002067013798127,0.57125189679667,0,0,2.039821930646673,12.60946589617604,PRKCG;GSK3B;PANK2;CAMK2D;CTBP1;CSNK1A1;DAPK2;MINK1;STAT3;CSNK1D;PTK6;NLK;STK4;KALRN;CAMKK2;MAPK9;PHKG2;TLK2;ATM;PIM3;BIRC6;MAP3K6;MARK2
GO_Biological_Process_2025,Regulation of Mitotic Cell Cycle Phase Transition (GO:1901990),10/88,0.0026510912660519,0.57125189679667,0,0,3.1073088297422897,18.434991875849988,KLHL18;NPM2;RGCC;ID2;ERCC2;PSME2;INO80;PKD1;SMARCA2;SIRT2
GO_Biological_Process_2025,Lamellipodium Assembly (GO:0030032),5/25,0.0027425388178432,0.57125189679667,0,0,6.039357682619648,35.625393171365964,SPEF1;ARFIP2;WHAMM;RHOD;ARHGEF6
GO_Biological_Process_2025,"Regulation of Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:2000095)",3/8,0.0030592770354289,0.57125189679667,0,0,14.469346733668342,83.77139204591012,SPEF1;PLEKHA4;MLLT3
GO_Biological_Process_2025,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),57/983,0.0031027191624796,0.57125189679667,0,0,1.5160633510505144,8.755988109103626,TCERG1;CIITA;EHF;PSIP1;PKD1;SOX2;EPC1;MYBL2;NANOS1;TCF12;TFE3;TET2;LMO7;PPRC1;KLF15;SIRT2;MED25;KAT2A;IRF3;ZSCAN21;ATF5;RNASEH2A;HDAC3;MAX;DOT1L;GPS2;NRF1;FOXO3;HIF1A;RXRB;BCLAF1;HSF2;E4F1;RPRD1B;JUND;BCL11B;NFYA;NR1H2;STAT3;PBX2;NR1D2;INO80;NR1D1;SMARCA2;MEIS2;FOSL2;NR4A2;CXCL10;PER1;RGCC;PSMC3;WT1;TNIP2;MAFF;ASXL2;ATM;SSBP2
GO_Biological_Process_2025,COPII-coated Vesicle Cargo Loading (GO:0090110),4/16,0.0031320048945214,0.57125189679667,0,0,8.045702306079665,46.39217874648376,SEC24A;SEC24C;SEC31B;SEC31A
GO_Biological_Process_2025,Establishment or Maintenance of Apical/Basal Cell Polarity (GO:0035088),5/26,0.0032854170915696,0.57125189679667,0,0,5.751469353484467,32.88840673060335,PATJ;DLG5;SCRIB;MARK2;LLGL1
GO_Biological_Process_2025,Negative Regulation of Autophagy (GO:0010507),8/65,0.0042267006067247,0.6541243861036338,0,0,3.396810610597289,18.56809993513068,RUBCN;SNRNP70;STAT3;TLK2;SMCR8;EIF4E;EIF4G3;SIRT2
GO_Biological_Process_2025,Positive Regulation of Cytokine Production Involved in Inflammatory Response (GO:1900017),4/18,0.0049418744059149,0.6541243861036338,0,0,6.895597484276729,36.61569563384708,MAPK9;IRF3;STAT3;HIF1A
GO_Biological_Process_2025,mRNA Splice Site Recognition (GO:0006376),5/29,0.0053739800946325,0.6541243861036338,0,0,5.031748530646516,26.296856105441307,SFSWAP;CELF3;PSIP1;SRSF5;LUC7L2
GO_Biological_Process_2025,Regulation of Hippo Signaling (GO:0035330),6/41,0.0054345191368859,0.6541243861036338,0,0,4.143253467843632,21.60700152717408,TIAL1;SIKE1;DLG5;STK4;VGLL4;DHDDS
GO_Biological_Process_2025,Regulation of Primary Metabolic Process (GO:0080090),11/113,0.0055510854684322,0.6541243861036338,0,0,2.6138275106997115,13.575597451897476,KAT2A;MBNL2;AHNAK;SNRNP70;ESRP2;ID2;ESRP1;GPS2;NR1D2;NR1D1;TARBP2
