Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2025	Bounding Membrane of Organelle (GO:0098588)	80/881	3.773506e-06	1.237710e-03	0	0	1.803927e+00	2.252654e+01	SCARB2;SLC48A1;MOXD1;CTSZ;ICA1;ZDHHC3;PCSK4;TEPSIN;CHMP1B;AP1S1;QSOX2;TMED7;TMEM38B;SCARF1;APPL2;BBS4;RAB2B;SLC30A5;COG4;CSGALNACT2;COG3;PLA2G4A;NOSIP;ARFGAP1;TNFRSF1A;STIM1;SCNN1A;EXOC3;B3GNT2;B4GALT7;BLZF1;ST6GALNAC6;TLR2;NAA60;MARCHF2;COPA;CAMK2D;ABCB6;GOSR1;C5AR1;PLD3;SEC14L2;ARL13B;MAN2A1;ERBB2;MVB12A;PIP5K1C;GRIA3;WNT4;ATP6V0A1;ABCA2;MBTPS1;TRAPPC3;HACE1;B3GAT3;GALNT1;MACO1;AP2B1;MCOLN1;IRGM;YIF1A;TPCN2;RAB11A;TMEM231;EXT1;EHD1;FIG4;EXT2;TTC8;PTPRC;CNIH1;ABHD17B;RAB15;MGAT4B;NOSTRIN;MDM2;UBAP1;UBA1;LAMTOR2;FOLR2
GO_Cellular_Component_2025	Mitochondrial Matrix (GO:0005759)	41/407	1.010007e-04	1.300721e-02	0	0	1.994355e+00	1.834883e+01	GCDH;ALAS2;ACSS2;HIBADH;PRORP;DLST;ETFA;TFB1M;MRPL32;MYG1;GRPEL1;MTHFD1L;OXCT1;CDK5RAP1;FDXR;LONP1;PMPCB;PMPCA;NT5M;PDSS1;DLAT;DTD1;PDK2;MCCC2;FDPS;AGXT2;PAM16;BCKDHB;SOD2;SDHB;CLPX;SIRT3;COQ5;ALDH6A1;NDUFAF8;SUCLA2;SOAT1;OGDH;ADPRS;ACO2;ABCE1
GO_Cellular_Component_2025	Intracellular Organelle Lumen (GO:0070013)	76/912	1.189684e-04	1.300721e-02	0	0	1.632301e+00	1.475054e+01	ERO1A;ALAS2;POGLUT2;HIBADH;PRORP;CTSZ;ETFA;TXNDC12;APEH;TFB1M;MRPL32;PSMD2;CDK5RAP1;FDXR;LONP1;PMPCB;PMPCA;DLAT;PDK2;KCMF1;MCCC2;ACTR2;BCKDHB;PAM16;FGG;PRLR;SDHB;CLPX;SIRT3;SOAT1;BIN2;COL4A1;DNAJB11;ADPRS;GCDH;PSMD11;ACSS2;PSMD13;SDC2;CXXC1;DLST;FSTL1;C3;GANAB;MYG1;GRPEL1;ARSL;MTHFD1L;OXCT1;RNF138;PPY;NT5M;PDSS1;DTD1;WNT4;MAPK3;GSDMD;FDPS;MBTPS1;XRCC6;AGXT2;BDNF;SOD2;TOR1B;COQ5;COL1A1;TSPAN15;ALDH6A1;NDUFAF8;SUCLA2;COL5A1;OGDH;ACO2;P4HB;ABCE1;NIT2
GO_Cellular_Component_2025	Intracellular Membrane-Bounded Organelle (GO:0043231)	354/5597	2.676049e-04	2.194360e-02	0	0	1.266460e+00	1.041790e+01	MAML1;RTCA;HNRNPU;GPATCH1;SPINT2;SMC4;ZC3H12D;SPIB;TBK1;SOX17;PSMD2;LONP1;FAM53B;AP1S1;FAM53A;TRIM27;FBXO7;SOX7;STARD3;HES6;PIH1D1;IFRD2;RFX2;DNTTIP1;RECQL;MED9;P3H4;SND1;EWSR1;ADPRS;LAP3;KIF20A;BLZF1;SF1;OSER1;SLBP;LRPAP1;RTEL1;NECAB3;SHMT1;VPS26C;GATA2;HTATSF1;OSGEP;OAZ3;SEC14L2;STRIP1;WDR70;NTHL1;PTPMT1;HMOX1;MAP6;ATP6V0A1;CTC1;SRPK2;ABCA2;XRCC6;PHC2;HACE1;XRCC4;PNO1;PLK2;INCA1;UPF3A;NR0B2;SMU1;MLLT10;PKIB;HNRNPK;EHD4;EIF6;FUBP1;ID1;TRIP6;OGDH;GRB2;FBXL3;MAGED2;HNRNPC;EZH1;PSME3IP1;SETD4;CDKN1C;TOP2A;CSRNP1;CDKN1B;HIP1;SETD6;CTSZ;ICA1;CLTA;ECSIT;MED16;HINT1;CSRP2;ZMYM3;RSRC1;ANXA7;AP3S2;AP3S1;IKBKE;TEAD1;APPL2;JAK1;NELFE;HTATIP2;SS18;DFFB;SEC13;DUSP3;PRMT7;PARP4;STARD3NL;NCOA3;ACTL6A;ACAD9;NCOA4;DYNLL2;MLF1;SIRT3;MED23;TOX4;MRAP;PSMA3;MED24;PSMA1;NME7;NFX1;HCLS1;SINHCAF;TLR2;FOXC2;MAGEH1;SF3B2;SP100;AKAP8;DLST;GPS2;HSPA14;AIF1;PSMA7;BCLAF1;CFAP298;SNX27;RNF138;PPP1R8;LMNA;LEO1;CTNNA1;SCAND1;BRD8;TBL1X;MARCHF3;BRD4;TSNAX;RANBP1;NPM1;YTHDF2;YIPF4;GINS3;PCGF3;NR1H3;ELP6;PEX14;YIF1A;TARBP2;GATAD2A;SPSB3;FIG4;SEC23IP;FABP4;CCNG2;SNX15;UBAP1;LAMTOR4;ERO1A;KDM1B;FMR1;PEBP1;YEATS4;YARS1;LOXL2;TEPSIN;GRAP2;TEKT1;NUDT19;MTREX;TMEM38B;KPNA3;BORCS5;PDGFRA;MORC3;TRAPPC2L;KMT5C;GTF3A;ACOT13;NOSIP;ATP11A;GTF2F1;ALDH3A2;PRPF4;PRPF6;SBDS;TIMELESS;PKP4;FIZ1;HDGFL2;MAD1L1;FTO;PSMD10;CSF1R;PXK;PSMD11;MAX;PSMD13;CUL3;CREM;CUL1;CREBL2;MYG1;ORC6;NACC2;MED31;LPXN;ESRRA;OSBPL9;CPSF4;UBE2I;CPSF1;POLR3GL;ZBTB16;FBXO38;ZBTB10;RITA1;KLHL22;USB1;MACO1;LSM4;CLK3;MOB1A;EIF2S3;UBE2S;MDM2;MKRN2;UBA3;GNAS;PIR;PHF13;UBA1;REEP6;NF2;FGFR2;SLC25A1;RNF13;CPQ;RNF14;ZC3H3;AKAP8L;HP1BP3;USP34;PTPN22;DDX41;USP39;ELAVL1;UFL1;SART1;METTL14;YWHAQ;SFR1;VPS72;SIN3A;SNAPC2;CASP6;MYO18A;EXO5;HMG20B;ADAMTS9;RBM6;ACTR3;ACTR2;RFC3;TBP;NCBP1;ACTR6;DYNLT4;PLA2G4A;SENP3;CCNA1;DDX19A;PPM1B;LMBRD1;ESRP2;CTDSP1;ZPBP2;LANCL2;RBMS1;MCM5;NSRP1;IRF9;RBMS2;RBM22;SMARCD2;CAMK2D;ACSS2;HDAC3;ABRAXAS1;DCTN4;CXXC1;FOXK2;TOB2;RCHY1;RNF4;PPM1F;PSMB10;ERICH6;GANAB;DNPEP;U2AF2;TRA2B;POLR2C;POLD2;ERBB2;MVB12A;RAB29;TNNI2;RALY;DRAM2;EIF4E;MAPK3;HNRNPA3;CIZ1;KDM4B;TRIM41;KDM4C;B3GAT3;PRRX2;ZFC3H1;MCOLN1;HNRNPAB;WARS1;TSPAN15;MAPK11;RSPH1;POLR3A;PRC1;EIF3G;TRIM35;CEP162;TAF6;ARB2A;SEC24D;RBM45;FOLR2;TRMT61A
GO_Cellular_Component_2025	Endoplasmic Reticulum Membrane (GO:0005789)	69/872	1.002634e-03	6.577277e-02	0	0	1.535006e+00	1.059941e+01	ERO1A;SCARB2;MOXD1;TRAM1;PIGT;AUP1;PIGX;UFL1;ANXA7;TMED7;TMEM38B;STARD3;PDGFRA;SEC13;DGAT1;STARD3NL;NCOA3;SLC30A5;ALG2;ALG14;PLA2G4A;DHDDS;ALDH3A2;LMBRD1;SOAT1;STIM1;TRIM13;SLC27A4;RTN3;COPA;NECAB3;ABCB6;ABHD4;ATL2;SRI;PLD3;PLD2;SEC14L2;PTDSS2;PTDSS1;CYB5R3;NCLN;EMC3;HMOX1;EMC8;HMOX2;FDFT1;PTPN1;GALNT1;SRD5A3;SYVN1;DOLK;MACO1;IRGM;YIF1A;EXT1;DNAJA1;PNKD;SPCS2;GJB1;CNIH1;GGCX;STT3A;UBA1;TMEM39A;STT3B;SEC24D;FOLR2;RNF185
GO_Cellular_Component_2025	Alpha-Ketoacid Dehydrogenase Complex (GO:0045240)	5/17	1.651891e-03	7.566043e-02	0	0	7.307127e+00	4.680825e+01	BCKDHB;OGDH;DLST;DLAT;PDK2
GO_Cellular_Component_2025	Lysosomal Membrane (GO:0005765)	35/383	1.792015e-03	7.566043e-02	0	0	1.782034e+00	1.127032e+01	SCARB2;SLC48A1;IFITM2;ABCB6;RNF13;RAB3D;CLTA;GLIPR1;PIP4P2;CHMP1B;AP1S1;ATP6V0A1;BORCS5;SPAG9;STARD3;ABCA2;SEC13;STARD3NL;LAPTM5;CYBRD1;AP2B1;ATP11A;MCOLN1;IRGM;GDAP2;TPCN2;LMBRD1;NPC1;RHEB;TMEM79;KXD1;TMEM106B;LAMTOR2;UBA1;LAMTOR4
GO_Cellular_Component_2025	Cytoplasmic Vesicle Membrane (GO:0030659)	37/415	2.074406e-03	7.566043e-02	0	0	1.734860e+00	1.071811e+01	SLC48A1;SCARB2;MOXD1;CAMK2D;C5AR1;ICA1;AQP5;TEPSIN;CHMP1B;ERBB2;MVB12A;AP1S1;PIP5K1C;SCARF1;APPL2;GRIA3;ATP6V0A1;WNT4;ABCA2;SLC30A5;AP2B1;MCOLN1;TPCN2;RAB11A;EHD1;FIG4;PTPRC;ABHD17B;RAB15;NOSTRIN;MDM2;VOPP1;EXOC3;UBAP1;LAMTOR2;UBA1;TLR2
GO_Cellular_Component_2025	TRAPPII Protein Complex (GO:1990071)	4/11	2.076048e-03	7.566043e-02	0	0	1.001456e+01	6.186285e+01	TRAPPC3;TRAPPC2L;TRAPPC10;TRAPPC9
GO_Cellular_Component_2025	Late Endosome Membrane (GO:0031902)	13/99	2.612864e-03	8.570193e-02	0	0	2.660324e+00	1.582177e+01	SCARB2;STARD3;IFITM2;RNF13;STARD3NL;PLD3;FIG4;PIP4P2;PNKD;NPC1;CHMP1B;LAMTOR2;LAMTOR4
