Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2025	Transcription Factor AP-1 Complex (GO:0035976)	3/5	5.979598e-04	1.584594e-01	0	0	3.617902e+01	2.685202e+02	JUND;RNASEH2A;FOSL2
GO_Cellular_Component_2025	COPII Vesicle Coat (GO:0030127)	4/15	2.424961e-03	3.213074e-01	0	0	8.777587e+00	5.285810e+01	SEC24A;SEC24C;SEC31B;SEC31A
GO_Cellular_Component_2025	Nucleus (GO:0005634)	227/4879	4.413447e-03	3.597543e-01	0	0	1.241147e+00	6.730864e+00	TCERG1;EHF;PANK2;RPL3;EHMT2;HNRNPR;IKZF4;CCAR1;TIAL1;SOX2;PSMD4;EPC1;TRIM26;ZFPL1;SYNPO;HES7;SRRM2;CHID1;RBFOX2;DAPK2;IFRD2;METTL3;CIRBP;HUS1;KRT7;CSNK1D;DICER1;SRRM1;EWSR1;THAP7;PADI3;ATF5;CCDC82;RTEL1;CTBP1;COPS7A;RNPC3;NLK;HIF1A;SEC14L2;SWI5;SCAI;JUND;BCL11B;PDE2A;NR2F1;PBX2;IRF2BP2;PTK6;NR1D2;INO80;NR1D1;NMI;SMARCA2;PHC3;FOSL2;PKIB;HNRNPM;ID2;NDUFAF3;CDK10;ATM;RCOR1;CC2D1B;SETD5;SETD2;CLIC3;PHF1;ASH2L;ING1;PCF11;ARIH2;NELFB;TEAD4;PRMT8;SPHK1;TCF12;TOP3A;TFE3;TET2;DNTT;PPRC1;SIRT2;SIRT3;DDB2;MED25;KAT2A;NCOR1;VGLL4;AHNAK;CIPC;DOT1L;GPS2;CCNDBP1;RECQL4;RXRB;BCLAF1;CFAP298;PMS2;SRSF11;NKTR;RIBC2;CENPT;NPM2;NFYA;CSNK1A1;NR1H2;PCGF2;STAT3;SORBS1;SORBS3;SCAF4;TARBP2;SPSB3;AGBL5;PER1;PSMC5;PSMC3;WT1;TARDBP;UBE2D3;CTNND1;RTKN2;ZBTB21;RGS3;KMT5B;TEKT4;HMGN3;NANOS1;TLE2;CDKL5;TLE1;LMO7;FOXP1;DPEP2;SRSF7;ZCCHC8;RNASEH2A;ANKRD16;MAX;CACNA1A;NRF1;FOXO3;STK4;NKAPL;AK8;BAG6;HNRNPDL;SAFB2;ZKSCAN5;RPRD1B;SKIL;IP6K2;CBX6;ASPSCR1;NSG1;HOPX;NR4A2;RCAN1;RGCC;CNOT2;MAFF;RCAN3;BCL3;MDM4;BRWD1;RBM27;GSK3B;PIWIL4;CALCOCO2;CELF3;CHD7;USP34;PSIP1;CHD3;CHTF18;USP39;PKD1;PIDD1;FLCN;EXO1;SNRNP70;PPP6R2;PPP6R3;TLK2;MYBL2;RBM33;USP47;REXO1;ELAC2;TRNAU1AP;TENT5B;KLF15;CCNA2;EPN3;TRAF7;IRF3;SLC25A19;ESRP2;ESRP1;CRY2;LCOR;BIRC6;CAMK2D;HDAC3;USP11;RNF7;MLLT3;MAPK9;DNAJB6;MCRIP2;EIF4E;PTPN18;NAA10;RNF25;PML;NAP1L4;GNPDA2;IMPDH1;ERCC2;KLF9;CDK2AP2;ACIN1;ERCC5;BCOR;SSBP2;PTPN2
GO_Cellular_Component_2025	Coated Vesicle Membrane (GO:0030662)	7/54	5.465283e-03	3.597543e-01	0	0	3.601923e+00	1.876364e+01	SEC24A;KDELR1;TGFA;SEC24C;SEC31B;SEC31A;VTI1B
GO_Cellular_Component_2025	Motile Cilium (GO:0031514)	9/85	6.787816e-03	3.597543e-01	0	0	2.866839e+00	1.431305e+01	CFAP100;SPEF1;CFAP70;SORD;DNAH9;BRWD1;PKD1;GAS8;AK8
GO_Cellular_Component_2025	Intracellular Membrane-Bounded Organelle (GO:0043231)	253/5597	1.066153e-02	4.005429e-01	0	0	1.201519e+00	5.456234e+00	TCERG1;EHF;PANK2;SLC4A1AP;RPL3;KDELR1;EHMT2;AQP9;HNRNPR;IKZF4;CCAR1;TIAL1;SOX2;PSMD4;EPC1;TRIM26;ZFPL1;SYNPO;HES7;SRRM2;CHID1;RBFOX2;FNBP1;DAPK2;IFRD2;METTL3;CIRBP;HUS1;KRT7;CSNK1D;DICER1;SRRM1;EWSR1;THAP7;PADI3;ATF5;CCDC82;RTEL1;CTBP1;COPS7A;RNPC3;NLK;HIF1A;SEC14L2;SWI5;RAB11FIP2;SCAI;VTI1B;SEC31A;JUND;BCL11B;PDE2A;NR2F1;PBX2;IRF2BP2;ABCA7;PTK6;NR1D2;INO80;NR1D1;NMI;SMARCA2;PHC3;FOSL2;PKIB;HNRNPM;SQLE;ID2;NDUFAF3;CDK10;ATM;RETREG1;RCOR1;CC2D1B;SETD5;SETD2;CLIC3;PHF1;ASH2L;ING1;PCF11;ARIH2;NELFB;CTSE;TEAD4;PRMT8;SPHK1;TCF12;TOP3A;TFE3;TET2;DNTT;PPRC1;ITFG2;SIRT2;SIRT3;DDB2;MED25;KAT2A;AFTPH;GPRC5A;NCOR1;GAS8;VGLL4;AHNAK;CIPC;DOT1L;GPS2;CCNDBP1;RECQL4;RXRB;BCLAF1;CFAP298;PMS2;SRSF11;NKTR;RIBC2;CENPT;NPM2;NFYA;CSNK1A1;NR1H2;PCGF2;STAT3;SORBS1;SORBS3;SCAF4;TARBP2;YIF1B;SPSB3;AGBL5;PER1;PSMC5;PSMC3;WT1;AXL;TARDBP;UBE2D3;CTNND1;RTKN2;ZBTB21;RGS3;KMT5B;TEKT4;HMGN3;NANOS1;TLE2;CDKL5;TLE1;LMO7;FOXP1;DPEP2;SRSF7;ZCCHC8;RNASEH2A;ANKRD16;MAX;CACNA1A;NRF1;FOXO3;STK4;NKAPL;AK8;BAG6;HNRNPDL;SAFB2;ZKSCAN5;RPRD1B;SKIL;IP6K2;CBX6;OSBPL5;ASPSCR1;NSG1;HOPX;NR4A2;RCAN1;RGCC;P4HA2;CNOT2;MAFF;RCAN3;BCL3;MDM4;BRWD1;RBM27;GSK3B;PIWIL4;CALCOCO2;CELF3;CHD7;CEP164;USP34;PSIP1;CHD3;CHTF18;USP39;PKD1;PIDD1;FLCN;EXO1;SNRNP70;PPP6R2;PPP6R3;TLK2;MYBL2;ADAMTS9;RBM33;OVGP1;USP47;RUBCN;REXO1;ELAC2;TRNAU1AP;TENT5B;KLF15;CCNA2;EPN3;TRAF7;IRF3;SLC25A19;ESRP2;ESRP1;CRY2;LCOR;BIRC6;CAMK2D;HDAC3;USP11;RNF7;MLLT3;ZNRF1;MAPK9;DNAJB6;MCRIP2;EIF4E;PTPN18;NAA10;RNF25;HIP1R;PML;NAP1L4;CLCN7;GNPDA2;IMPDH1;ERCC2;KLF9;CDK2AP2;ACIN1;ERCC5;BCOR;SSBP2;PTPN2
GO_Cellular_Component_2025	RISC Complex (GO:0016442)	3/13	1.345693e-02	4.005429e-01	0	0	7.232789e+00	3.116074e+01	DICER1;EIF4E;TARBP2
GO_Cellular_Component_2025	Neuron Spine (GO:0044309)	2/5	1.470763e-02	4.005429e-01	0	0	1.605855e+01	6.775728e+01	SHANK3;LLGL1
GO_Cellular_Component_2025	Vesicle Coat (GO:0030120)	5/37	1.518737e-02	4.005429e-01	0	0	3.772237e+00	1.579545e+01	EPN3;SEC24A;SEC24C;SEC31B;SEC31A
GO_Cellular_Component_2025	Asymmetric Synapse (GO:0032279)	11/131	1.598116e-02	4.005429e-01	0	0	2.219659e+00	9.181277e+00	NANOS1;CAMK2D;HOMER2;DLG5;HIP1R;SCRIB;CABP1;SH2D5;KALRN;SHANK3;LLGL1
