Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2025	Ubiquitin-Protein Transferase Activity (GO:0004842)	40/409	2.277651e-04	1.012238e-01	0	0	1.927731e+00	1.616826e+01	RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;TNFAIP1;FBXO21;RCHY1;RNF4;TANK;FBXO22;MARCHF11;HERC4;HERC3;TRIM5;RNF138;RNF217;TRIM27;FBXO7;MARCHF3;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;UBE2G1;MEX3C;PJA2;TRIM17;NFX1;UBE2S;PELI1;MDM2;TRIM35;TRIM13;MKRN2;RNF181;FBXL3;RNF185
GO_Molecular_Function_2025	mRNA Binding (GO:0003729)	32/310	3.657509e-04	1.012238e-01	0	0	2.041386e+00	1.615462e+01	SLBP;SHMT1;FMR1;HNRNPU;DDX41;ELAVL1;ZC3H12D;METTL14;TRA2B;PPP1R8;LUC7L;EIF4E;NELFE;YTHDF1;HNRNPA3;YTHDF2;NCBP1;RPS5;UPF3A;HNRNPAB;CDC40;PUM2;DDX19A;HNRNPK;ESRP2;FUBP1;RBMS1;HNRNPC;NSRP1;EIF4G2;RBMS2;SF1
GO_Molecular_Function_2025	aminoacyl-tRNA Ligase Activity (GO:0004812)	8/38	8.229298e-04	1.012238e-01	0	0	4.685147e+00	3.327691e+01	EPRS1;LARS1;TARS2;YARS1;DTD1;CARS2;DARS1;WARS1
GO_Molecular_Function_2025	Ubiquitin-Like Protein Ligase Activity (GO:0061659)	32/326	8.692555e-04	1.012238e-01	0	0	1.928633e+00	1.359276e+01	RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;RCHY1;RNF4;TANK;HERC4;UFL1;HERC3;TRIM5;RNF138;RNF217;TRIM27;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;MEX3C;PJA2;TRIM17;NFX1;TRIM13;PELI1;MDM2;MKRN2;TRIM35;RNF181;RNF185
GO_Molecular_Function_2025	Oxidoreductase Activity, Acting on the Aldehyde or Oxo Group of Donors, NAD or NADP as Acceptor (GO:0016620)	6/22	8.765311e-04	1.012238e-01	0	0	6.581128e+00	4.632810e+01	ALDH3A2;ALDH1A3;ALDH6A1;BCKDHB;ALDH1A1;ALDH9A1
GO_Molecular_Function_2025	Ubiquitin Protein Ligase Activity (GO:0061630)	31/313	8.971088e-04	1.012238e-01	0	0	1.947270e+00	1.366270e+01	RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;RCHY1;RNF4;TANK;HERC4;HERC3;TRIM5;RNF138;RNF217;TRIM27;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;MEX3C;PJA2;TRIM17;NFX1;TRIM13;PELI1;MDM2;MKRN2;TRIM35;RNF181;RNF185
GO_Molecular_Function_2025	Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029)	5/16	1.220027e-03	1.179941e-01	0	0	7.971833e+00	5.348209e+01	ALDH3A2;ALDH1A3;ALDH1A1;ALDH16A1;ALDH9A1
GO_Molecular_Function_2025	Poly-Pyrimidine Tract Binding (GO:0008187)	6/25	1.810096e-03	1.379373e-01	0	0	5.541123e+00	3.498873e+01	U2AF2;FMR1;HNRNPU;RBMS1;HNRNPC;RBMS2
GO_Molecular_Function_2025	Ubiquitin Binding (GO:0043130)	12/84	1.833730e-03	1.379373e-01	0	0	2.932617e+00	1.847960e+01	TOP2A;RNF31;USP33;TOLLIP;NUP62;CKS2;MVB12A;MDM2;CXCR4;UBAP1;FBXO7;RNF185
GO_Molecular_Function_2025	Prenyl Diphosphate Synthase Activity (GO:0120531)	3/6	2.798715e-03	1.894730e-01	0	0	1.751296e+01	1.029516e+02	FDPS;PDSS1;DHDDS
GO_Molecular_Function_2025	Prenyltransferase Activity (GO:0004659)	3/7	4.701042e-03	2.873375e-01	0	0	1.313403e+01	7.039801e+01	PDSS1;DHDDS;FDFT1
