Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2025,Ubiquitin-Protein Transferase Activity (GO:0004842),40/409,0.000227765078133863,0.1012237708079728,0,0,1.927730878459312,16.168256364465872,RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;TNFAIP1;FBXO21;RCHY1;RNF4;TANK;FBXO22;MARCHF11;HERC4;HERC3;TRIM5;RNF138;RNF217;TRIM27;FBXO7;MARCHF3;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;UBE2G1;MEX3C;PJA2;TRIM17;NFX1;UBE2S;PELI1;MDM2;TRIM35;TRIM13;MKRN2;RNF181;FBXL3;RNF185
GO_Molecular_Function_2025,mRNA Binding (GO:0003729),32/310,0.0003657508764017039,0.1012237708079728,0,0,2.0413857306162684,16.15462462842873,SLBP;SHMT1;FMR1;HNRNPU;DDX41;ELAVL1;ZC3H12D;METTL14;TRA2B;PPP1R8;LUC7L;EIF4E;NELFE;YTHDF1;HNRNPA3;YTHDF2;NCBP1;RPS5;UPF3A;HNRNPAB;CDC40;PUM2;DDX19A;HNRNPK;ESRP2;FUBP1;RBMS1;HNRNPC;NSRP1;EIF4G2;RBMS2;SF1
GO_Molecular_Function_2025,aminoacyl-tRNA Ligase Activity (GO:0004812),8/38,0.0008229297776289588,0.1012237708079728,0,0,4.685147286821706,33.276913053203955,EPRS1;LARS1;TARS2;YARS1;DTD1;CARS2;DARS1;WARS1
GO_Molecular_Function_2025,Ubiquitin-Like Protein Ligase Activity (GO:0061659),32/326,0.0008692554967054313,0.1012237708079728,0,0,1.9286329184385456,13.592760766874523,RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;RCHY1;RNF4;TANK;HERC4;UFL1;HERC3;TRIM5;RNF138;RNF217;TRIM27;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;MEX3C;PJA2;TRIM17;NFX1;TRIM13;PELI1;MDM2;MKRN2;TRIM35;RNF181;RNF185
GO_Molecular_Function_2025,"Oxidoreductase Activity, Acting on the Aldehyde or Oxo Group of Donors, NAD or NADP as Acceptor (GO:0016620)",6/22,0.0008765311434096462,0.1012237708079728,0,0,6.581128133704736,46.32810370366416,ALDH3A2;ALDH1A3;ALDH6A1;BCKDHB;ALDH1A1;ALDH9A1
GO_Molecular_Function_2025,Ubiquitin Protein Ligase Activity (GO:0061630),31/313,0.0008971087516216205,0.1012237708079728,0,0,1.9472703125421351,13.662697857320422,RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;RCHY1;RNF4;TANK;HERC4;HERC3;TRIM5;RNF138;RNF217;TRIM27;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;MEX3C;PJA2;TRIM17;NFX1;TRIM13;PELI1;MDM2;MKRN2;TRIM35;RNF181;RNF185
GO_Molecular_Function_2025,Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),5/16,0.0012200274833488,0.1179940866038808,0,0,7.971833361443751,53.482088493843655,ALDH3A2;ALDH1A3;ALDH1A1;ALDH16A1;ALDH9A1
GO_Molecular_Function_2025,Poly-Pyrimidine Tract Binding (GO:0008187),6/25,0.0018100956100387,0.13793726909922,0,0,5.541123002492303,34.988731949329626,U2AF2;FMR1;HNRNPU;RBMS1;HNRNPC;RBMS2
GO_Molecular_Function_2025,Ubiquitin Binding (GO:0043130),12/84,0.0018337303129881,0.13793726909922,0,0,2.932617491441021,18.47960455429583,TOP2A;RNF31;USP33;TOLLIP;NUP62;CKS2;MVB12A;MDM2;CXCR4;UBAP1;FBXO7;RNF185
GO_Molecular_Function_2025,Prenyl Diphosphate Synthase Activity (GO:0120531),3/6,0.0027987149183136,0.1894729999698329,0,0,17.512962962962963,102.95161519402616,FDPS;PDSS1;DHDDS
GO_Molecular_Function_2025,Prenyltransferase Activity (GO:0004659),3/7,0.0047010418859479,0.2873374576982568,0,0,13.134027777777778,70.39800953839384,PDSS1;DHDDS;FDFT1
GO_Molecular_Function_2025,Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714),8/50,0.0050931307125244,0.2873374576982568,0,0,3.344407530454042,17.65801212641451,NRP1;PDGFRA;CSF1R;NTRK3;TIE1;ERBB2;TEK;FGFR2
GO_Molecular_Function_2025,Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),4/14,0.0055279114097352,0.2878766172608276,0,0,7.009082483781279,36.43282678180532,ALDH3A2;ALDH1A3;ALDH1A1;ALDH9A1
GO_Molecular_Function_2025,siRNA Binding (GO:0035197),3/8,0.0072204379430987,0.311752857451195,0,0,10.506666666666666,51.80668880974294,FMR1;ARB2A;TARBP2
GO_Molecular_Function_2025,rRNA Binding (GO:0019843),7/43,0.0078045177680186,0.311752857451195,0,0,3.411994010739364,16.558586104511274,NPM1;RPS5;MRPL16;GTF3A;MDM2;SBDS;RPF2
GO_Molecular_Function_2025,Regulatory RNA Binding (GO:0061980),7/43,0.0078045177680186,0.311752857451195,0,0,3.411994010739364,16.558586104511274,FMR1;TUT4;HNRNPU;ARB2A;ELAVL1;TARBP2;PUM2
GO_Molecular_Function_2025,pre-mRNA Binding (GO:0036002),6/33,0.0078283583111821,0.311752857451195,0,0,3.8976581037862377,18.90365138177312,SLBP;U2AF2;TRA2B;HNRNPU;TARBP2;RBM22
GO_Molecular_Function_2025,"4 Iron, 4 Sulfur Cluster Binding (GO:0051539)",4/16,0.0092185518909733,0.3467199794549435,0,0,5.840284213778189,27.37070990079657,DPH1;EXO5;ACO2;SDHB
GO_Molecular_Function_2025,Nuclear Thyroid Hormone Receptor Binding (GO:0046966),5/26,0.011721473340675,0.4176546027177374,0,0,4.173513561268663,18.55683020145515,MED24;NCOA3;TRIP6;BRD8;MED16
GO_Molecular_Function_2025,Disordered Domain Specific Binding (GO:0097718),4/18,0.0142212223963519,0.4598151896925612,0,0,5.005428306633126,21.288186171739657,DFFB;NCOA3;FKBP8;MDM2
GO_Molecular_Function_2025,Platelet-Derived Growth Factor Binding (GO:0048407),3/10,0.0142631004188239,0.4598151896925612,0,0,7.503968253968254,31.892461396861744,PDGFRA;COL5A1;COL4A1
GO_Molecular_Function_2025,N6-methyladenosine-containing RNA Reader Activity (GO:1990247),3/11,0.0188332564776098,0.5510295549508288,0,0,6.565625,26.07952266477048,YTHDF1;YTHDF2;HNRNPC
GO_Molecular_Function_2025,Toll-like Receptor Binding (GO:0035325),3/11,0.0188332564776098,0.5510295549508288,0,0,6.565625,26.07952266477048,TOLLIP;TLR6;TLR2
GO_Molecular_Function_2025,Poly-Purine Tract Binding (GO:0070717),5/30,0.021258109382108,0.5510295549508288,0,0,3.505009276437848,13.497849742407723,PAN3;FMR1;HNRNPU;RBMS1;RBMS2
GO_Molecular_Function_2025,Protein Serine/Threonine Phosphatase Inhibitor Activity (GO:0004865),3/12,0.0241172101865766,0.5510295549508288,0,0,5.835802469135802,21.73736964676364,PPP1R14B;PPP1R8;TPRN
GO_Molecular_Function_2025,Histone Demethylase Activity (GO:0032452),4/21,0.0244637122416888,0.5510295549508288,0,0,4.121463228479529,15.29295470012234,KDM4B;KDM2A;KDM4C;KDM1B
GO_Molecular_Function_2025,Cholesterol Binding (GO:0015485),7/54,0.0257388447214439,0.5510295549508288,0,0,2.6119196393261093,9.558983244370031,SCARB2;STARD3;STARD3NL;NPC1;SOAT1;OSBPL2;NR1H3
GO_Molecular_Function_2025,Ceramide 1-Phosphate Binding (GO:1902387),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,GLTP;PLA2G4A
GO_Molecular_Function_2025,Phospholipase D Activity (GO:0004630),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,PLD3;PLD2
GO_Molecular_Function_2025,aminoacyl-tRNA Editing Activity (GO:0002161),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,LARS1;TARS2
GO_Molecular_Function_2025,Vascular Endothelial Growth Factor Receptor Activity (GO:0005021),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,NRP1;PDGFRA
GO_Molecular_Function_2025,"Cytochrome-B5 Reductase Activity, Acting on NAD(P)H (GO:0004128)",2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,NQO1;CYB5R3
GO_Molecular_Function_2025,Sterol Binding (GO:0032934),8/67,0.0277602660045374,0.5510295549508288,0,0,2.3786204178163186,8.525331326524219,SCARB2;OSBPL9;STARD3;STARD3NL;NPC1;SOAT1;OSBPL2;NR1H3
GO_Molecular_Function_2025,poly(U) RNA Binding (GO:0008266),4/22,0.028652993884519,0.5510295549508288,0,0,3.892287097106374,13.827339569472274,FMR1;RBMS1;HNRNPC;RBMS2
GO_Molecular_Function_2025,Ribosome Binding (GO:0043022),10/93,0.0288057130047649,0.5510295549508288,0,0,2.114777843901234,7.501500936048474,NPM1;YTHDF1;DNPEP;NCLN;NEMF;EIF6;FMR1;IFRD2;LONP1;SBDS
GO_Molecular_Function_2025,Long-Chain Fatty Acid Transmembrane Transporter Activity (GO:0005324),3/13,0.0301153523385238,0.5510295549508288,0,0,5.251944444444445,18.39609185694866,FABP4;MFSD2A;SLC27A4
GO_Molecular_Function_2025,U6 snRNA Binding (GO:0017070),3/13,0.0301153523385238,0.5510295549508288,0,0,5.251944444444445,18.39609185694866,PRPF4;LSM4;RBM22
GO_Molecular_Function_2025,Protein Kinase A Regulatory Subunit Binding (GO:0034237),4/23,0.033241756786092,0.5595377655377215,0,0,3.6872347690356566,12.551157109382425,AKAP8L;AKAP8;AKAP7;PJA2
GO_Molecular_Function_2025,Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),5/34,0.0347914234217866,0.5595377655377215,0,0,3.0209199667327744,10.145410417341049,RNF14;TOLLIP;RNF217;AUP1;RNF185
GO_Molecular_Function_2025,Histone H4 Methyltransferase Activity (GO:0140939),3/14,0.0368210295240278,0.5595377655377215,0,0,4.774242424242424,15.763050053380962,SETD4;PRMT7;KMT5C
GO_Molecular_Function_2025,Muscle Alpha-Actinin Binding (GO:0051371),3/14,0.0368210295240278,0.5595377655377215,0,0,4.774242424242424,15.763050053380962,PDLIM3;PDLIM7;NOL6
GO_Molecular_Function_2025,Sphingosine-1-Phosphate Phosphatase Activity (GO:0042392),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,PLPP7;PLPP2
GO_Molecular_Function_2025,Tumor Necrosis Factor Binding (GO:0043120),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,TANK;TNFRSF1A
GO_Molecular_Function_2025,RNA Polymerase II C-terminal Domain Binding (GO:0099122),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,LEO1;HNRNPU
GO_Molecular_Function_2025,Aryl Hydrocarbon Receptor Binding (GO:0017162),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,TBP;TAF6
GO_Molecular_Function_2025,poly(A) Binding (GO:0008143),4/24,0.038233809705052,0.5595377655377215,0,0,3.502687673772011,11.432895455489504,PAN3;HNRNPU;RBMS1;RBMS2
GO_Molecular_Function_2025,Pentosyltransferase Activity (GO:0016763),5/35,0.0388453101628846,0.5595377655377215,0,0,2.9200680272108843,9.484871307675936,PARP4;NAMPT;PPY;TSPAN32;SIRT3
GO_Molecular_Function_2025,Fatty Acid Transmembrane Transporter Activity (GO:0015245),3/15,0.0442215689978084,0.5788043338216766,0,0,4.376157407407407,13.647233397985104,FABP4;MFSD2A;SLC27A4
GO_Molecular_Function_2025,Ribosomal Large Subunit Binding (GO:0043023),3/15,0.0442215689978084,0.5788043338216766,0,0,4.376157407407407,13.647233397985104,NPM1;EIF6;NEMF
GO_Molecular_Function_2025,Protein Kinase Binding (GO:0019901),38/527,0.0445591575513585,0.5788043338216766,0,0,1.3703662390778957,4.263123844502885,TOP2A;BECN1;PTPRR;CDKN1B;RNF13;MAML1;PEBP1;TANK;ELAVL1;UFL1;HINT1;PRKAR2B;TRIM5;RNF138;CDK5RAP1;SLC12A6;FBXO7;SPAG9;PTPN1;NPM1;ACE;DUSP3;PIH1D1;NCOA3;CAVIN3;IRGM;TPCN2;PJA2;WARS1;DHDDS;PTPRC;PRC1;TAOK2;RHOJ;CKS2;HCLS1;GRB2;KIF20A
GO_Molecular_Function_2025,Transmembrane Receptor Protein Kinase Activity (GO:0019199),5/37,0.0477831947924757,0.5788043338216766,0,0,2.737273886827458,8.324272360902357,PDGFRA;NTRK3;TIE1;ERBB2;TEK
GO_Molecular_Function_2025,RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),19/232,0.0479522371299082,0.5788043338216766,0,0,1.568075117370892,4.763106295641659,PSMD10;HES6;SP100;NPM1;TBP;HDAC3;SETD6;NCOA3;GATA2;DNAJA1;COMMD8;TTC8;TBK1;SOX17;SIN3A;HCLS1;FIZ1;TAF6;BBS4
GO_Molecular_Function_2025,Protein Tyrosine Kinase Activity (GO:0004713),10/102,0.0495018152334235,0.5788043338216766,0,0,1.9069856963410188,5.73191451193139,PDGFRA;CSF1R;ZAP70;NTRK3;TIE1;ERBB2;TEK;CLK3;FGFR2;JAK1
GO_Molecular_Function_2025,Calcium-Independent Phospholipase A2 Activity (GO:0047499),2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,PLA2G4A;PLA2G7
GO_Molecular_Function_2025,Histone H4K20 Methyltransferase Activity (GO:0042799),2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,SETD4;KMT5C
GO_Molecular_Function_2025,"Hydroxymethyl-, Formyl- and Related Transferase Activity (GO:0016742)",2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,SHMT1;GART
GO_Molecular_Function_2025,Nitrite Reductase Activity (GO:0098809),2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,CYB5R3;MB
GO_Molecular_Function_2025,"Oxidoreductase Activity, Acting on the Aldehyde or Oxo Group of Donors, Disulfide as Acceptor (GO:0016624)",2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,BCKDHB;OGDH
GO_Molecular_Function_2025,poly(G) Binding (GO:0034046),2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,FMR1;HNRNPU
GO_Molecular_Function_2025,Retinal Dehydrogenase Activity (GO:0001758),2/7,0.051297282170311,0.5788043338216766,0,0,6.997964847363552,20.784777908940026,ALDH1A3;ALDH1A1
GO_Molecular_Function_2025,Kinase Inhibitor Activity (GO:0019210),5/38,0.0526707968824254,0.5794779352736541,0,0,2.6541856411986284,7.813110654449337,CDKN1C;NPM1;CDKN1B;WARS1;NCK1
GO_Molecular_Function_2025,Receptor Tyrosine Kinase Binding (GO:0030971),7/63,0.0532083102279251,0.5794779352736541,0,0,2.191101301115242,6.427684817347339,PTPN1;DUSP3;ANGPT2;PITPNM2;ERBB2;FIZ1;NCK1
GO_Molecular_Function_2025,Kinase Binding (GO:0019900),34/472,0.0555639303274653,0.5794779352736541,0,0,1.3674384388698086,3.952199324175941,BECN1;PTPRR;SP100;CDKN1B;MAML1;PEBP1;PTPN22;TANK;ELAVL1;UFL1;TRIM5;RNF138;CDK5RAP1;SLC12A6;FBXO7;PTPN1;NPM1;DUSP3;PIH1D1;NCOA3;IRGM;TPCN2;WARS1;DHDDS;PTPRC;PRC1;TOLLIP;TRIP6;RHOJ;CKS2;HCLS1;GRB2;KIF20A;CNOT9
GO_Molecular_Function_2025,Epidermal Growth Factor Receptor Binding (GO:0005154),4/27,0.0556367293837334,0.5794779352736541,0,0,3.0453318289881937,8.797694737135297,HIP1;GRB2;CNOT9;EREG
GO_Molecular_Function_2025,Phosphatidylinositol-4-Phosphate Binding (GO:0070273),4/27,0.0556367293837334,0.5794779352736541,0,0,3.0453318289881937,8.797694737135297,GSDMD;PLEKHA5;LANCL2;PLA2G4A
GO_Molecular_Function_2025,Ubiquitin Protein Ligase Binding (GO:0031625),21/268,0.05764851703054,0.5844269857443922,0,0,1.4946590727143805,4.264846381852211,RNF31;BECN1;CDKN1B;CUL3;GLMN;LAPTM5;CUL1;CXCR4;UBE2G1;PTPN22;AUP1;TANK;DNAJA1;PSMA3;PRKAR2B;MDM2;FBXO7;IKBKE;BLZF1;JAK1;WRAP53
GO_Molecular_Function_2025,"Hydrolase Activity, Acting on Carbon-Nitrogen (But Not Peptide) Bonds, in Linear Amides (GO:0016811)",5/39,0.0578384166098586,0.5844269857443922,0,0,2.5759849394303176,7.34182002581643,HINT1;HDAC3;NADSYN1;NIT2;DARS1
GO_Molecular_Function_2025,Protein Phosphatase Binding (GO:0019903),11/120,0.0607594037184155,0.5852228461910548,0,0,1.7705737368204848,4.959082085847211,IGBP1;TBK1;CDKN1B;BOD1;DYNLT4;GTF2F1;ARPP19;IKBKE;TANK;JAK1;TPRN
GO_Molecular_Function_2025,Phosphoric Ester Hydrolase Activity (GO:0042578),6/52,0.0608775542176681,0.5852228461910548,0,0,2.285454765653385,6.396738180409811,ARMT1;DUSP3;PTPMT1;PXYLP1;PTPN22;SMPDL3A
GO_Molecular_Function_2025,Phosphatidylinositol-5-Phosphate Binding (GO:0010314),3/17,0.0610318747815796,0.5852228461910548,0,0,3.7505952380952383,10.488010801466812,PLEKHA5;LANCL2;PLA2G4A
GO_Molecular_Function_2025,Ubiquitin Conjugating Enzyme Binding (GO:0031624),4/28,0.0622393573497133,0.5852228461910548,0,0,2.9182885387704665,8.103409425304338,RNF14;TOLLIP;RNF217;AUP1
GO_Molecular_Function_2025,NF-kappaB Binding (GO:0051059),4/28,0.0622393573497133,0.5852228461910548,0,0,2.9182885387704665,8.103409425304338,COMMD8;NPM1;HDAC3;SETD6
GO_Molecular_Function_2025,Adenyl Ribonucleotide Binding (GO:0032559),24/318,0.063553975612286,0.5878282792947984,0,0,1.4355475901408723,3.956176399550341,SRPK2;ABCA2;RTEL1;PXK;RRM1;ACSS2;ABCB6;HNRNPU;SMC4;CLPX;SEC14L2;ZAP70;ACTC1;MTHFD1L;PRKAR2B;LONP1;MYO18A;LANCL2;MTREX;ABCE1;CARS2;ABCF3;PDK2;RAPGEF4
GO_Molecular_Function_2025,5'-3' DNA Exonuclease Activity (GO:0035312),2/8,0.0659895852679537,0.5878282792947984,0,0,5.831329016342893,15.851058780811051,EXO5;PLD3
GO_Molecular_Function_2025,5S rRNA Binding (GO:0008097),2/8,0.0659895852679537,0.5878282792947984,0,0,5.831329016342893,15.851058780811051,MDM2;RPF2
GO_Molecular_Function_2025,Phospholipase Inhibitor Activity (GO:0004859),2/8,0.0659895852679537,0.5878282792947984,0,0,5.831329016342893,15.851058780811051,PNKD;ANXA5
GO_Molecular_Function_2025,Lipid Phosphatase Activity (GO:0042577),3/18,0.0703940151277385,0.6124484768411347,0,0,3.5003703703703706,9.288747443610925,PLPP7;PLPP5;PLPP2
GO_Molecular_Function_2025,2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706),5/42,0.0750131553877504,0.6124484768411347,0,0,2.366745223888081,6.130087339469207,FTO;ALKBH3;KDM4B;KDM2A;KDM4C
GO_Molecular_Function_2025,Phosphatidylinositol-3-Phosphate Binding (GO:0032266),5/42,0.0750131553877504,0.6124484768411347,0,0,2.366745223888081,6.130087339469207,HIP1;SNX27;PLEKHA5;LANCL2;PLA2G4A
GO_Molecular_Function_2025,miRNA Binding (GO:0035198),4/30,0.0766158187384386,0.6124484768411347,0,0,2.693519640692949,6.919521893907814,FMR1;TUT4;ELAVL1;PUM2
GO_Molecular_Function_2025,Single-Stranded DNA Exodeoxyribonuclease Activity (GO:0008297),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,EXO5;PLD3
GO_Molecular_Function_2025,JUN Kinase Binding (GO:0008432),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,SPAG9;RNF13
GO_Molecular_Function_2025,RNA Polymerase II General Transcription Initiation Factor Binding (GO:0001091),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,TBP;GTF2F1
GO_Molecular_Function_2025,Tat Protein Binding (GO:0030957),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,DNAJA1;NPM1
GO_Molecular_Function_2025,cAMP-dependent Protein Kinase Inhibitor Activity (GO:0004862),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,PKIB;PRKAR2B
GO_Molecular_Function_2025,Histone H3K36 Demethylase Activity (GO:0051864),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,KDM4B;KDM4C
GO_Molecular_Function_2025,Lipase Inhibitor Activity (GO:0055102),2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,PNKD;ANXA5
GO_Molecular_Function_2025,"Phosphatidylinositol-4,5-Bisphosphate Phosphatase Activity (GO:0106019)",2/9,0.0818728665076047,0.6124484768411347,0,0,4.998017708470992,12.507977358157204,PIP4P2;PTPMT1
GO_Molecular_Function_2025,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),7/70,0.0838960371400319,0.6124484768411347,0,0,1.9469227591904168,4.824819007440356,MOB1A;CAB39L;RHEB;TAOK2;LONP1;CKS2;IRGM
GO_Molecular_Function_2025,Iron-Sulfur Cluster Binding (GO:0051536),4/31,0.0843738513751623,0.6124484768411347,0,0,2.5936223526584974,6.412725413696262,DPH1;EXO5;ACO2;SDHB
GO_Molecular_Function_2025,Kinesin Binding (GO:0019894),4/31,0.0843738513751623,0.6124484768411347,0,0,2.5936223526584974,6.412725413696262,SPAG9;PRC1;RAB29;TOR1B
GO_Molecular_Function_2025,ATP Binding (GO:0005524),21/281,0.084888515581245,0.6124484768411347,0,0,1.4189374185136896,3.499690611492798,SRPK2;ABCA2;RTEL1;PXK;RRM1;ABCB6;HNRNPU;SMC4;CLPX;SEC14L2;ZAP70;ACTC1;MTHFD1L;LONP1;MYO18A;LANCL2;MTREX;ABCE1;CARS2;ABCF3;PDK2
GO_Molecular_Function_2025,Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538),5/44,0.0878338075628265,0.6124484768411347,0,0,2.245135816564388,5.460863604916194,CCNA1;CDKN1B;CCNG2;INCA1;CKS2
GO_Molecular_Function_2025,Vitamin B6 Binding (GO:0070279),3/20,0.0908905705548472,0.6124484768411347,0,0,3.088235294117647,7.405894024476654,SHMT1;SBDS;ACCS
GO_Molecular_Function_2025,Pyridoxal Phosphate Binding (GO:0030170),3/20,0.0908905705548472,0.6124484768411347,0,0,3.088235294117647,7.405894024476654,SHMT1;SBDS;ACCS
GO_Molecular_Function_2025,Ubiquitin-Like Protein Ligase Binding (GO:0044389),21/284,0.0922106208217257,0.6124484768411347,0,0,1.4025262615196237,3.3431737454259616,RNF31;BECN1;CDKN1B;CUL3;GLMN;LAPTM5;CUL1;CXCR4;UBE2G1;PTPN22;AUP1;TANK;DNAJA1;PSMA3;PRKAR2B;MDM2;FBXO7;IKBKE;BLZF1;JAK1;WRAP53
GO_Molecular_Function_2025,Protein Kinase Inhibitor Activity (GO:0004860),6/58,0.0927110006002485,0.6124484768411347,0,0,2.021105635311764,4.806731149382162,CDKN1C;NPM1;CDKN1B;PTPRC;NCK1;DHDDS
GO_Molecular_Function_2025,Single-Stranded RNA Binding (GO:0003727),5/45,0.0946446826461159,0.6124484768411347,0,0,2.18889146567718,5.160586515760593,U2AF2;FMR1;ZFR;LONP1;HNRNPU
GO_Molecular_Function_2025,Voltage-Gated Potassium Channel Activity Involved in Ventricular Cardiac Muscle Cell Action Potential Repolarization (GO:1902282),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,KCNJ5;KCNE2
GO_Molecular_Function_2025,RNA Polymerase I Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0001163),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,TBP;PIH1D1
GO_Molecular_Function_2025,acyl-CoA Dehydrogenase Activity (GO:0003995),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,GCDH;ACAD9
GO_Molecular_Function_2025,Clathrin Heavy Chain Binding (GO:0032050),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,LMBRD1;CLTA
GO_Molecular_Function_2025,Cyclin-Dependent Protein Serine/Threonine Kinase Inhibitor Activity (GO:0004861),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,CDKN1B;INCA1
GO_Molecular_Function_2025,Dipeptidase Activity (GO:0016805),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,CPQ;NAALAD2
GO_Molecular_Function_2025,Dipeptidyl-Peptidase Activity (GO:0008239),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,GLMN;NAALAD2
GO_Molecular_Function_2025,"Oxidoreductase Activity, Acting on NAD(P)H, Heme Protein as Acceptor (GO:0016653)",2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,NQO1;CYB5R3
GO_Molecular_Function_2025,Phosphatidylinositol Transfer Activity (GO:0008526),2/10,0.098775324739381,0.6124484768411347,0,0,4.373034227567068,10.123169534462898,OSBPL2;PITPNM2
