Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2025,Ubiquitin-Protein Transferase Activity (GO:0004842),40/409,0.000227765078133863,0.1012237708079728,0,0,1.927730878459312,16.168256364465872,RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;TNFAIP1;FBXO21;RCHY1;RNF4;TANK;FBXO22;MARCHF11;HERC4;HERC3;TRIM5;RNF138;RNF217;TRIM27;FBXO7;MARCHF3;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;UBE2G1;MEX3C;PJA2;TRIM17;NFX1;UBE2S;PELI1;MDM2;TRIM35;TRIM13;MKRN2;RNF181;FBXL3;RNF185
GO_Molecular_Function_2025,mRNA Binding (GO:0003729),32/310,0.0003657508764017039,0.1012237708079728,0,0,2.0413857306162684,16.15462462842873,SLBP;SHMT1;FMR1;HNRNPU;DDX41;ELAVL1;ZC3H12D;METTL14;TRA2B;PPP1R8;LUC7L;EIF4E;NELFE;YTHDF1;HNRNPA3;YTHDF2;NCBP1;RPS5;UPF3A;HNRNPAB;CDC40;PUM2;DDX19A;HNRNPK;ESRP2;FUBP1;RBMS1;HNRNPC;NSRP1;EIF4G2;RBMS2;SF1
GO_Molecular_Function_2025,aminoacyl-tRNA Ligase Activity (GO:0004812),8/38,0.0008229297776289588,0.1012237708079728,0,0,4.685147286821706,33.276913053203955,EPRS1;LARS1;TARS2;YARS1;DTD1;CARS2;DARS1;WARS1
GO_Molecular_Function_2025,Ubiquitin-Like Protein Ligase Activity (GO:0061659),32/326,0.0008692554967054313,0.1012237708079728,0,0,1.9286329184385456,13.592760766874523,RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;RCHY1;RNF4;TANK;HERC4;UFL1;HERC3;TRIM5;RNF138;RNF217;TRIM27;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;MEX3C;PJA2;TRIM17;NFX1;TRIM13;PELI1;MDM2;MKRN2;TRIM35;RNF181;RNF185
GO_Molecular_Function_2025,"Oxidoreductase Activity, Acting on the Aldehyde or Oxo Group of Donors, NAD or NADP as Acceptor (GO:0016620)",6/22,0.0008765311434096462,0.1012237708079728,0,0,6.581128133704736,46.32810370366416,ALDH3A2;ALDH1A3;ALDH6A1;BCKDHB;ALDH1A1;ALDH9A1
GO_Molecular_Function_2025,Ubiquitin Protein Ligase Activity (GO:0061630),31/313,0.0008971087516216205,0.1012237708079728,0,0,1.9472703125421351,13.662697857320422,RNF31;MARCHF2;RNF13;RNF14;CUL3;UBE3B;RCHY1;RNF4;TANK;HERC4;HERC3;TRIM5;RNF138;RNF217;TRIM27;KCMF1;HACE1;TRIM41;SMURF1;SYVN1;MEX3C;PJA2;TRIM17;NFX1;TRIM13;PELI1;MDM2;MKRN2;TRIM35;RNF181;RNF185
GO_Molecular_Function_2025,Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),5/16,0.0012200274833488,0.1179940866038808,0,0,7.971833361443751,53.482088493843655,ALDH3A2;ALDH1A3;ALDH1A1;ALDH16A1;ALDH9A1
GO_Molecular_Function_2025,Poly-Pyrimidine Tract Binding (GO:0008187),6/25,0.0018100956100387,0.13793726909922,0,0,5.541123002492303,34.988731949329626,U2AF2;FMR1;HNRNPU;RBMS1;HNRNPC;RBMS2
GO_Molecular_Function_2025,Ubiquitin Binding (GO:0043130),12/84,0.0018337303129881,0.13793726909922,0,0,2.932617491441021,18.47960455429583,TOP2A;RNF31;USP33;TOLLIP;NUP62;CKS2;MVB12A;MDM2;CXCR4;UBAP1;FBXO7;RNF185
GO_Molecular_Function_2025,Prenyl Diphosphate Synthase Activity (GO:0120531),3/6,0.0027987149183136,0.1894729999698329,0,0,17.512962962962963,102.95161519402616,FDPS;PDSS1;DHDDS
GO_Molecular_Function_2025,Prenyltransferase Activity (GO:0004659),3/7,0.0047010418859479,0.2873374576982568,0,0,13.134027777777778,70.39800953839384,PDSS1;DHDDS;FDFT1
GO_Molecular_Function_2025,Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714),8/50,0.0050931307125244,0.2873374576982568,0,0,3.344407530454042,17.65801212641451,NRP1;PDGFRA;CSF1R;NTRK3;TIE1;ERBB2;TEK;FGFR2
GO_Molecular_Function_2025,Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),4/14,0.0055279114097352,0.2878766172608276,0,0,7.009082483781279,36.43282678180532,ALDH3A2;ALDH1A3;ALDH1A1;ALDH9A1
GO_Molecular_Function_2025,siRNA Binding (GO:0035197),3/8,0.0072204379430987,0.311752857451195,0,0,10.506666666666666,51.80668880974294,FMR1;ARB2A;TARBP2
GO_Molecular_Function_2025,rRNA Binding (GO:0019843),7/43,0.0078045177680186,0.311752857451195,0,0,3.411994010739364,16.558586104511274,NPM1;RPS5;MRPL16;GTF3A;MDM2;SBDS;RPF2
GO_Molecular_Function_2025,Regulatory RNA Binding (GO:0061980),7/43,0.0078045177680186,0.311752857451195,0,0,3.411994010739364,16.558586104511274,FMR1;TUT4;HNRNPU;ARB2A;ELAVL1;TARBP2;PUM2
GO_Molecular_Function_2025,pre-mRNA Binding (GO:0036002),6/33,0.0078283583111821,0.311752857451195,0,0,3.8976581037862377,18.90365138177312,SLBP;U2AF2;TRA2B;HNRNPU;TARBP2;RBM22
GO_Molecular_Function_2025,"4 Iron, 4 Sulfur Cluster Binding (GO:0051539)",4/16,0.0092185518909733,0.3467199794549435,0,0,5.840284213778189,27.37070990079657,DPH1;EXO5;ACO2;SDHB
GO_Molecular_Function_2025,Nuclear Thyroid Hormone Receptor Binding (GO:0046966),5/26,0.011721473340675,0.4176546027177374,0,0,4.173513561268663,18.55683020145515,MED24;NCOA3;TRIP6;BRD8;MED16
GO_Molecular_Function_2025,Disordered Domain Specific Binding (GO:0097718),4/18,0.0142212223963519,0.4598151896925612,0,0,5.005428306633126,21.288186171739657,DFFB;NCOA3;FKBP8;MDM2
GO_Molecular_Function_2025,Platelet-Derived Growth Factor Binding (GO:0048407),3/10,0.0142631004188239,0.4598151896925612,0,0,7.503968253968254,31.892461396861744,PDGFRA;COL5A1;COL4A1
GO_Molecular_Function_2025,N6-methyladenosine-containing RNA Reader Activity (GO:1990247),3/11,0.0188332564776098,0.5510295549508288,0,0,6.565625,26.07952266477048,YTHDF1;YTHDF2;HNRNPC
GO_Molecular_Function_2025,Toll-like Receptor Binding (GO:0035325),3/11,0.0188332564776098,0.5510295549508288,0,0,6.565625,26.07952266477048,TOLLIP;TLR6;TLR2
GO_Molecular_Function_2025,Poly-Purine Tract Binding (GO:0070717),5/30,0.021258109382108,0.5510295549508288,0,0,3.505009276437848,13.497849742407723,PAN3;FMR1;HNRNPU;RBMS1;RBMS2
GO_Molecular_Function_2025,Protein Serine/Threonine Phosphatase Inhibitor Activity (GO:0004865),3/12,0.0241172101865766,0.5510295549508288,0,0,5.835802469135802,21.73736964676364,PPP1R14B;PPP1R8;TPRN
GO_Molecular_Function_2025,Histone Demethylase Activity (GO:0032452),4/21,0.0244637122416888,0.5510295549508288,0,0,4.121463228479529,15.29295470012234,KDM4B;KDM2A;KDM4C;KDM1B
GO_Molecular_Function_2025,Cholesterol Binding (GO:0015485),7/54,0.0257388447214439,0.5510295549508288,0,0,2.6119196393261093,9.558983244370031,SCARB2;STARD3;STARD3NL;NPC1;SOAT1;OSBPL2;NR1H3
GO_Molecular_Function_2025,Ceramide 1-Phosphate Binding (GO:1902387),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,GLTP;PLA2G4A
GO_Molecular_Function_2025,Phospholipase D Activity (GO:0004630),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,PLD3;PLD2
GO_Molecular_Function_2025,aminoacyl-tRNA Editing Activity (GO:0002161),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,LARS1;TARS2
GO_Molecular_Function_2025,Vascular Endothelial Growth Factor Receptor Activity (GO:0005021),2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,NRP1;PDGFRA
GO_Molecular_Function_2025,"Cytochrome-B5 Reductase Activity, Acting on NAD(P)H (GO:0004128)",2/5,0.0262555893534547,0.5510295549508288,0,0,11.664508171446192,42.45736783425048,NQO1;CYB5R3
GO_Molecular_Function_2025,Sterol Binding (GO:0032934),8/67,0.0277602660045374,0.5510295549508288,0,0,2.3786204178163186,8.525331326524219,SCARB2;OSBPL9;STARD3;STARD3NL;NPC1;SOAT1;OSBPL2;NR1H3
GO_Molecular_Function_2025,poly(U) RNA Binding (GO:0008266),4/22,0.028652993884519,0.5510295549508288,0,0,3.892287097106374,13.827339569472274,FMR1;RBMS1;HNRNPC;RBMS2
GO_Molecular_Function_2025,Ribosome Binding (GO:0043022),10/93,0.0288057130047649,0.5510295549508288,0,0,2.114777843901234,7.501500936048474,NPM1;YTHDF1;DNPEP;NCLN;NEMF;EIF6;FMR1;IFRD2;LONP1;SBDS
GO_Molecular_Function_2025,Long-Chain Fatty Acid Transmembrane Transporter Activity (GO:0005324),3/13,0.0301153523385238,0.5510295549508288,0,0,5.251944444444445,18.39609185694866,FABP4;MFSD2A;SLC27A4
GO_Molecular_Function_2025,U6 snRNA Binding (GO:0017070),3/13,0.0301153523385238,0.5510295549508288,0,0,5.251944444444445,18.39609185694866,PRPF4;LSM4;RBM22
GO_Molecular_Function_2025,Protein Kinase A Regulatory Subunit Binding (GO:0034237),4/23,0.033241756786092,0.5595377655377215,0,0,3.6872347690356566,12.551157109382425,AKAP8L;AKAP8;AKAP7;PJA2
GO_Molecular_Function_2025,Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),5/34,0.0347914234217866,0.5595377655377215,0,0,3.0209199667327744,10.145410417341049,RNF14;TOLLIP;RNF217;AUP1;RNF185
GO_Molecular_Function_2025,Histone H4 Methyltransferase Activity (GO:0140939),3/14,0.0368210295240278,0.5595377655377215,0,0,4.774242424242424,15.763050053380962,SETD4;PRMT7;KMT5C
GO_Molecular_Function_2025,Muscle Alpha-Actinin Binding (GO:0051371),3/14,0.0368210295240278,0.5595377655377215,0,0,4.774242424242424,15.763050053380962,PDLIM3;PDLIM7;NOL6
GO_Molecular_Function_2025,Sphingosine-1-Phosphate Phosphatase Activity (GO:0042392),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,PLPP7;PLPP2
GO_Molecular_Function_2025,Tumor Necrosis Factor Binding (GO:0043120),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,TANK;TNFRSF1A
GO_Molecular_Function_2025,RNA Polymerase II C-terminal Domain Binding (GO:0099122),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,LEO1;HNRNPU
GO_Molecular_Function_2025,Aryl Hydrocarbon Receptor Binding (GO:0017162),2/6,0.0379840533486354,0.5595377655377215,0,0,8.747918593894543,28.610845066850647,TBP;TAF6
GO_Molecular_Function_2025,poly(A) Binding (GO:0008143),4/24,0.038233809705052,0.5595377655377215,0,0,3.502687673772011,11.432895455489504,PAN3;HNRNPU;RBMS1;RBMS2
GO_Molecular_Function_2025,Pentosyltransferase Activity (GO:0016763),5/35,0.0388453101628846,0.5595377655377215,0,0,2.9200680272108843,9.484871307675936,PARP4;NAMPT;PPY;TSPAN32;SIRT3
GO_Molecular_Function_2025,Fatty Acid Transmembrane Transporter Activity (GO:0015245),3/15,0.0442215689978084,0.5788043338216766,0,0,4.376157407407407,13.647233397985104,FABP4;MFSD2A;SLC27A4
GO_Molecular_Function_2025,Ribosomal Large Subunit Binding (GO:0043023),3/15,0.0442215689978084,0.5788043338216766,0,0,4.376157407407407,13.647233397985104,NPM1;EIF6;NEMF
GO_Molecular_Function_2025,Protein Kinase Binding (GO:0019901),38/527,0.0445591575513585,0.5788043338216766,0,0,1.3703662390778957,4.263123844502885,TOP2A;BECN1;PTPRR;CDKN1B;RNF13;MAML1;PEBP1;TANK;ELAVL1;UFL1;HINT1;PRKAR2B;TRIM5;RNF138;CDK5RAP1;SLC12A6;FBXO7;SPAG9;PTPN1;NPM1;ACE;DUSP3;PIH1D1;NCOA3;CAVIN3;IRGM;TPCN2;PJA2;WARS1;DHDDS;PTPRC;PRC1;TAOK2;RHOJ;CKS2;HCLS1;GRB2;KIF20A
GO_Molecular_Function_2025,Transmembrane Receptor Protein Kinase Activity (GO:0019199),5/37,0.0477831947924757,0.5788043338216766,0,0,2.737273886827458,8.324272360902357,PDGFRA;NTRK3;TIE1;ERBB2;TEK
GO_Molecular_Function_2025,RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),19/232,0.0479522371299082,0.5788043338216766,0,0,1.568075117370892,4.763106295641659,PSMD10;HES6;SP100;NPM1;TBP;HDAC3;SETD6;NCOA3;GATA2;DNAJA1;COMMD8;TTC8;TBK1;SOX17;SIN3A;HCLS1;FIZ1;TAF6;BBS4
GO_Molecular_Function_2025,Protein Tyrosine Kinase Activity (GO:0004713),10/102,0.0495018152334235,0.5788043338216766,0,0,1.9069856963410188,5.73191451193139,PDGFRA;CSF1R;ZAP70;NTRK3;TIE1;ERBB2;TEK;CLK3;FGFR2;JAK1
