Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2025	Transcription Corepressor Binding (GO:0001222)	10/46	1.079989e-05	6.058737e-03	0	0	6.747289e+00	7.716183e+01	PER1;HDAC3;CTBP1;THAP7;EHMT2;PHF1;USP11;CNOT2;LCOR;NR1D1
GO_Molecular_Function_2025	Transcription Coregulator Binding (GO:0001221)	14/103	5.985214e-05	1.678852e-02	0	0	3.829786e+00	3.723944e+01	HDAC3;CTBP1;EHMT2;PHF1;USP11;NR1D1;HIF1A;DHDDS;PER1;MED25;THAP7;CNOT2;LCOR;VGLL4
GO_Molecular_Function_2025	DNA-binding Transcription Factor Binding (GO:0140297)	25/294	3.336406e-04	6.239080e-02	0	0	2.273229e+00	1.819822e+01	TCERG1;GSK3B;CIITA;HDAC3;CTBP1;MAX;DOT1L;PSIP1;NLK;STK4;HIF1A;E4F1;EIF4E;RBFOX2;TLE1;TCF12;STAT3;PBX2;SIRT2;KAT2A;PSMC5;NCOR1;ID2;BCL3;BCOR
GO_Molecular_Function_2025	C2H2 Zinc Finger Domain Binding (GO:0070742)	4/11	6.661493e-04	9.342745e-02	0	0	1.379623e+01	1.009056e+02	SRRM2;THAP7;WT1;EHMT2
GO_Molecular_Function_2025	Protein Phosphatase Regulator Activity (GO:0019888)	9/75	2.942414e-03	3.301389e-01	0	0	3.302934e+00	1.925124e+01	RCAN1;PPP6R2;PPP6R3;IGFBP2;CRY2;PPP2R2D;RCAN3;RNF7;PPP1R12C
GO_Molecular_Function_2025	Tau-Protein Kinase Activity (GO:0050321)	3/9	4.453322e-03	3.349781e-01	0	0	1.205716e+01	6.527873e+01	GSK3B;CSNK1D;MARK2
GO_Molecular_Function_2025	Ion Channel Inhibitor Activity (GO:0008200)	6/40	4.798029e-03	3.349781e-01	0	0	4.265336e+00	2.277498e+01	RSC1A1;CAMK2D;SYNGAP1;PCSK9;STX1A;VTI1B
GO_Molecular_Function_2025	Protein Serine/Threonine Kinase Activity (GO:0004674)	25/359	5.254850e-03	3.349781e-01	0	0	1.824549e+00	9.576333e+00	GSK3B;CAMK2D;NLK;STK4;KALRN;CAMKK2;MYLK4;MAPK9;GRK3;TTR;PHKG2;TLK2;PIM3;MAP3K6;MARK2;PRKCG;CDKL5;CSNK1A1;DAPK2;MINK1;CSNK1D;DHDDS;MAP3K15;CDK10;ATM
GO_Molecular_Function_2025	NAD Binding (GO:0051287)	5/29	5.373980e-03	3.349781e-01	0	0	5.031749e+00	2.629686e+01	BDH2;CTBP1;SORD;SIRT2;SIRT3
GO_Molecular_Function_2025	Galactosyltransferase Activity (GO:0008378)	3/10	6.174300e-03	3.463782e-01	0	0	1.033417e+01	5.257364e+01	B4GALT3;A4GALT;B4GALT4
GO_Molecular_Function_2025	Long-Chain Fatty acyl-CoA Hydrolase Activity (GO:0052816)	3/11	8.239864e-03	3.657013e-01	0	0	9.041928e+00	4.339015e+01	ACOT8;DESI2;PLA2G6
GO_Molecular_Function_2025	Lysophospholipase Activity (GO:0004622)	4/21	8.790614e-03	3.657013e-01	0	0	5.677839e+00	2.687929e+01	ABHD4;PNPLA6;PLA2G6;PLB1
GO_Molecular_Function_2025	GTPase Binding (GO:0051020)	17/225	9.116605e-03	3.657013e-01	0	0	1.985054e+00	9.325106e+00	BECN1;RIC1;CDKL5;USP33;GAPVD1;BICD2;RABGEF1;AP3M1;SIKE1;SYNGAP1;KIF3A;SGSM3;DMXL2;ARFIP2;RIN3;EXOC5;WHAMM
GO_Molecular_Function_2025	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	22/318	9.126235e-03	3.657013e-01	0	0	1.808367e+00	8.493181e+00	EHF;NR1H2;TCF12;STAT3;PBX2;NRF1;FOXO3;HIF1A;KLF15;MEIS2;FOSL2;SOX2;RXRB;NR4A2;IRF3;WT1;HSF2;ZSCAN21;MAFF;E4F1;MYBL2;ATF5
GO_Molecular_Function_2025	Pentosyltransferase Activity (GO:0016763)	5/35	1.207189e-02	4.342621e-01	0	0	4.024139e+00	1.777412e+01	QTRT1;PARP6;LARGE2;SIRT2;SIRT3
GO_Molecular_Function_2025	mRNA Binding (GO:0003729)	21/310	1.330180e-02	4.342621e-01	0	0	1.766360e+00	7.630422e+00	SRRM2;FYTTD1;NANOS1;SLC4A1AP;RBFOX2;YTHDF3;METTL3;CELF3;CIRBP;HNRNPR;TIAL1;HNRNPM;PCF11;SNRNP70;ESRP2;ESRP1;TARDBP;SRSF7;EIF4G3;EIF4E;LUC7L2
GO_Molecular_Function_2025	Small GTPase Binding (GO:0031267)	15/199	1.403392e-02	4.342621e-01	0	0	1.977422e+00	8.436232e+00	RIC1;CDKL5;USP33;GAPVD1;BICD2;RABGEF1;AP3M1;SIKE1;KIF3A;SGSM3;DMXL2;ARFIP2;RIN3;EXOC5;WHAMM
GO_Molecular_Function_2025	Apolipoprotein Receptor Binding (GO:0034190)	2/5	1.470763e-02	4.342621e-01	0	0	1.605855e+01	6.775728e+01	NR1H2;PCSK9
GO_Molecular_Function_2025	lncRNA Binding (GO:0106222)	2/5	1.470763e-02	4.342621e-01	0	0	1.605855e+01	6.775728e+01	STAT3;RBM33
GO_Molecular_Function_2025	Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)	15/206	1.865125e-02	4.820399e-01	0	0	1.904250e+00	7.582423e+00	RIC1;PLEKHG5;ARHGEF10L;GAPVD1;KALRN;RHOD;RASGRP4;RABGEF1;EPS8L1;RIN3;SMCR8;SBF1;CYTH1;RALGPS2;ARHGEF6
GO_Molecular_Function_2025	GTPase Regulator Activity (GO:0030695)	26/424	2.072823e-02	4.820399e-01	0	0	1.589051e+00	6.159574e+00	ERRFI1;GPS2;ARHGEF10L;KALRN;RASGRP4;ARHGAP12;RABGEF1;FLCN;SYNGAP1;RGS3;EPS8L1;SBF1;TBC1D17;CYTH1;RALGPS2;RIC1;PLEKHG5;GAPVD1;GMIP;RHOD;SGSM3;SMCR8;RIN3;GNB5;LLGL1;ARHGEF6
GO_Molecular_Function_2025	NAD-dependent Protein Lysine Deacetylase Activity (GO:0034979)	2/6	2.148128e-02	4.820399e-01	0	0	1.204329e+01	4.625313e+01	SIRT2;SIRT3
GO_Molecular_Function_2025	Chloride Channel Inhibitor Activity (GO:0019869)	2/6	2.148128e-02	4.820399e-01	0	0	1.204329e+01	4.625313e+01	STX1A;VTI1B
GO_Molecular_Function_2025	Clathrin Light Chain Binding (GO:0032051)	2/6	2.148128e-02	4.820399e-01	0	0	1.204329e+01	4.625313e+01	HIP1R;NSG1
GO_Molecular_Function_2025	Histone Deacetylase Activity, NAD-dependent (GO:0017136)	2/6	2.148128e-02	4.820399e-01	0	0	1.204329e+01	4.625313e+01	SIRT2;SIRT3
GO_Molecular_Function_2025	RNA Endonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016891)	4/28	2.414121e-02	4.832133e-01	0	0	4.020335e+00	1.497107e+01	RNASEH2A;EXO1;ELAC2;DICER1
GO_Molecular_Function_2025	FAD Binding (GO:0071949)	4/29	2.714397e-02	4.832133e-01	0	0	3.859321e+00	1.391903e+01	SQLE;TXNRD1;SQOR;CRY2
GO_Molecular_Function_2025	Flavin Adenine Dinucleotide Binding (GO:0050660)	6/58	2.774000e-02	4.832133e-01	0	0	2.786255e+00	9.988388e+00	NANOS1;FOXRED2;SQLE;TXNRD1;CRY2;SQOR
GO_Molecular_Function_2025	Nuclear Retinoic Acid Receptor Binding (GO:0042974)	3/17	2.842629e-02	4.832133e-01	0	0	5.165201e+00	1.839039e+01	NR4A2;MED25;CNOT1
GO_Molecular_Function_2025	Transition Metal Ion Binding (GO:0046914)	27/458	2.900528e-02	4.832133e-01	0	0	1.523118e+00	5.392259e+00	ADAMDEC1;USP33;CHD3;RNF7;IKZF4;CZIB;ZKSCAN5;ZFPL1;LARGE2;NANOS1;ARG2;AOC2;SEC24A;PDE2A;TET2;SORD;SIRT2;PML;SIRT3;TRAF7;P2RX4;XPNPEP1;WT1;FDX1;MDM4;SEC24C;SHANK3
GO_Molecular_Function_2025	Sodium Channel Inhibitor Activity (GO:0019871)	2/7	2.928565e-02	4.832133e-01	0	0	9.634128e+00	3.401481e+01	RSC1A1;PCSK9
GO_Molecular_Function_2025	Bubble DNA Binding (GO:0000405)	2/7	2.928565e-02	4.832133e-01	0	0	9.634128e+00	3.401481e+01	RECQL4;ERCC5
GO_Molecular_Function_2025	Fucose Binding (GO:0042806)	2/7	2.928565e-02	4.832133e-01	0	0	9.634128e+00	3.401481e+01	ASGR1;ASGR2
GO_Molecular_Function_2025	Nucleotide Transmembrane Transporter Activity (GO:0015215)	2/7	2.928565e-02	4.832133e-01	0	0	9.634128e+00	3.401481e+01	SLC25A19;SLC25A36
GO_Molecular_Function_2025	Adenyl Nucleotide Binding (GO:0030554)	4/30	3.035988e-02	4.866255e-01	0	0	3.710692e+00	1.296751e+01	NANOS1;BDH2;CTBP1;SORD
GO_Molecular_Function_2025	Phosphatase Inhibitor Activity (GO:0019212)	4/31	3.379086e-02	5.226801e-01	0	0	3.573072e+00	1.210401e+01	CTNND1;IGFBP2;CRY2;RNF7
GO_Molecular_Function_2025	Histone Methyltransferase Activity (GO:0042054)	4/32	3.743823e-02	5.226801e-01	0	0	3.445283e+00	1.131797e+01	SETD2;PRMT8;DOT1L;KMT5B
GO_Molecular_Function_2025	pre-miRNA Binding (GO:0070883)	2/8	3.802780e-02	5.226801e-01	0	0	8.028022e+00	2.624712e+01	DICER1;TARBP2
GO_Molecular_Function_2025	Protein N-acetyltransferase Activity (GO:0034212)	2/8	3.802780e-02	5.226801e-01	0	0	8.028022e+00	2.624712e+01	NAA60;NAA10
GO_Molecular_Function_2025	siRNA Binding (GO:0035197)	2/8	3.802780e-02	5.226801e-01	0	0	8.028022e+00	2.624712e+01	DICER1;TARBP2
