Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2025,Transcription Corepressor Binding (GO:0001222),10/46,1.0799887625087402e-05,0.006058736957674,0,0,6.747289114209266,77.16182847389891,PER1;HDAC3;CTBP1;THAP7;EHMT2;PHF1;USP11;CNOT2;LCOR;NR1D1
GO_Molecular_Function_2025,Transcription Coregulator Binding (GO:0001221),14/103,5.985213631745654e-05,0.0167885242370465,0,0,3.829786015887784,37.23943534176088,HDAC3;CTBP1;EHMT2;PHF1;USP11;NR1D1;HIF1A;DHDDS;PER1;MED25;THAP7;CNOT2;LCOR;VGLL4
GO_Molecular_Function_2025,DNA-binding Transcription Factor Binding (GO:0140297),25/294,0.0003336406199334119,0.062390795927548,0,0,2.27322939780794,18.198215490970963,TCERG1;GSK3B;CIITA;HDAC3;CTBP1;MAX;DOT1L;PSIP1;NLK;STK4;HIF1A;E4F1;EIF4E;RBFOX2;TLE1;TCF12;STAT3;PBX2;SIRT2;KAT2A;PSMC5;NCOR1;ID2;BCL3;BCOR
GO_Molecular_Function_2025,C2H2 Zinc Finger Domain Binding (GO:0070742),4/11,0.0006661493406276017,0.0934274450230211,0,0,13.79622641509434,100.9055541604409,SRRM2;THAP7;WT1;EHMT2
GO_Molecular_Function_2025,Protein Phosphatase Regulator Activity (GO:0019888),9/75,0.0029424143027088,0.3301388847639382,0,0,3.3029344073647877,19.25123524887537,RCAN1;PPP6R2;PPP6R3;IGFBP2;CRY2;PPP2R2D;RCAN3;RNF7;PPP1R12C
GO_Molecular_Function_2025,Tau-Protein Kinase Activity (GO:0050321),3/9,0.0044533219288751,0.3349780925654317,0,0,12.0571608040201,65.27873411770334,GSK3B;CSNK1D;MARK2
GO_Molecular_Function_2025,Ion Channel Inhibitor Activity (GO:0008200),6/40,0.0047980289552767,0.3349780925654317,0,0,4.265336399376901,22.77497731132126,RSC1A1;CAMK2D;SYNGAP1;PCSK9;STX1A;VTI1B
GO_Molecular_Function_2025,Protein Serine/Threonine Kinase Activity (GO:0004674),25/359,0.0052548499194828,0.3349780925654317,0,0,1.8245485772640768,9.576332659090813,GSK3B;CAMK2D;NLK;STK4;KALRN;CAMKK2;MYLK4;MAPK9;GRK3;TTR;PHKG2;TLK2;PIM3;MAP3K6;MARK2;PRKCG;CDKL5;CSNK1A1;DAPK2;MINK1;CSNK1D;DHDDS;MAP3K15;CDK10;ATM
GO_Molecular_Function_2025,NAD Binding (GO:0051287),5/29,0.0053739800946325,0.3349780925654317,0,0,5.031748530646516,26.296856105441307,BDH2;CTBP1;SORD;SIRT2;SIRT3
GO_Molecular_Function_2025,Galactosyltransferase Activity (GO:0008378),3/10,0.0061743003551182,0.3463782499221333,0,0,10.334170854271356,52.57364439586223,B4GALT3;A4GALT;B4GALT4
