gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Kif24,19.666666666666668,4.163331998932266,0.0,0.0,-4.369233809665719,False,True,SCFA_specific_high,0.02901006205601962,0.03,True
Yif1b,5.471666666666667,9.477204668747705,24.592333333333332,6.361189301799889,1.9835024818824702,False,False,SCFA_specific_medium,0.05181926716738247,0.05,False
Vwa5b2,0.5,0.5,2.3333333333333335,1.0408329997330663,1.15200309344505,False,False,SCFA_specific_low,0.05,0.05,False
Phkg2,376.35833333333335,92.4679200714136,450.6873333333333,36.9841923168985,0.25938932276109783,False,False,SCFA_specific_low,0.2981761435708631,0.3,False
Krt86,0.3333333333333333,0.5773502691896258,3.000666666666666,1.0010001665001524,1.5852029298594323,False,False,SCFA_specific_low,0.05,0.05,False
Nodal,0.3333333333333333,0.5773502691896258,2.6666666666666665,0.5773502691896258,1.4594316186372973,False,False,SCFA_specific_low,0.025042820337045146,0.03,True
Aqp9,0.3333333333333333,0.5773502691896258,2.442,0.5099921568024355,1.3682095980992728,False,False,SCFA_specific_low,0.03326364013906861,0.03,True
Rprd1b,0.0,0.0,30.726,9.2496938327709,4.987593733258041,True,False,SCFA_specific_high,0.047245918184994753,0.05,True
Hmgn3,0.0,0.0,2.845,1.4406626947346142,1.942983598187102,True,False,SCFA_specific_low,0.05,0.05,False
Atf5,0.0,0.0,22.163666666666668,10.697355950576446,4.533791736086556,True,False,SCFA_specific_high,0.05,0.05,False
Armc10,0.0,0.0,3.176,1.5731191944668403,2.0621217119077975,True,False,SCFA_specific_low,0.05,0.05,False
1700067K01Rik,0.0,0.0,7.0,1.7320508075688772,3.0,True,False,SCFA_specific_medium,0.04441044802305169,0.04,True
Zdhhc3,0.0,0.0,2.390333333333333,0.8169922480252388,1.761427124307202,True,False,SCFA_specific_low,0.04893194604210302,0.05,True
Atm,0.0,0.0,3.964333333333333,1.2023544957013856,2.311599989400882,True,False,SCFA_specific_low,0.05,0.05,False
Vwa3a,0.0,0.0,2.0113333333333334,0.4608191980954498,1.5904024130542729,True,False,SCFA_specific_low,0.03779200550950518,0.04,True
Vps39,0.0,0.0,184.47233333333335,59.74184029918507,7.535060187727803,True,False,SCFA_specific_high,0.05,0.05,False
Cipc,0.0,0.0,85.616,22.94537792236162,6.436561643956302,True,False,SCFA_specific_high,0.04890954780841092,0.05,True
Spink2,0.0,0.0,4.203333333333333,1.4995140323896052,2.379436131482028,True,False,SCFA_specific_low,0.05,0.05,False
Zscan21,0.0,0.0,1.8283333333333331,0.7985895900481883,1.4999521590467824,True,False,SCFA_specific_low,0.05,0.05,False
Gnpda2,0.0,0.0,2.313333333333333,0.5943621230641581,1.728283351066405,True,False,SCFA_specific_low,0.04402815493372034,0.04,True
Tnrc18,0.0,0.0,1.968,0.8590942905176359,1.5694910919587162,True,False,SCFA_specific_low,0.05,0.05,False
Tomm5,0.0,0.0,1.3633333333333333,0.5886088118040143,1.2408231267436352,True,False,SCFA_specific_low,0.05,0.05,False
Psip1,0.0,0.0,8.462333333333333,2.6730081057365567,3.242195984129696,True,False,SCFA_specific_medium,0.05,0.05,False
Shank3,0.0,0.0,4.931,1.7594055814393676,2.568275371788277,True,False,SCFA_specific_low,0.05,0.05,False
Vgll4,0.0,0.0,4.0023333333333335,0.8501884104910706,2.322601195528507,True,False,SCFA_specific_low,0.03227120211440979,0.03,True
Fez1,0.0,0.0,1.4153333333333336,0.580856551424991,1.2722223050700445,True,False,SCFA_specific_low,0.05,0.05,False
Igsf23,0.0,0.0,4.103666666666666,1.1589824560075677,2.351534106130415,True,False,SCFA_specific_low,0.05,0.05,False
Tex9,0.0,0.0,27.76,6.585485859069171,4.845991770664573,True,False,SCFA_specific_high,0.04199298612009115,0.04,True
Gramd1a,0.0,0.0,1.6746666666666667,0.6765510574475023,1.4193591052289376,True,False,SCFA_specific_low,0.05,0.05,False
Pms2,0.0,0.0,14.870666666666667,5.541289049790973,3.988290826494164,True,False,SCFA_specific_medium,0.05,0.05,False
Cdipt,0.0,0.0,2.7266666666666666,0.8900260295819069,1.8978857823473092,True,False,SCFA_specific_low,0.04427309551951089,0.04,True
Pon3,0.0,0.0,54.64266666666666,8.702084941744324,5.798119657373307,True,False,SCFA_specific_high,0.02004672832540958,0.02,True
Zfp426,0.0,0.0,60.209,11.410458667380556,5.9356718932421675,True,False,SCFA_specific_high,0.026723819483145842,0.03,True
Ngf,0.0,0.0,4.299666666666667,0.6086052360383809,2.4059016212852358,True,False,SCFA_specific_low,0.022058943522980795,0.02,True
Itfg2,0.0,0.0,3.345333333333333,0.5908572867734926,2.1194668513553205,True,False,SCFA_specific_low,0.024659878372171384,0.02,True
Nrf1,0.0,0.0,4.972,1.5232028755224962,2.5782141654724544,True,False,SCFA_specific_low,0.05,0.05,False
Ccdc74a,0.0,0.0,1.2850000000000001,0.13174217244299563,1.192194165283345,True,False,SCFA_specific_low,0.014292404694144535,0.01,True
Top3a,0.0,0.0,8.156666666666666,1.4016470073928502,3.1948225045799754,True,False,SCFA_specific_medium,0.02097740298216854,0.02,True
Arih2,0.0,0.0,4.15,1.3825241408380544,2.3645724322958563,True,False,SCFA_specific_low,0.05,0.05,False
Rnaseh2a,0.0,0.0,2.43,0.7651908258728669,1.7782085763980877,True,False,SCFA_specific_low,0.05,0.05,False
Mrpl58,0.0,0.0,18.46366666666667,4.341981153037555,4.282711612998041,True,False,SCFA_specific_medium,0.0299434680288176,0.03,True
Abhd4,0.0,0.0,141.40466666666669,33.3131604074626,7.153852614636209,True,False,SCFA_specific_high,0.02923264311356638,0.03,True
Rabl2,0.0,0.0,12.502666666666668,3.0481125854097537,3.755172450819518,True,False,SCFA_specific_medium,0.03133620936184889,0.03,True
Meis2,12.581666666666669,4.572412310075868,0.0,0.0,-3.7635886248526176,False,True,SCFA_specific_high,0.05,0.05,False
Phyhipl,2.6666666666666665,2.081665999466133,0.0,0.0,-1.8744691179161408,False,True,SCFA_specific_low,0.1567259572884322,0.16,False
Arhgap12,21.758666666666667,7.096247059772746,7.255,6.466737894796727,-1.4630759185122026,False,False,SCFA_specific_high,0.059523634584473364,0.06,False
Ppp6r3,3.479333333333333,1.6200695458323184,0.5886666666666667,1.019600575388879,-1.495467578738512,False,False,SCFA_specific_medium,0.07035649846418672,0.07,False
Tmem52,0.0,0.0,80.88866666666667,100.15790385852398,6.355591892599844,True,False,SCFA_specific_medium,0.05,0.05,False
Ppp6r3,0.0,0.0,27.855666666666664,29.925566767119605,4.850782757575006,True,False,SCFA_specific_medium,0.05,0.05,False
Pbx3,0.0,0.0,5.1610000000000005,4.486030427895023,2.623164535652594,True,False,SCFA_specific_medium,0.05,0.05,False
Lcor,0.0,0.0,5.0,4.358898943540674,2.584962500721156,True,False,SCFA_specific_low,0.05,0.05,False
Zcchc8,0.0,0.0,2.1966666666666668,1.9020389936416482,1.67656831452225,True,False,SCFA_specific_low,0.05,0.05,False
Tmem54,0.0,0.0,7.937333333333332,8.18581268618659,3.1598444331235127,True,False,SCFA_specific_medium,0.05,0.05,False
Dapk2,0.0,0.0,2.638666666666667,2.1359204885325984,1.8634098938908974,True,False,SCFA_specific_low,0.05,0.05,False
Ccdc142,0.0,0.0,21.091333333333335,16.253892620948786,4.465408590780051,True,False,SCFA_specific_medium,0.05,0.05,False
Osbpl5,0.0,0.0,3.077,2.602957740724962,2.0275079568264602,True,False,SCFA_specific_low,0.05,0.05,False
Trac,0.0,0.0,10.092,8.264949606621931,3.4714476163773917,True,False,SCFA_specific_medium,0.05,0.05,False
Josd2,0.0,0.0,2.218,1.5959110250888047,1.6861643260613592,True,False,SCFA_specific_low,0.05,0.05,False
Avpi1,0.0,0.0,24.993666666666666,18.04533320095069,4.700088249617202,True,False,SCFA_specific_medium,0.05,0.05,False
Tgfa,0.3333333333333333,0.5773502691896258,4.333333333333333,2.309401076758503,2.0,False,False,SCFA_specific_low,0.05,0.05,False
Trpv3,0.3333333333333333,0.5773502691896258,3.0,1.7320508075688772,1.584962500721156,False,False,SCFA_specific_low,0.05,0.05,False
Xkr5,0.6666666666666666,0.5773502691896258,3.0,1.0,1.2630344058337941,False,False,SCFA_specific_low,0.05,0.05,False
Efcab11,0.0,0.0,2.122,1.5635507666845998,1.6424705373158217,True,False,SCFA_specific_low,0.05,0.05,False
Slc22a14,0.0,0.0,4.342333333333333,3.2089836916589856,2.4174699953185668,True,False,SCFA_specific_low,0.05,0.05,False
Mtmr12,0.0,0.0,2.783333333333333,2.054951175413502,1.9196578916823963,True,False,SCFA_specific_low,0.05,0.05,False
Syce1l,0.3333333333333333,0.5773502691896258,2.3333333333333335,0.5773502691896258,1.3219280948873626,False,False,SCFA_specific_low,0.043477893370359615,0.04,True
Ing1,0.0,0.0,8.779333333333334,6.346215118740723,3.289736118605271,True,False,SCFA_specific_medium,0.05,0.05,False
Cd300a,0.0,0.0,6.349333333333334,5.440649256599191,2.8776133873210483,True,False,SCFA_specific_medium,0.05,0.05,False
Czib,0.0,0.0,12.633000000000001,8.137174755404974,3.769031163184623,True,False,SCFA_specific_medium,0.05,0.05,False
Id2,0.0,0.0,3.1533333333333338,2.60202658198054,2.0542696625281214,True,False,SCFA_specific_low,0.05,0.05,False
Yif1b,0.0,0.0,9.63,5.771898214625757,3.41006969175638,True,False,SCFA_specific_medium,0.05,0.05,False
Hps5,0.0,0.0,2.139666666666667,1.2649530953095982,1.650611398647425,True,False,SCFA_specific_low,0.05,0.05,False
Gm10309,0.3333333333333333,0.5773502691896258,5.0,2.6457513110645907,2.169925001442312,False,False,SCFA_specific_low,0.05,0.05,False
Eps8l1,0.0,0.0,2.747333333333333,1.5923697225623616,1.9058643141916753,True,False,SCFA_specific_low,0.05,0.05,False
Psmc3,0.0,0.0,6.322,4.953965179530433,2.8722377736424582,True,False,SCFA_specific_medium,0.05,0.05,False
Vti1b,0.0,0.0,6.988666666666667,4.048943854060381,2.997954732952278,True,False,SCFA_specific_medium,0.05,0.05,False
Tet2,0.0,0.0,5.817333333333333,3.263745905142331,2.7692075253037,True,False,SCFA_specific_medium,0.05,0.05,False
Srrt,0.0,0.0,3.514333333333333,1.9913081964711876,2.1745129494539905,True,False,SCFA_specific_low,0.05,0.05,False
Rbm33,0.0,0.0,58.93866666666667,32.17747417578535,5.905415086400131,True,False,SCFA_specific_high,0.05,0.05,False
Sirt3,0.0,0.0,4.5343333333333335,2.5336361880375278,2.468409540200921,True,False,SCFA_specific_low,0.05,0.05,False
Igkv4-74,0.0,0.0,3.103666666666667,1.649618238664126,2.036913548226234,True,False,SCFA_specific_low,0.05,0.05,False
Gramd1a,1.2896666666666667,2.2337681914946623,8.752,3.8895463745789174,2.0905605421993294,False,False,SCFA_specific_low,0.05894358317238182,0.06,False
Arfip2,0.0,0.0,23.586333333333332,12.443273055483969,4.6197846904863225,True,False,SCFA_specific_high,0.05,0.05,False
Pars2,0.0,0.0,25.185000000000002,18.249365715005002,4.710668699674627,True,False,SCFA_specific_medium,0.05,0.05,False
Lrp3,0.0,0.0,35.562666666666665,20.31486601809949,5.192299390843429,True,False,SCFA_specific_high,0.05,0.05,False
Gpr137b,0.0,0.0,2.4193333333333333,1.1218548628647707,1.7737150705940743,True,False,SCFA_specific_low,0.05,0.05,False
Atxn7l2,0.0,0.0,77.46366666666667,37.978464033361504,6.293952850111376,True,False,SCFA_specific_high,0.05,0.05,False
Med25,0.0,0.0,18.813,8.00911555666417,4.308375438387656,True,False,SCFA_specific_medium,0.05,0.05,False
Vwa5b2,0.16666666666666666,0.2886751345948129,2.3333333333333335,1.0408329997330663,1.5145731728297582,False,False,SCFA_specific_low,0.05,0.05,False
Klhdc3,0.0,0.0,4.038333333333333,1.8810168349414986,2.332946573131826,True,False,SCFA_specific_low,0.05,0.05,False
Slc25a19,0.0,0.0,21.917666666666666,8.63946088209984,4.518388260282785,True,False,SCFA_specific_high,0.05,0.05,False
Atp6v1g2,0.0,0.0,4.732666666666667,2.839170536148425,2.5192063941022993,True,False,SCFA_specific_low,0.05,0.05,False
Stfa1,0.332,0.5750408681128673,5.853999999999999,1.9059685202017371,2.363352109447912,False,False,SCFA_specific_medium,0.05,0.05,False
Phyhipl,0.0,0.0,2.9713333333333334,1.7574030082292829,1.9896234583603236,True,False,SCFA_specific_low,0.05,0.05,False
Kif3a,0.0,0.0,8.062333333333333,3.6374139623272654,3.179882557448365,True,False,SCFA_specific_medium,0.05,0.05,False
Psme2,0.0,0.0,65.98233333333333,23.089621138800297,6.065708728169907,True,False,SCFA_specific_high,0.05,0.05,False
Ptk6,0.3333333333333333,0.5773502691896258,8.333333333333334,4.163331998932265,2.807354922057604,False,False,SCFA_specific_medium,0.05,0.05,False
Cep68,0.0,0.0,17.997,6.185768262714019,4.247699701504135,True,False,SCFA_specific_medium,0.05,0.05,False
Gas8,0.0,0.0,12.150333333333336,3.829765310477045,3.717027464157946,True,False,SCFA_specific_medium,0.05,0.05,False
Tyw1,0.0,0.0,2.592,1.1384388433288808,1.84478735007906,True,False,SCFA_specific_low,0.05,0.05,False
Rbfox2,0.0,0.0,10.492666666666667,5.640005791959201,3.52264168315911,True,False,SCFA_specific_medium,0.05,0.05,False
Plekho1,0.0,0.0,1.9953333333333332,0.6344086485328941,1.582716561140195,True,False,SCFA_specific_low,0.05,0.05,False
