source,target,score,source_in_input,target_in_input
Irf3,Zup1,0.000516,True,True
Irf3,Ifnar1,0.000897,True,True
Zup1,Smurf1,0.00041,True,True
Zup1,Usp33,0.000662,True,True
Acin1,Srsf11,0.000587,True,True
Acin1,Srrm1,0.0009320000000000001,True,True
Srsf11,Tcerg1,0.000402,True,True
Srsf11,Srrm1,0.000934,True,True
Srrm1,Wdr25,0.000432,True,True
Srrm1,Nupl2,0.000555,True,True
Srrm1,Tcerg1,0.000964,True,True
Upk3a,Krt7,0.000531,True,True
Krt7,Krt86,0.000437,True,True
Ercc5,Ddb2,0.000816,True,True
Ddb2,Ino80,0.000486,True,True
Epc1,Ino80,0.000432,True,True
Ino80,Setd2,0.00047099999999999996,True,True
Smurf1,Fbxo2,0.000503,True,True
Usp33,Stk40,0.0005570000000000001,True,True
Fbxo2,Syngap1,0.000607,True,True
Dicer1,Setd2,0.000402,True,True
Dicer1,Mapk9,0.000505,True,True
Heatr1,Tcerg1,0.000446,True,True
Heatr1,Urb1,0.000878,True,True
Tcerg1,Rbm27,0.0006129999999999999,True,True
Tcerg1,Urb1,0.000435,True,True
Urb1,A4galt,0.000406,True,True
A4galt,B4galt3,0.000923,True,True
Impdh1,Entpd4,0.0009,True,True
Sdccag8,Rpgr,0.000416,True,True
Psip1,Dot1l,0.000555,True,True
Dot1l,Kat2a,0.0005899999999999999,True,True
Dot1l,Kmt5b,0.0006490000000000001,True,True
Arhgef6,Shank3,0.000501,True,True
Erf,Rexo1,0.000554,True,True
Recql4,Lig3,0.0004,True,True
Recql4,Atm,0.0008209999999999999,True,True
Lig3,Atm,0.0007009999999999999,True,True
Atm,Kat2a,0.000408,True,True
Atm,Becn1,0.000457,True,True
Atm,Birc6,0.00053,True,True
Atf5,Herpud1,0.000415,True,True
Atf5,Jund,0.0005610000000000001,True,True
Herpud1,Fkbp5,0.000408,True,True
Srrm2,Spaca6,0.00054,True,True
Camkk2,Becn1,0.000491,True,True
Tsc22d3,Fkbp5,0.000743,True,True
Gramd1a,Osbpl5,0.00054,True,True
Osbpl5,Col4a3bp,0.000432,True,True
Itfg2,Rnaseh2a,0.000464,True,True
Itfg2,Flcn,0.000549,True,True
Rnaseh2a,Top3a,0.000431,True,True
Rnaseh2a,Rtel1,0.0005340000000000001,True,True
Top3a,Chtf18,0.000429,True,True
Top3a,Rtel1,0.000709,True,True
Chtf18,Rtel1,0.000694,True,True
Rtel1,Pms2,0.000505,True,True
Rtel1,Ppp6r3,0.000531,True,True
Tead4,Stk4,0.0005420000000000001,True,True
Tead4,Vgll4,0.000996,True,True
Stk4,Vgll4,0.000497,True,True
Cd209a,H2-Ab1,0.000406,True,True
H2-Ab1,Ciita,0.000757,True,True
Arih2,Rnf7,0.000979,True,True
Ehmt2,Lcor,0.000475,True,True
Ehmt2,Phf1,0.0005470000000000001,True,True
Ehmt2,Ash2l,0.000635,True,True
Lcor,Phf1,0.00058,True,True
Ash2l,Mllt3,0.000417,True,True
Llph,Gm2000,0.000439,True,True
Llph,Rpl3,0.000565,True,True
Gm2000,Rpl3,0.000987,True,True
Gm2000,Mrpl58,0.000726,True,True
