gene,in_input,degree,string_id,betweenness,closeness
Irf3,True,2,10090.ENSMUSP00000003284,0.00018673555133671532,0.012057086614173228
Zup1,True,3,10090.ENSMUSP00000037121,0.0004979614702312409,0.016076115485564306
Ifnar1,True,1,10090.ENSMUSP00000023689,0.0,0.008768790264853256
Acin1,True,2,10090.ENSMUSP00000022793,0.0,0.015142337976983647
Srsf11,True,3,10090.ENSMUSP00000113685,9.336777566835766e-05,0.01968503937007874
Srrm1,True,5,10090.ENSMUSP00000125003,0.0006224518377890511,0.021872265966754158
Upk3a,True,1,10090.ENSMUSP00000023070,0.0,0.005249343832020997
Krt7,True,2,10090.ENSMUSP00000069900,3.1122591889452555e-05,0.007874015748031496
Ercc5,True,1,10090.ENSMUSP00000027214,0.0,0.007874015748031496
Ddb2,True,2,10090.ENSMUSP00000028696,0.00015561295944726278,0.010902483343428226
Epc1,True,1,10090.ENSMUSP00000028100,0.0,0.009448818897637795
Ino80,True,3,10090.ENSMUSP00000051845,0.0003423485107839781,0.014173228346456693
Wdr25,True,1,10090.ENSMUSP00000035553,0.0,0.01458151064450277
Smurf1,True,2,10090.ENSMUSP00000082827,0.00031122591889452556,0.013779527559055118
Usp33,True,2,10090.ENSMUSP00000142708,0.00018673555133671532,0.012057086614173228
Fbxo2,True,2,10090.ENSMUSP00000037377,0.00018673555133671532,0.010717410323709537
Syngap1,True,1,10090.ENSMUSP00000141686,0.0,0.008038057742782153
Dicer1,True,2,10090.ENSMUSP00000043676,0.00015561295944726278,0.010123734533183352
Setd2,True,2,10090.ENSMUSP00000116313,0.00024898073511562044,0.012884753042233356
Mapk9,True,1,10090.ENSMUSP00000136977,0.0,0.007459593866556154
Heatr1,True,2,10090.ENSMUSP00000054084,0.0,0.017895490336435216
Tcerg1,True,5,10090.ENSMUSP00000158288,0.0009025551647941241,0.024606299212598423
Urb1,True,3,10090.ENSMUSP00000114717,0.0004979614702312409,0.01968503937007874
A4galt,True,2,10090.ENSMUSP00000057999,0.000280103327005073,0.01458151064450277
B4galt3,True,1,10090.ENSMUSP00000106945,0.0,0.010936132983377079
Nupl2,True,1,10090.ENSMUSP00000062766,0.0,0.01458151064450277
Krt86,True,1,10090.ENSMUSP00000085365,0.0,0.005249343832020997
Rbm27,True,1,10090.ENSMUSP00000089540,0.0,0.015748031496062992
Stk40,True,1,10090.ENSMUSP00000111990,0.0,0.008768790264853256
Impdh1,True,1,10090.ENSMUSP00000124931,0.0,0.003937007874015748
Entpd4,True,1,10090.ENSMUSP00000138944,0.0,0.003937007874015748
Sdccag8,True,1,10090.ENSMUSP00000027785,0.0,0.003937007874015748
Rpgr,True,1,10090.ENSMUSP00000037358,0.0,0.003937007874015748
Psip1,True,1,10090.ENSMUSP00000030207,0.0,0.010996470268802606
Dot1l,True,3,10090.ENSMUSP00000100973,0.0004668388783417883,0.015185601799775027
Arhgef6,True,1,10090.ENSMUSP00000033468,0.0,0.003937007874015748
Shank3,True,1,10090.ENSMUSP00000104932,0.0,0.003937007874015748
