Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Negative Regulation of B Cell Receptor Signaling Pathway (GO:0050859)	2/7	9.863766e-05	4.833245e-02	0	0	1.900095e+02	1.752659e+03	CD300A;GPS2
GO_Biological_Process_2025	Negative Regulation of Toll-Like Receptor Signaling Pathway (GO:0034122)	2/14	4.232677e-04	8.677122e-02	0	0	7.914286e+01	6.147426e+02	CD300A;GPS2
GO_Biological_Process_2025	Regulation of B Cell Receptor Signaling Pathway (GO:0050855)	2/16	5.565971e-04	8.677122e-02	0	0	6.782993e+01	5.082951e+02	CD300A;GPS2
GO_Biological_Process_2025	Regulation of Catabolic Process (GO:0009894)	3/81	7.519397e-04	8.677122e-02	0	0	1.864728e+01	1.341272e+02	BECN1;USP33;TPCN2
GO_Biological_Process_2025	Protein K48-linked Deubiquitination (GO:0071108)	2/21	9.672636e-04	8.677122e-02	0	0	4.996742e+01	3.468258e+02	USP33;USP34
GO_Biological_Process_2025	Receptor Metabolic Process (GO:0043112)	2/22	1.062505e-03	8.677122e-02	0	0	4.746667e+01	3.250103e+02	BECN1;SMURF1
GO_Biological_Process_2025	Cellular Catabolic Process (GO:0044248)	2/27	1.603223e-03	9.695132e-02	0	0	3.796381e+01	2.443252e+02	BECN1;SMURF1
GO_Biological_Process_2025	Regulation of Autophagy (GO:0010506)	4/230	1.612724e-03	9.695132e-02	0	0	8.730088e+00	5.613299e+01	BECN1;USP33;EIF4E;TPCN2
GO_Biological_Process_2025	Regulation of Primary Metabolic Process (GO:0080090)	3/113	1.964927e-03	9.695132e-02	0	0	1.320133e+01	8.227465e+01	ESRP2;GPS2;TARBP2
GO_Biological_Process_2025	Negative Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050858)	2/30	1.978598e-03	9.695132e-02	0	0	3.389116e+01	2.109849e+02	CD300A;GPS2
GO_Biological_Process_2025	Protein Targeting to Vacuole (GO:0006623)	2/32	2.249771e-03	1.002170e-01	0	0	3.162857e+01	1.928371e+02	BECN1;SMURF1
GO_Biological_Process_2025	Negative Regulation of Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532)	2/35	2.687548e-03	1.097416e-01	0	0	2.874892e+01	1.701685e+02	SPSB3;TARBP2
GO_Biological_Process_2025	Positive Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	2/39	3.328402e-03	1.254551e-01	0	0	2.563578e+01	1.462589e+02	BECN1;BCLAF1
GO_Biological_Process_2025	Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001242)	2/46	4.603868e-03	1.365390e-01	0	0	2.154978e+01	1.159563e+02	BECN1;BCLAF1
GO_Biological_Process_2025	Macromolecule Catabolic Process (GO:0009057)	2/46	4.603868e-03	1.365390e-01	0	0	2.154978e+01	1.159563e+02	BECN1;SMURF1
GO_Biological_Process_2025	Regulation of Exocytosis (GO:0017157)	2/48	5.003597e-03	1.365390e-01	0	0	2.061077e+01	1.091876e+02	FGG;TPCN2
GO_Biological_Process_2025	Negative Regulation of Immune System Process (GO:0002683)	2/53	6.070169e-03	1.365390e-01	0	0	1.858543e+01	9.486691e+01	GPS2;TARBP2
GO_Biological_Process_2025	mRNA Transport (GO:0051028)	2/59	7.474434e-03	1.365390e-01	0	0	1.662406e+01	8.139584e+01	NUP88;EIF4E
GO_Biological_Process_2025	mRNA Export From Nucleus (GO:0006406)	2/61	7.972092e-03	1.365390e-01	0	0	1.605892e+01	7.759362e+01	NUP88;EIF4E
GO_Biological_Process_2025	RNA Export From Nucleus (GO:0006405)	2/67	9.551922e-03	1.365390e-01	0	0	1.457216e+01	6.777531e+01	NUP88;EIF4E
GO_Biological_Process_2025	Positive Regulation of Apoptotic Signaling Pathway (GO:2001235)	2/70	1.038988e-02	1.365390e-01	0	0	1.392717e+01	6.360431e+01	BECN1;BCLAF1
GO_Biological_Process_2025	ATP Synthesis Coupled Electron Transport (GO:0042773)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	NDUFV3
GO_Biological_Process_2025	Negative Regulation of Myeloid Leukocyte Mediated Immunity (GO:0002887)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	CD300A
GO_Biological_Process_2025	Positive Regulation of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035360)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	GPS2
GO_Biological_Process_2025	Negative Regulation of Protein Polyubiquitination (GO:1902915)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	GPS2
GO_Biological_Process_2025	Protein Localization to Non-Motile Cilium (GO:0097499)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	ZDHHC3
GO_Biological_Process_2025	Regulation of T-Circle Formation (GO:1904429)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	RTEL1
GO_Biological_Process_2025	Protein Targeting to Vacuole Involved in Autophagy (GO:0071211)	1/5	1.095269e-02	1.365390e-01	0	0	1.160000e+02	5.236438e+02	SMURF1
GO_Biological_Process_2025	Autophagosome Assembly (GO:0000045)	2/72	1.096603e-02	1.365390e-01	0	0	1.352789e+01	6.105074e+01	BECN1;SMURF1
GO_Biological_Process_2025	Regulation of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	2/72	1.096603e-02	1.365390e-01	0	0	1.352789e+01	6.105074e+01	USP33;ZDHHC3
GO_Biological_Process_2025	Protein Deubiquitination (GO:0016579)	2/76	1.215973e-02	1.365390e-01	0	0	1.279408e+01	5.641710e+01	USP33;USP34
GO_Biological_Process_2025	Negative Regulation of Leukocyte Migration (GO:0002686)	1/6	1.312912e-02	1.365390e-01	0	0	9.279535e+01	4.020750e+02	CD300A
