Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Negative Regulation of B Cell Receptor Signaling Pathway (GO:0050859),2月7日,9.86E-05,0.048332454,0,0,190.0095238,1752.658758,CD300A;GPS2
GO_Biological_Process_2025,Negative Regulation of Toll-Like Receptor Signaling Pathway (GO:0034122),2月14日,0.000423268,0.08677122,0,0,79.14285714,614.742598,CD300A;GPS2
GO_Biological_Process_2025,Regulation of B Cell Receptor Signaling Pathway (GO:0050855),2月16日,0.000556597,0.08677122,0,0,67.82993197,508.295056,CD300A;GPS2
GO_Biological_Process_2025,Regulation of Catabolic Process (GO:0009894),3/81,0.00075194,0.08677122,0,0,18.64727955,134.127167,BECN1;USP33;TPCN2
GO_Biological_Process_2025,Protein K48-linked Deubiquitination (GO:0071108),2月21日,0.000967264,0.08677122,0,0,49.96741855,346.8258285,USP33;USP34
GO_Biological_Process_2025,Receptor Metabolic Process (GO:0043112),2月22日,0.001062505,0.08677122,0,0,47.46666667,325.0102572,BECN1;SMURF1
GO_Biological_Process_2025,Cellular Catabolic Process (GO:0044248),2月27日,0.001603223,0.096951323,0,0,37.96380952,244.3251845,BECN1;SMURF1
GO_Biological_Process_2025,Regulation of Autophagy (GO:0010506),4/230,0.001612724,0.096951323,0,0,8.730088496,56.13298984,BECN1;USP33;EIF4E;TPCN2
GO_Biological_Process_2025,Regulation of Primary Metabolic Process (GO:0080090),3/113,0.001964927,0.096951323,0,0,13.20133038,82.27465459,ESRP2;GPS2;TARBP2
GO_Biological_Process_2025,Negative Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),2/30,0.001978598,0.096951323,0,0,33.89115646,210.9848717,CD300A;GPS2
GO_Biological_Process_2025,Protein Targeting to Vacuole (GO:0006623),2/32,0.002249771,0.10021705,0,0,31.62857143,192.8370933,BECN1;SMURF1
GO_Biological_Process_2025,Negative Regulation of Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532),2/35,0.002687548,0.109741562,0,0,28.74891775,170.1684623,SPSB3;TARBP2
GO_Biological_Process_2025,Positive Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001244),2/39,0.003328402,0.12545514,0,0,25.63577864,146.258861,BECN1;BCLAF1
GO_Biological_Process_2025,Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001242),2/46,0.004603868,0.136538977,0,0,21.54978355,115.9563361,BECN1;BCLAF1
GO_Biological_Process_2025,Macromolecule Catabolic Process (GO:0009057),2/46,0.004603868,0.136538977,0,0,21.54978355,115.9563361,BECN1;SMURF1
GO_Biological_Process_2025,Regulation of Exocytosis (GO:0017157),2/48,0.005003597,0.136538977,0,0,20.61076605,109.1875573,FGG;TPCN2
GO_Biological_Process_2025,Negative Regulation of Immune System Process (GO:0002683),2/53,0.006070169,0.136538977,0,0,18.58543417,94.86691228,GPS2;TARBP2
GO_Biological_Process_2025,mRNA Transport (GO:0051028),2/59,0.007474434,0.136538977,0,0,16.62406015,81.39583606,NUP88;EIF4E
GO_Biological_Process_2025,mRNA Export From Nucleus (GO:0006406),2/61,0.007972092,0.136538977,0,0,16.05891848,77.59361647,NUP88;EIF4E
GO_Biological_Process_2025,RNA Export From Nucleus (GO:0006405),2/67,0.009551922,0.136538977,0,0,14.57216117,67.77530918,NUP88;EIF4E
GO_Biological_Process_2025,Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),2/70,0.010389885,0.136538977,0,0,13.92717087,63.60431071,BECN1;BCLAF1
GO_Biological_Process_2025,ATP Synthesis Coupled Electron Transport (GO:0042773),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,NDUFV3
GO_Biological_Process_2025,Protein Localization to Non-Motile Cilium (GO:0097499),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,ZDHHC3
GO_Biological_Process_2025,Negative Regulation of Myeloid Leukocyte Mediated Immunity (GO:0002887),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,CD300A
GO_Biological_Process_2025,Positive Regulation of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035360),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,GPS2
GO_Biological_Process_2025,Negative Regulation of Protein Polyubiquitination (GO:1902915),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,GPS2
GO_Biological_Process_2025,Regulation of T-Circle Formation (GO:1904429),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,RTEL1
GO_Biological_Process_2025,Protein Targeting to Vacuole Involved in Autophagy (GO:0071211),1月5日,0.010952688,0.136538977,0,0,116,523.6437583,SMURF1
GO_Biological_Process_2025,Autophagosome Assembly (GO:0000045),2/72,0.010966026,0.136538977,0,0,13.52789116,61.05074177,BECN1;SMURF1
GO_Biological_Process_2025,Regulation of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),2/72,0.010966026,0.136538977,0,0,13.52789116,61.05074177,USP33;ZDHHC3
GO_Biological_Process_2025,Protein Deubiquitination (GO:0016579),2/76,0.01215973,0.136538977,0,0,12.79407979,56.41710205,USP33;USP34
GO_Biological_Process_2025,Antigen Processing and Presentation of Endogenous Peptide Antigen via MHC Class I (GO:0019885),1月6日,0.013129125,0.136538977,0,0,92.79534884,402.0750334,SEC14L2
GO_Biological_Process_2025,Negative Regulation of Leukocyte Migration (GO:0002686),1月6日,0.013129125,0.136538977,0,0,92.79534884,402.0750334,CD300A
GO_Biological_Process_2025,Ribosomal Small Subunit Export From Nucleus (GO:0000056),1月6日,0.013129125,0.136538977,0,0,92.79534884,402.0750334,NUP88
GO_Biological_Process_2025,Ribosomal Large Subunit Export From Nucleus (GO:0000055),1月6日,0.013129125,0.136538977,0,0,92.79534884,402.0750334,NUP88
GO_Biological_Process_2025,Membrane Invagination (GO:0010324),1月6日,0.013129125,0.136538977,0,0,92.79534884,402.0750334,SMURF1
GO_Biological_Process_2025,Peptidyl-Methionine Modification (GO:0018206),1月6日,0.013129125,0.136538977,0,0,92.79534884,402.0750334,NAA60
GO_Biological_Process_2025,Regulation of Cytokinesis (GO:0032465),2/81,0.013728223,0.136538977,0,0,11.98131404,51.3794865,BECN1;DHDDS
GO_Biological_Process_2025,Aerobic Respiration (GO:0009060),2/81,0.013728223,0.136538977,0,0,11.98131404,51.3794865,NDUFV3;SIRT3
GO_Biological_Process_2025,Protein Modification by Small Protein Removal (GO:0070646),2/81,0.013728223,0.136538977,0,0,11.98131404,51.3794865,USP33;USP34
GO_Biological_Process_2025,Regulation of Vesicle-Mediated Transport (GO:0060627),2/82,0.014051947,0.136538977,0,0,11.83095238,50.45894426,TPCN2;PLD2
GO_Biological_Process_2025,Positive Regulation of Synaptic Transmission (GO:0050806),2/84,0.014709297,0.136538977,0,0,11.54123113,48.69563429,CAMK2D;ZDHHC3
GO_Biological_Process_2025,Cellular Respiration (GO:0045333),2/85,0.015042891,0.136538977,0,0,11.40160643,47.8508289,NDUFV3;SIRT3
GO_Biological_Process_2025,Negative Regulation of Sodium Ion Transport (GO:0010766),1月7日,0.015300881,0.136538977,0,0,77.3255814,323.208935,CAMK2D
GO_Biological_Process_2025,Peptide Transport (GO:0015833),1月7日,0.015300881,0.136538977,0,0,77.3255814,323.208935,SEC14L2
GO_Biological_Process_2025,Positive Regulation of Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:1902425),1月7日,0.015300881,0.136538977,0,0,77.3255814,323.208935,BECN1
GO_Biological_Process_2025,Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050854),1月7日,0.015300881,0.136538977,0,0,77.3255814,323.208935,CD300A
GO_Biological_Process_2025,siRNA Processing (GO:0030422),1月7日,0.015300881,0.136538977,0,0,77.3255814,323.208935,TARBP2
GO_Biological_Process_2025,Reg of Cardiac Muscle Cell Action Potential Inv in Reg of Contraction (GO:0098909),1月7日,0.015300881,0.136538977,0,0,77.3255814,323.208935,CAMK2D
GO_Biological_Process_2025,Establishment of Protein Localization to Organelle (GO:0072594),2/90,0.016759451,0.136538977,0,0,10.75108225,43.95894893,TSPAN17;NUP88
GO_Biological_Process_2025,Taurine Metabolic Process (GO:0019530),1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,CSAD
GO_Biological_Process_2025,Negative Regulation of Leukocyte Degranulation (GO:0043301),1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,CD300A
GO_Biological_Process_2025,Positive Regulation of Peptide Secretion (GO:0002793),1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,FGG
GO_Biological_Process_2025,TRAIL-activated Apoptotic Signaling Pathway (GO:0036462),1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,ZDHHC3
GO_Biological_Process_2025,Negative Regulation of Sodium Ion Transmembrane Transport (GO:1902306),1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,CAMK2D
GO_Biological_Process_2025,"Positive Regulation of Synaptic Transmission, GABAergic (GO:0032230)",1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,ZDHHC3
GO_Biological_Process_2025,Plasminogen Activation (GO:0031639),1月8日,0.017467967,0.136538977,0,0,66.27574751,268.2435667,FGG
GO_Biological_Process_2025,Response to Calcium Ion (GO:0051592),2/95,0.018555604,0.136538977,0,0,10.17050691,40.54964236,CAMK2D;FGG
