Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Negative Regulation of B Cell Receptor Signaling Pathway (GO:0050859)	2/7	5.859180e-05	2.490152e-02	0	0	2.495125e+02	2.431478e+03	CD300A;GPS2
GO_Biological_Process_2025	Protein Deacetylation (GO:0006476)	2/13	2.162409e-04	3.523431e-02	0	0	1.133807e+02	9.568329e+02	HDAC3;SIRT3
GO_Biological_Process_2025	Negative Regulation of Toll-Like Receptor Signaling Pathway (GO:0034122)	2/14	2.520125e-04	3.523431e-02	0	0	1.039271e+02	8.611431e+02	CD300A;GPS2
GO_Biological_Process_2025	Regulation of B Cell Receptor Signaling Pathway (GO:0050855)	2/16	3.316170e-04	3.523431e-02	0	0	8.907143e+01	7.135984e+02	CD300A;GPS2
GO_Biological_Process_2025	Protein Deacylation (GO:0035601)	2/18	4.219121e-04	3.586253e-02	0	0	7.792969e+01	6.055693e+02	HDAC3;SIRT3
GO_Biological_Process_2025	Protein K48-linked Deubiquitination (GO:0071108)	2/21	5.772481e-04	3.851090e-02	0	0	6.561513e+01	4.893077e+02	USP33;USP34
GO_Biological_Process_2025	Receptor Metabolic Process (GO:0043112)	2/22	6.342972e-04	3.851090e-02	0	0	6.233125e+01	4.589446e+02	BECN1;SMURF1
GO_Biological_Process_2025	Cellular Catabolic Process (GO:0044248)	2/27	9.586859e-04	5.075023e-02	0	0	4.985250e+01	3.464722e+02	BECN1;SMURF1
GO_Biological_Process_2025	Negative Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050858)	2/30	1.184328e-03	5.075023e-02	0	0	4.450446e+01	2.998969e+02	CD300A;GPS2
GO_Biological_Process_2025	Negative Regulation of MAPK Cascade (GO:0043409)	3/127	1.295812e-03	5.075023e-02	0	0	1.548543e+01	1.029567e+02	HDAC3;CD300A;GPS2
GO_Biological_Process_2025	Protein Targeting to Vacuole (GO:0006623)	2/32	1.347535e-03	5.075023e-02	0	0	4.153333e+01	2.745137e+02	BECN1;SMURF1
GO_Biological_Process_2025	Negative Regulation of JNK Cascade (GO:0046329)	2/33	1.432948e-03	5.075023e-02	0	0	4.019153e+01	2.631750e+02	HDAC3;GPS2
