Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Negative Regulation of B Cell Receptor Signaling Pathway (GO:0050859),2/7,5.859180210668231e-05,0.0249015158953399,0,0,249.5125,2431.478295303118,CD300A;GPS2
GO_Biological_Process_2025,Protein Deacetylation (GO:0006476),2/13,0.00021624086857684936,0.035234310272075,0,0,113.3806818181818,956.8329118851916,HDAC3;SIRT3
GO_Biological_Process_2025,Negative Regulation of Toll-Like Receptor Signaling Pathway (GO:0034122),2/14,0.0002520124740939772,0.035234310272075,0,0,103.92708333333331,861.1431351844819,CD300A;GPS2
GO_Biological_Process_2025,Regulation of B Cell Receptor Signaling Pathway (GO:0050855),2/16,0.00033161703785482386,0.035234310272075,0,0,89.07142857142857,713.5984003451846,CD300A;GPS2
GO_Biological_Process_2025,Protein Deacylation (GO:0035601),2/18,0.0004219121242602919,0.0358625305621248,0,0,77.9296875,605.5692748599668,HDAC3;SIRT3
GO_Biological_Process_2025,Protein K48-linked Deubiquitination (GO:0071108),2/21,0.0005772480755165086,0.0385108992967393,0,0,65.61513157894737,489.3076816935412,USP33;USP34
GO_Biological_Process_2025,Receptor Metabolic Process (GO:0043112),2/22,0.0006342971648874719,0.0385108992967393,0,0,62.33125,458.94455736927694,BECN1;SMURF1
GO_Biological_Process_2025,Cellular Catabolic Process (GO:0044248),2/27,0.0009586858545370536,0.0507502342713909,0,0,49.8525,346.472238442254,BECN1;SMURF1
GO_Biological_Process_2025,Negative Regulation of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),2/30,0.0011843277749014,0.0507502342713909,0,0,44.504464285714285,299.8968904507324,CD300A;GPS2
GO_Biological_Process_2025,Negative Regulation of MAPK Cascade (GO:0043409),3/127,0.0012958118205982,0.0507502342713909,0,0,15.485431841831426,102.95671920508047,HDAC3;CD300A;GPS2
GO_Biological_Process_2025,Protein Targeting to Vacuole (GO:0006623),2/32,0.0013475353108508,0.0507502342713909,0,0,41.53333333333333,274.5136550437013,BECN1;SMURF1
GO_Biological_Process_2025,Negative Regulation of JNK Cascade (GO:0046329),2/33,0.0014329477911922,0.0507502342713909,0,0,40.19153225806452,263.17501991690307,HDAC3;GPS2
GO_Biological_Process_2025,Negative Regulation of Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532),2/35,0.0016113484332956,0.0526786987808194,0,0,37.75189393939394,242.77049709098745,SPSB3;TARBP2
