gene,in_input,degree,string_id,betweenness,closeness
Tarbp2,True,1,9606.ENSP00000266987,0.0,0.14285714285714285
Eif4e,True,3,9606.ENSP00000425561,0.05494505494505495,0.22857142857142856
Hdac3,True,4,9606.ENSP00000302967,0.06593406593406594,0.2976190476190476
Sirt3,True,2,9606.ENSP00000372191,0.0,0.22321428571428573
Becn1,True,3,9606.ENSP00000355231,0.04395604395604396,0.25510204081632654
Atxn7l2,True,2,9606.ENSP00000358886,0.0,0.19841269841269843
Gps2,True,2,9606.ENSP00000379841,0.0,0.19841269841269843
Ankhd1,True,2,9606.ENSP00000354085,0.03296703296703297,0.19047619047619047
Usp34,True,1,9606.ENSP00000381577,0.0,0.12698412698412698
Smurf1,True,1,9606.ENSP00000354621,0.0,0.07142857142857142
Plekho1,True,1,9606.ENSP00000358120,0.0,0.07142857142857142
Usp33,True,1,9606.ENSP00000359829,0.0,0.16233766233766234
Ewsr1,True,1,9606.ENSP00000400142,0.0,0.07142857142857142
Bclaf1,True,1,9606.ENSP00000435210,0.0,0.07142857142857142
Nup88,True,1,9606.ENSP00000458954,0.0,0.14285714285714285
