Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
The_Kinase_Library_2024	TLK2	6/737	1.365025e-03	2.014367e-01	0	0	5.638558e+00	3.719521e+01	BECN1;CAMK2D;CD300A;USP34;ANKHD1;TARBP2
The_Kinase_Library_2024	DNAPK	6/769	1.695817e-03	2.014367e-01	0	0	5.393091e+00	3.440571e+01	BECN1;SMURF1;USP34;SLC38A10;PLEKHO1;ANKHD1
The_Kinase_Library_2024	MYT1	2/60	4.667780e-03	2.014367e-01	0	0	2.145259e+01	1.151376e+02	BCLAF1;ANKHD1
The_Kinase_Library_2024	CSK	2/72	6.655347e-03	2.014367e-01	0	0	1.776429e+01	8.904055e+01	HDAC3;CD300A
The_Kinase_Library_2024	CAMK2G	5/725	7.183703e-03	2.014367e-01	0	0	4.608716e+00	2.274835e+01	BCLAF1;LRATD1;IFRD2;USP34;ANKHD1
The_Kinase_Library_2024	CAMK2B	5/742	7.904353e-03	2.014367e-01	0	0	4.498433e+00	2.177395e+01	BECN1;CAMK2D;SMURF1;USP34;ANKHD1
The_Kinase_Library_2024	IKKA	5/743	7.948265e-03	2.014367e-01	0	0	4.492104e+00	2.171843e+01	BECN1;BCLAF1;USP34;NUP88;TARBP2
The_Kinase_Library_2024	TESK1	2/80	8.158601e-03	2.014367e-01	0	0	1.593590e+01	7.663067e+01	EWSR1;PLD2
The_Kinase_Library_2024	IKKB	5/752	8.351222e-03	2.014367e-01	0	0	4.435905e+00	2.122734e+01	BECN1;BCLAF1;USP34;PLEKHO1;TARBP2
The_Kinase_Library_2024	LIMK1	2/81	8.356293e-03	2.014367e-01	0	0	1.573339e+01	7.528017e+01	BCLAF1;PLD2
The_Kinase_Library_2024	CK1G3	5/753	8.396861e-03	2.014367e-01	0	0	4.429744e+00	2.117372e+01	USP33;USP34;NUP88;ANKHD1;TARBP2
The_Kinase_Library_2024	VEGFR3	2/83	8.758118e-03	2.014367e-01	0	0	1.534336e+01	7.269339e+01	BCLAF1;HDAC3
The_Kinase_Library_2024	WEE1	2/83	8.758118e-03	2.014367e-01	0	0	1.534336e+01	7.269339e+01	BCLAF1;PLD2
The_Kinase_Library_2024	MYO3A	5/835	1.276391e-02	2.597082e-01	0	0	3.975073e+00	1.733582e+01	BCLAF1;PLEKHO1;EIF4E;ANKHD1;PLD2
The_Kinase_Library_2024	PDHK4	5/848	1.357593e-02	2.597082e-01	0	0	3.911114e+00	1.681567e+01	CAMK2D;SLC38A10;NUP88;ANKHD1;TARBP2
The_Kinase_Library_2024	MYO3B	5/853	1.389743e-02	2.597082e-01	0	0	3.887036e+00	1.662117e+01	BCLAF1;PLEKHO1;EIF4E;ANKHD1;PLD2
The_Kinase_Library_2024	PKR	5/933	1.976730e-02	3.476719e-01	0	0	3.537084e+00	1.387855e+01	CAMK2D;BCLAF1;PLEKHO1;ANKHD1;PLD2
The_Kinase_Library_2024	CK2A2	4/666	2.561515e-02	3.862010e-01	0	0	3.888016e+00	1.424791e+01	HDAC3;LRATD1;MAX;IFRD2
The_Kinase_Library_2024	TGFBR1	4/679	2.725494e-02	3.862010e-01	0	0	3.810568e+00	1.372765e+01	BECN1;BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	CK2A1	4/688	2.842673e-02	3.862010e-01	0	0	3.758674e+00	1.338248e+01	HDAC3;LRATD1;MAX;IFRD2
The_Kinase_Library_2024	GRK2	4/696	2.949355e-02	3.862010e-01	0	0	3.713680e+00	1.308546e+01	BECN1;BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	GRK4	4/700	3.003591e-02	3.862010e-01	0	0	3.691571e+00	1.294029e+01	BCLAF1;USP33;USP34;ANKHD1
The_Kinase_Library_2024	P38A	4/702	3.030932e-02	3.862010e-01	0	0	3.680611e+00	1.286852e+01	BCLAF1;ATXN7L2;TBC1D17;PLD2
The_Kinase_Library_2024	ALK4	4/707	3.099941e-02	3.862010e-01	0	0	3.653485e+00	1.269143e+01	BECN1;BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	TGFBR2	4/762	3.921227e-02	4.246539e-01	0	0	3.378716e+00	1.094287e+01	BECN1;BCLAF1;CD300A;USP34
The_Kinase_Library_2024	CK1G1	4/762	3.921227e-02	4.246539e-01	0	0	3.378716e+00	1.094287e+01	USP34;PLEKHO1;ANKHD1;TARBP2
The_Kinase_Library_2024	BMPR2	4/786	4.315618e-02	4.246539e-01	0	0	3.270929e+00	1.028030e+01	BECN1;BCLAF1;CD300A;ANKHD1
The_Kinase_Library_2024	PLK4	4/808	4.696468e-02	4.246539e-01	0	0	3.177778e+00	9.718787e+00	CAMK2D;BCLAF1;USP34;EIF4E
The_Kinase_Library_2024	CHAK1	4/811	4.749835e-02	4.246539e-01	0	0	3.165469e+00	9.645374e+00	CAMK2D;BCLAF1;EIF4E;PLD2
The_Kinase_Library_2024	GCK	4/816	4.839545e-02	4.246539e-01	0	0	3.145156e+00	9.524632e+00	BECN1;BCLAF1;EIF4E;PLD2
The_Kinase_Library_2024	HGK	4/833	5.151700e-02	4.246539e-01	0	0	3.077925e+00	9.128644e+00	BCLAF1;PLEKHO1;EIF4E;PLD2
The_Kinase_Library_2024	EEF2K	4/845	5.378684e-02	4.246539e-01	0	0	3.032105e+00	8.862012e+00	BECN1;BCLAF1;EIF4E;PLD2
The_Kinase_Library_2024	NEK5	4/849	5.455564e-02	4.246539e-01	0	0	3.017120e+00	8.775397e+00	CAMK2D;PLEKHO1;EIF4E;PLD2
The_Kinase_Library_2024	DRAK1	4/864	5.749285e-02	4.246539e-01	0	0	2.962171e+00	8.460240e+00	BECN1;BCLAF1;EWSR1;PLEKHO1
The_Kinase_Library_2024	NEK1	4/864	5.749285e-02	4.246539e-01	0	0	2.962171e+00	8.460240e+00	CAMK2D;EIF4E;ANKHD1;PLD2
The_Kinase_Library_2024	YSK1	4/919	6.898982e-02	4.246539e-01	0	0	2.776102e+00	7.422731e+00	BCLAF1;PLEKHO1;EIF4E;PLD2
The_Kinase_Library_2024	MST3	4/963	7.899850e-02	4.246539e-01	0	0	2.642614e+00	6.707817e+00	BCLAF1;PLEKHO1;EIF4E;PLD2
The_Kinase_Library_2024	HIPK2	3/633	9.168298e-02	4.246539e-01	0	0	2.970200e+00	7.097050e+00	BCLAF1;ATXN7L2;TBC1D17
The_Kinase_Library_2024	SRPK1	3/636	9.268069e-02	4.246539e-01	0	0	2.955664e+00	7.030329e+00	BCLAF1;PLEKHO1;ATXN7L2
The_Kinase_Library_2024	HIPK4	3/650	9.739765e-02	4.246539e-01	0	0	2.889615e+00	6.729777e+00	BCLAF1;ATXN7L2;TBC1D17
The_Kinase_Library_2024	HIPK3	3/651	9.773838e-02	4.246539e-01	0	0	2.885006e+00	6.708969e+00	BCLAF1;ATXN7L2;TBC1D17
The_Kinase_Library_2024	DYRK1B	3/657	9.979328e-02	4.246539e-01	0	0	2.857650e+00	6.585896e+00	BCLAF1;ATXN7L2;TBC1D17
The_Kinase_Library_2024	DYRK1A	3/661	1.011732e-01	4.246539e-01	0	0	2.839690e+00	6.505508e+00	BCLAF1;ATXN7L2;TBC1D17
The_Kinase_Library_2024	P38B	3/665	1.025609e-01	4.246539e-01	0	0	2.821947e+00	6.426415e+00	BCLAF1;TBC1D17;PLD2
The_Kinase_Library_2024	BMPR1A	3/667	1.032578e-01	4.246539e-01	0	0	2.813156e+00	6.387346e+00	BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	GRK6	3/667	1.032578e-01	4.246539e-01	0	0	2.813156e+00	6.387346e+00	USP33;USP34;ANKHD1
The_Kinase_Library_2024	BMPR1B	3/671	1.046573e-01	4.246539e-01	0	0	2.795731e+00	6.310145e+00	BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	SRPK3	3/671	1.046573e-01	4.246539e-01	0	0	2.795731e+00	6.310145e+00	BCLAF1;PLEKHO1;ATXN7L2
The_Kinase_Library_2024	ALK2	3/675	1.060645e-01	4.246539e-01	0	0	2.778514e+00	6.234172e+00	BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	CDK19	3/677	1.067711e-01	4.246539e-01	0	0	2.769982e+00	6.196639e+00	BCLAF1;TBC1D17;PLD2
The_Kinase_Library_2024	P38G	3/680	1.078344e-01	4.246539e-01	0	0	2.757278e+00	6.140896e+00	BCLAF1;TBC1D17;PLD2
The_Kinase_Library_2024	FLT3	1/67	1.079073e-01	4.246539e-01	0	0	9.136823e+00	2.034298e+01	CD300A
The_Kinase_Library_2024	ABL	1/67	1.079073e-01	4.246539e-01	0	0	9.136823e+00	2.034298e+01	CD300A
The_Kinase_Library_2024	LTK	1/67	1.079073e-01	4.246539e-01	0	0	9.136823e+00	2.034298e+01	CD300A
The_Kinase_Library_2024	ACVR2B	3/688	1.106909e-01	4.246539e-01	0	0	2.723946e+00	5.995443e+00	BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024	ERK1	3/688	1.106909e-01	4.246539e-01	0	0	2.723946e+00	5.995443e+00	BCLAF1;TBC1D17;PLD2
The_Kinase_Library_2024	MKK7	1/69	1.109481e-01	4.246539e-01	0	0	8.867201e+00	1.949625e+01	BCLAF1
The_Kinase_Library_2024	ALK	1/69	1.109481e-01	4.246539e-01	0	0	8.867201e+00	1.949625e+01	CD300A
The_Kinase_Library_2024	FAM20C	3/692	1.121304e-01	4.246539e-01	0	0	2.707571e+00	5.924415e+00	BECN1;BCLAF1;ANKHD1
The_Kinase_Library_2024	NEK10	1/71	1.139788e-01	4.246539e-01	0	0	8.612987e+00	1.870519e+01	BCLAF1
The_Kinase_Library_2024	HER2	1/71	1.139788e-01	4.246539e-01	0	0	8.612987e+00	1.870519e+01	HDAC3
