Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
The_Kinase_Library_2024,TLK2,6/737,0.001365025,0.201436725,0,0,5.638557749,37.19521228,BECN1;CAMK2D;CD300A;USP34;ANKHD1;TARBP2
The_Kinase_Library_2024,DNAPK,6/769,0.001695817,0.201436725,0,0,5.393091181,34.40571406,BECN1;SMURF1;USP34;SLC38A10;PLEKHO1;ANKHD1
The_Kinase_Library_2024,MYT1,2/60,0.00466778,0.201436725,0,0,21.45258621,115.1375666,BCLAF1;ANKHD1
The_Kinase_Library_2024,CSK,2/72,0.006655347,0.201436725,0,0,17.76428571,89.0405454,HDAC3;CD300A
The_Kinase_Library_2024,CAMK2G,5/725,0.007183703,0.201436725,0,0,4.608716475,22.74834931,BCLAF1;LRATD1;IFRD2;USP34;ANKHD1
The_Kinase_Library_2024,CAMK2B,5/742,0.007904353,0.201436725,0,0,4.498432602,21.7739507,BECN1;CAMK2D;SMURF1;USP34;ANKHD1
The_Kinase_Library_2024,IKKA,5/743,0.007948265,0.201436725,0,0,4.492103542,21.71842921,BECN1;BCLAF1;USP34;NUP88;TARBP2
The_Kinase_Library_2024,TESK1,2/80,0.008158601,0.201436725,0,0,15.93589744,76.63067296,EWSR1;PLD2
The_Kinase_Library_2024,IKKB,5/752,0.008351222,0.201436725,0,0,4.435904538,21.22734439,BECN1;BCLAF1;USP34;PLEKHO1;TARBP2
The_Kinase_Library_2024,LIMK1,2/81,0.008356293,0.201436725,0,0,15.73338608,75.28016793,BCLAF1;PLD2
The_Kinase_Library_2024,CK1G3,5/753,0.008396861,0.201436725,0,0,4.429743684,21.17371978,USP33;USP34;NUP88;ANKHD1;TARBP2
The_Kinase_Library_2024,VEGFR3,2/83,0.008758118,0.201436725,0,0,15.3433642,72.69339478,BCLAF1;HDAC3
The_Kinase_Library_2024,WEE1,2/83,0.008758118,0.201436725,0,0,15.3433642,72.69339478,BCLAF1;PLD2
The_Kinase_Library_2024,MYO3A,5/835,0.012763907,0.259708163,0,0,3.975072705,17.33582409,BCLAF1;PLEKHO1;EIF4E;ANKHD1;PLD2
The_Kinase_Library_2024,PDHK4,5/848,0.013575926,0.259708163,0,0,3.911113838,16.81566662,CAMK2D;SLC38A10;NUP88;ANKHD1;TARBP2
The_Kinase_Library_2024,MYO3B,5/853,0.013897427,0.259708163,0,0,3.887036435,16.62116829,BCLAF1;PLEKHO1;EIF4E;ANKHD1;PLD2
The_Kinase_Library_2024,PKR,5/933,0.019767296,0.347671858,0,0,3.537083829,13.87854923,CAMK2D;BCLAF1;PLEKHO1;ANKHD1;PLD2
The_Kinase_Library_2024,CK2A2,4/666,0.025615152,0.386200958,0,0,3.888016113,14.24791193,HDAC3;LRATD1;MAX;IFRD2
The_Kinase_Library_2024,TGFBR1,4/679,0.027254944,0.386200958,0,0,3.810567901,13.72764835,BECN1;BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024,CK2A1,4/688,0.028426728,0.386200958,0,0,3.758674464,13.38248025,HDAC3;LRATD1;MAX;IFRD2
The_Kinase_Library_2024,GRK2,4/696,0.029493553,0.386200958,0,0,3.713680154,13.08546242,BECN1;BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024,GRK4,4/700,0.030035906,0.386200958,0,0,3.691570881,12.94029138,BCLAF1;USP33;USP34;ANKHD1
The_Kinase_Library_2024,P38A,4/702,0.030309322,0.386200958,0,0,3.68061127,12.868521,BCLAF1;ATXN7L2;TBC1D17;PLD2
The_Kinase_Library_2024,ALK4,4/707,0.030999408,0.386200958,0,0,3.653485064,12.69142954,BECN1;BCLAF1;USP34;ANKHD1
The_Kinase_Library_2024,TGFBR2,4/762,0.039212271,0.424653876,0,0,3.378715919,10.94286872,BECN1;BCLAF1;CD300A;USP34
The_Kinase_Library_2024,CK1G1,4/762,0.039212271,0.424653876,0,0,3.378715919,10.94286872,USP34;PLEKHO1;ANKHD1;TARBP2
The_Kinase_Library_2024,BMPR2,4/786,0.043156181,0.424653876,0,0,3.270929241,10.2803004,BECN1;BCLAF1;CD300A;ANKHD1
The_Kinase_Library_2024,PLK4,4/808,0.046964676,0.424653876,0,0,3.177777778,9.718786967,CAMK2D;BCLAF1;USP34;EIF4E
The_Kinase_Library_2024,CHAK1,4/811,0.047498348,0.424653876,0,0,3.165468815,9.645374489,CAMK2D;BCLAF1;EIF4E;PLD2
The_Kinase_Library_2024,GCK,4/816,0.048395445,0.424653876,0,0,3.145155993,9.52463183,BECN1;BCLAF1;EIF4E;PLD2
