Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NURSA_Human_Endogenous_Complexome	SC-8987 (HNF4A)	3/227	1.357409e-02	6.237978e-01	0	0	6.445557e+00	2.771327e+01	BCLAF1;MRPL23;ATXN7L2
NURSA_Human_Endogenous_Complexome	a-PARC (CUL9)	2/109	2.399249e-02	6.237978e-01	0	0	8.833556e+00	3.294929e+01	EWSR1;NUP88
NURSA_Human_Endogenous_Complexome	BL6290 (CEP290)	1/19	4.100046e-02	6.237978e-01	0	0	2.575969e+01	8.228088e+01	USP34
NURSA_Human_Endogenous_Complexome	BL4015 (PPP1R13B)	3/351	4.182059e-02	6.237978e-01	0	0	4.122792e+00	1.308725e+01	BCLAF1;FGG;RASSF7
NURSA_Human_Endogenous_Complexome	BL6632 (FOXK1)	2/153	4.461475e-02	6.237978e-01	0	0	6.245664e+00	1.942208e+01	MAX;GPS2
NURSA_Human_Endogenous_Complexome	BL2127 (HDAC3)	3/378	5.019238e-02	6.237978e-01	0	0	3.820683e+00	1.143107e+01	MAX;EWSR1;GPS2
NURSA_Human_Endogenous_Complexome	BL4911 (PML)	3/382	5.149781e-02	6.237978e-01	0	0	3.779587e+00	1.121107e+01	BECN1;ESRP2;EWSR1
NURSA_Human_Endogenous_Complexome	BL8287 (TOR1AIP1)	2/174	5.611216e-02	6.237978e-01	0	0	5.477298e+00	1.577682e+01	FGG;GMIP
NURSA_Human_Endogenous_Complexome	UHRF1 (UHRF2)	2/179	5.898869e-02	6.237978e-01	0	0	5.321227e+00	1.506125e+01	ESRP2;GPS2
NURSA_Human_Endogenous_Complexome	BL9427 (MAPKAPK5)	1/31	6.604419e-02	6.237978e-01	0	0	1.544651e+01	4.197483e+01	CAMK2D
NURSA_Human_Endogenous_Complexome	BL2587 (NCOR2)	2/204	7.410148e-02	6.237978e-01	0	0	4.656766e+00	1.211839e+01	EWSR1;GPS2
NURSA_Human_Endogenous_Complexome	BL7981 (UVRAG)	1/38	8.035667e-02	6.237978e-01	0	0	1.251980e+01	3.156592e+01	BECN1
NURSA_Human_Endogenous_Complexome	BL9273 (KIAA0226)	1/40	8.440643e-02	6.237978e-01	0	0	1.187657e+01	2.936020e+01	BECN1
NURSA_Human_Endogenous_Complexome	BL7864 (RAPGEF1)	1/43	9.044841e-02	6.237978e-01	0	0	1.102658e+01	2.649660e+01	CAMK2D
NURSA_Human_Endogenous_Complexome	BL2014 (AGAP3)	1/43	9.044841e-02	6.237978e-01	0	0	1.102658e+01	2.649660e+01	GMIP
NURSA_Human_Endogenous_Complexome	CBC41 (NAT10)	2/235	9.434514e-02	6.237978e-01	0	0	4.030860e+00	9.516037e+00	EWSR1;USP34
NURSA_Human_Endogenous_Complexome	BL7558 (UPF1)	2/237	9.570197e-02	6.237978e-01	0	0	3.996150e+00	9.377031e+00	ESRP2;EWSR1
NURSA_Human_Endogenous_Complexome	BL7980 (UVRAG)	1/49	1.024157e-01	6.237978e-01	0	0	9.645349e+00	2.197900e+01	BECN1
NURSA_Human_Endogenous_Complexome	EPI-1759-1 (CYTH3)	1/50	1.043952e-01	6.237978e-01	0	0	9.448030e+00	2.134850e+01	SPSB3
NURSA_Human_Endogenous_Complexome	SC-100432 (MAK)	1/53	1.103083e-01	6.237978e-01	0	0	8.901610e+00	1.962339e+01	USP34
NURSA_Human_Endogenous_Complexome	BL2667 (HDAC2)	2/260	1.116980e-01	6.237978e-01	0	0	3.635659e+00	7.969207e+00	MAX;EWSR1
NURSA_Human_Endogenous_Complexome	SC-48809 (RFX1)	1/55	1.142291e-01	6.237978e-01	0	0	8.571059e+00	1.859534e+01	CAMK2D
NURSA_Human_Endogenous_Complexome	BL6439 (CCNL2)	1/55	1.142291e-01	6.237978e-01	0	0	8.571059e+00	1.859534e+01	GMIP
NURSA_Human_Endogenous_Complexome	SC-28241 (MGMT)	1/56	1.161831e-01	6.237978e-01	0	0	8.414799e+00	1.811359e+01	SLC38A10
NURSA_Human_Endogenous_Complexome	BL6324 (ABL1)	2/268	1.174190e-01	6.237978e-01	0	0	3.524884e+00	7.550323e+00	EWSR1;GMIP
NURSA_Human_Endogenous_Complexome	BL2120 (MYST1)	1/59	1.220201e-01	6.237978e-01	0	0	7.978348e+00	1.678301e+01	BCLAF1
NURSA_Human_Endogenous_Complexome	BL8964 (DGCR8)	1/59	1.220201e-01	6.237978e-01	0	0	7.978348e+00	1.678301e+01	BCLAF1
NURSA_Human_Endogenous_Complexome	BL2437 (PUS1)	1/61	1.258905e-01	6.237978e-01	0	0	7.711628e+00	1.598114e+01	CAMK2D
NURSA_Human_Endogenous_Complexome	BL7655 (C2orf3)	1/64	1.316648e-01	6.237978e-01	0	0	7.343300e+00	1.488851e+01	FGG
NURSA_Human_Endogenous_Complexome	BL2731 (SIN3A)	2/289	1.327785e-01	6.237978e-01	0	0	3.263481e+00	6.589206e+00	MAX;EWSR1
NURSA_Human_Endogenous_Complexome	BL6112 (KDM6A)	1/67	1.374018e-01	6.237978e-01	0	0	7.008457e+00	1.391071e+01	GPS2
NURSA_Human_Endogenous_Complexome	CBC31 (POLDIP3)	2/309	1.478138e-01	6.237978e-01	0	0	3.047774e+00	5.826741e+00	BCLAF1;EWSR1
NURSA_Human_Endogenous_Complexome	BL6836 (NUP188)	1/73	1.487649e-01	6.237978e-01	0	0	6.422481e+00	1.223732e+01	NUP88
NURSA_Human_Endogenous_Complexome	BL1745 (CITED1)	1/74	1.506444e-01	6.237978e-01	0	0	6.334183e+00	1.198955e+01	EWSR1
NURSA_Human_Endogenous_Complexome	SC-834 ()	1/74	1.506444e-01	6.237978e-01	0	0	6.334183e+00	1.198955e+01	GMIP
NURSA_Human_Endogenous_Complexome	BL2728 (SIN3A)	1/74	1.506444e-01	6.237978e-01	0	0	6.334183e+00	1.198955e+01	MAX
NURSA_Human_Endogenous_Complexome	BL2097 (NMI)	1/74	1.506444e-01	6.237978e-01	0	0	6.334183e+00	1.198955e+01	GMIP
NURSA_Human_Endogenous_Complexome	CBC2132 (ZNF295)	1/78	1.581223e-01	6.237978e-01	0	0	6.003926e+00	1.107356e+01	EWSR1
NURSA_Human_Endogenous_Complexome	BL7442 (ZNF639)	1/80	1.618370e-01	6.237978e-01	0	0	5.851339e+00	1.065626e+01	NUP88
NURSA_Human_Endogenous_Complexome	BL588 (RCHY1)	1/81	1.636884e-01	6.237978e-01	0	0	5.777907e+00	1.045680e+01	SMURF1
NURSA_Human_Endogenous_Complexome	BL1826 (TAOK3)	2/332	1.655174e-01	6.237978e-01	0	0	2.832035e+00	5.093921e+00	BECN1;EWSR1
NURSA_Human_Endogenous_Complexome	SC-25359 (FOXO4)	1/82	1.655357e-01	6.237978e-01	0	0	5.706288e+00	1.026315e+01	ESRP2
NURSA_Human_Endogenous_Complexome	BL7271 (NRBF2)	1/84	1.692185e-01	6.237978e-01	0	0	5.568226e+00	9.892313e+00	BECN1
NURSA_Human_Endogenous_Complexome	BL2243 (NUP214)	1/85	1.710539e-01	6.237978e-01	0	0	5.501661e+00	9.714703e+00	NUP88
NURSA_Human_Endogenous_Complexome	BL1736 (CARM1)	1/86	1.728854e-01	6.237978e-01	0	0	5.436662e+00	9.542029e+00	USP34
NURSA_Human_Endogenous_Complexome	BL3742 (CBX6)	1/88	1.765365e-01	6.237978e-01	0	0	5.311147e+00	9.210738e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL5439 (GEMIN5)	1/90	1.801718e-01	6.237978e-01	0	0	5.191273e+00	8.897034e+00	EWSR1
NURSA_Human_Endogenous_Complexome	EPI-2516-1 (VTCN1)	1/90	1.801718e-01	6.237978e-01	0	0	5.191273e+00	8.897034e+00	GMIP
NURSA_Human_Endogenous_Complexome	SC-12340R (CDC2)	1/91	1.819836e-01	6.237978e-01	0	0	5.133333e+00	8.746373e+00	CAMK2D
NURSA_Human_Endogenous_Complexome	BL1861 (NRIP1)	2/355	1.835834e-01	6.237978e-01	0	0	2.644408e+00	4.482500e+00	EWSR1;FGG
NURSA_Human_Endogenous_Complexome	BL1734 (TBL1XR1)	2/358	1.859625e-01	6.237978e-01	0	0	2.621723e+00	4.410289e+00	EWSR1;GPS2
NURSA_Human_Endogenous_Complexome	BL2194 (USP4)	2/361	1.883462e-01	6.237978e-01	0	0	2.599416e+00	4.339656e+00	SEC14L2;CAMK2D
NURSA_Human_Endogenous_Complexome	ab81302 (C19orf21)	1/97	1.927723e-01	6.237978e-01	0	0	4.811047e+00	7.920164e+00	ATXN7L2
NURSA_Human_Endogenous_Complexome	BL6636 (FOXK2)	2/368	1.939257e-01	6.237978e-01	0	0	2.548790e+00	4.180730e+00	MAX;EWSR1
NURSA_Human_Endogenous_Complexome	BL5259 (TAF6)	1/99	1.963376e-01	6.237978e-01	0	0	4.712387e+00	7.671389e+00	USP34
NURSA_Human_Endogenous_Complexome	BL698 (DIDO1)	1/100	1.981144e-01	6.237978e-01	0	0	4.664553e+00	7.551493e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL7553 (DICER1)	1/100	1.981144e-01	6.237978e-01	0	0	4.664553e+00	7.551493e+00	TARBP2
NURSA_Human_Endogenous_Complexome	BL6340 (ANKRD17)	1/101	1.998874e-01	6.237978e-01	0	0	4.617674e+00	7.434460e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL2238 (KIAA1429)	1/101	1.998874e-01	6.237978e-01	0	0	4.617674e+00	7.434460e+00	WDR25
NURSA_Human_Endogenous_Complexome	BL3600 (TP53BP2)	1/101	1.998874e-01	6.237978e-01	0	0	4.617674e+00	7.434460e+00	RASSF7
NURSA_Human_Endogenous_Complexome	CS-9665B (CASP3)	2/377	2.011323e-01	6.237978e-01	0	0	2.486476e+00	3.987791e+00	BCLAF1;EWSR1
NURSA_Human_Endogenous_Complexome	BL4934 (TRIM47)	1/104	2.051835e-01	6.237978e-01	0	0	4.482502e+00	7.099613e+00	BCLAF1
NURSA_Human_Endogenous_Complexome	BL7766 (MAPK3)	1/105	2.069412e-01	6.237978e-01	0	0	4.439177e+00	6.993126e+00	ESRP2
NURSA_Human_Endogenous_Complexome	BL1193 (SETD1A)	1/106	2.086952e-01	6.237978e-01	0	0	4.396678e+00	6.889069e+00	NUP88
NURSA_Human_Endogenous_Complexome	CBC191 (ERCC6L)	1/106	2.086952e-01	6.237978e-01	0	0	4.396678e+00	6.889069e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL1921 (KIAA1967)	2/398	2.180708e-01	6.237978e-01	0	0	2.352092e+00	3.582085e+00	EWSR1;FGG
NURSA_Human_Endogenous_Complexome	BL1825 (TAOK3)	1/112	2.191394e-01	6.237978e-01	0	0	4.157762e+00	6.311679e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL4651 (KIF22)	1/113	2.208670e-01	6.237978e-01	0	0	4.120432e+00	6.222654e+00	GMIP
NURSA_Human_Endogenous_Complexome	BL2382 (TAOK1)	1/117	2.277400e-01	6.237978e-01	0	0	3.977546e+00	5.884981e+00	MAX
NURSA_Human_Endogenous_Complexome	BL373 (TOPBP1)	2/424	2.392212e-01	6.237978e-01	0	0	2.204243e+00	3.152875e+00	BCLAF1;EWSR1
NURSA_Human_Endogenous_Complexome	BL3032 (ERBB2)	1/125	2.413087e-01	6.237978e-01	0	0	3.719430e+00	5.287833e+00	SLC38A10
NURSA_Human_Endogenous_Complexome	BL1828 (RCN1)	1/129	2.480054e-01	6.237978e-01	0	0	3.602471e+00	5.022943e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL2291 (BTBD12)	2/435	2.482098e-01	6.237978e-01	0	0	2.147036e+00	2.991854e+00	EWSR1;NUP88
NURSA_Human_Endogenous_Complexome	BL7270 (NRBF2)	1/130	2.496705e-01	6.237978e-01	0	0	3.574365e+00	4.959836e+00	BECN1
NURSA_Human_Endogenous_Complexome	BL1118 (SMC5)	1/131	2.513320e-01	6.237978e-01	0	0	3.546691e+00	4.897910e+00	ESRP2
NURSA_Human_Endogenous_Complexome	EPI-2269-1 (USO1)	1/132	2.529899e-01	6.237978e-01	0	0	3.519439e+00	4.837136e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL4857 (CIC)	1/132	2.529899e-01	6.237978e-01	0	0	3.519439e+00	4.837136e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL892 (BLM)	1/132	2.529899e-01	6.237978e-01	0	0	3.519439e+00	4.837136e+00	DHDDS
NURSA_Human_Endogenous_Complexome	CBC1842 (DEAF1)	1/135	2.579422e-01	6.237978e-01	0	0	3.440125e+00	4.661437e+00	MAX
NURSA_Human_Endogenous_Complexome	BL2594 (PIAS2)	1/135	2.579422e-01	6.237978e-01	0	0	3.440125e+00	4.661437e+00	SMURF1
NURSA_Human_Endogenous_Complexome	BL4184 (USP16)	1/135	2.579422e-01	6.237978e-01	0	0	3.440125e+00	4.661437e+00	FGG
NURSA_Human_Endogenous_Complexome	BL699 (DIDO1)	1/137	2.612259e-01	6.237978e-01	0	0	3.389193e+00	4.549550e+00	RTEL1
NURSA_Human_Endogenous_Complexome	BL438 (NCOA3)	1/138	2.628624e-01	6.237978e-01	0	0	3.364285e+00	4.495103e+00	MAX
NURSA_Human_Endogenous_Complexome	BL1803 (MTA1)	1/139	2.644954e-01	6.237978e-01	0	0	3.339737e+00	4.441621e+00	BCLAF1
NURSA_Human_Endogenous_Complexome	AB81 (BRCA1)	2/457	2.662265e-01	6.237978e-01	0	0	2.040921e+00	2.700971e+00	BCLAF1;EWSR1
NURSA_Human_Endogenous_Complexome	BL2805 (UBR5)	1/142	2.693731e-01	6.237978e-01	0	0	3.268184e+00	4.286739e+00	RASSF7
NURSA_Human_Endogenous_Complexome	BL2779 (SUV39H1)	1/145	2.742192e-01	6.237978e-01	0	0	3.199612e+00	4.139746e+00	GPS2
NURSA_Human_Endogenous_Complexome	BL2158 (USP34)	2/469	2.760632e-01	6.237978e-01	0	0	1.987254e+00	2.557845e+00	EWSR1;USP34
NURSA_Human_Endogenous_Complexome	BL2253 (PRKRIR)	1/147	2.774325e-01	6.237978e-01	0	0	3.155464e+00	4.045865e+00	EWSR1
NURSA_Human_Endogenous_Complexome	CBC192 (ERCC6L)	1/147	2.774325e-01	6.237978e-01	0	0	3.155464e+00	4.045865e+00	EWSR1
NURSA_Human_Endogenous_Complexome	CBC751 (USP9X)	1/149	2.806318e-01	6.237978e-01	0	0	3.112508e+00	3.955100e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL2928 (BHLHE40)	1/153	2.869891e-01	6.237978e-01	0	0	3.029988e+00	3.782367e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL1106 (CENPC1)	1/155	2.901471e-01	6.237978e-01	0	0	2.990335e+00	3.700143e+00	EWSR1
NURSA_Human_Endogenous_Complexome	CBC183 (BICD2)	1/158	2.948585e-01	6.237978e-01	0	0	2.932751e+00	3.581650e+00	EWSR1
NURSA_Human_Endogenous_Complexome	BL1238 (MAML1)	1/159	2.964221e-01	6.237978e-01	0	0	2.914042e+00	3.543389e+00	GMIP
