Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Interferon Signaling,5/280,0.000360539,0.05969625,0,0,9.175291375,72.74088171,BECN1;CAMK2D;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,Antiviral Mechanism by IFN-stimulated Genes,4/158,0.000397975,0.05969625,0,0,12.85844156,100.6702997,BECN1;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,ISG15 Antiviral Mechanism,3/76,0.000624327,0.062432748,0,0,19.92950217,147.0565186,BECN1;NUP88;EIF4E
Reactome_Pathways_2024,Regulation of MECP2 Expression and Activity,2/32,0.002249771,0.101765448,0,0,31.62857143,192.8370933,CAMK2D;GPS2
Reactome_Pathways_2024,Transport of the SLBP Independent Mature mRNA,2/35,0.002687548,0.101765448,0,0,28.74891775,170.1684623,NUP88;EIF4E
Reactome_Pathways_2024,Transport of the SLBP Dependant Mature mRNA,2/36,0.002841674,0.101765448,0,0,27.90196078,163.5992917,NUP88;EIF4E
Reactome_Pathways_2024,Signaling by RAF1 Mutants,2/41,0.003673,0.101765448,0,0,24.31868132,136.3486801,CAMK2D;FGG
Reactome_Pathways_2024,Transport of Mature mRNA Derived From an Intronless Transcript,2/42,0.003851281,0.101765448,0,0,23.70952381,131.8095305,NUP88;EIF4E
Reactome_Pathways_2024,Transport of Mature mRNAs Derived From Intronless Transcripts,2/43,0.004033525,0.101765448,0,0,23.1300813,127.5187883,NUP88;EIF4E
Reactome_Pathways_2024,Paradoxical Activation of RAF Signaling by Kinase Inactive BRAF,2/45,0.004409836,0.101765448,0,0,22.05204873,119.6084988,CAMK2D;FGG
Reactome_Pathways_2024,Signaling by RAS Mutants,2/45,0.004409836,0.101765448,0,0,22.05204873,119.6084988,CAMK2D;FGG
Reactome_Pathways_2024,Signaling by Moderate Kinase Activity BRAF Mutants,2/45,0.004409836,0.101765448,0,0,22.05204873,119.6084988,CAMK2D;FGG
Reactome_Pathways_2024,Signaling Downstream of RAS Mutants,2/45,0.004409836,0.101765448,0,0,22.05204873,119.6084988,CAMK2D;FGG
Reactome_Pathways_2024,Ub-specific Processing Proteases,3/190,0.008397486,0.168955638,0,0,7.735359332,36.9736474,BECN1;USP33;USP34
Reactome_Pathways_2024,Transcriptional Regulation by MECP2,2/63,0.008484314,0.168955638,0,0,15.53083528,74.07488224,CAMK2D;GPS2
Reactome_Pathways_2024,Signaling by BRAF and RAF1 Fusions,2/65,0.009010967,0.168955638,0,0,15.03628118,70.81055217,CAMK2D;FGG
