Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Interferon Signaling,5/280,0.0003605392524650075,0.0596962496205716,0,0,9.175291375291376,72.74088171258228,BECN1;CAMK2D;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,Antiviral Mechanism by IFN-stimulated Genes,4/158,0.0003979749974704775,0.0596962496205716,0,0,12.85844155844156,100.67029965539967,BECN1;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,ISG15 Antiviral Mechanism,3/76,0.0006243274780140644,0.0624327478014064,0,0,19.929502171734047,147.05651857545175,BECN1;NUP88;EIF4E
Reactome_Pathways_2024,Regulation of MECP2 Expression and Activity,2/32,0.0022497705003053,0.1017654477103379,0,0,31.62857142857143,192.8370932597281,CAMK2D;GPS2
Reactome_Pathways_2024,Transport of the SLBP Independent Mature mRNA,2/35,0.0026875484631988,0.1017654477103379,0,0,28.748917748917748,170.16846228973165,NUP88;EIF4E
Reactome_Pathways_2024,Transport of the SLBP Dependant Mature mRNA,2/36,0.0028416743909962,0.1017654477103379,0,0,27.90196078431373,163.5992917401365,NUP88;EIF4E
Reactome_Pathways_2024,Signaling by RAF1 Mutants,2/41,0.0036730002408058,0.1017654477103379,0,0,24.31868131868132,136.34868006911373,CAMK2D;FGG
Reactome_Pathways_2024,Transport of Mature mRNA Derived From an Intronless Transcript,2/42,0.0038512806600465,0.1017654477103379,0,0,23.70952380952381,131.80953045056924,NUP88;EIF4E
Reactome_Pathways_2024,Transport of Mature mRNAs Derived From Intronless Transcripts,2/43,0.0040335250910372,0.1017654477103379,0,0,23.130081300813007,127.51878829292204,NUP88;EIF4E
Reactome_Pathways_2024,Paradoxical Activation of RAF Signaling by Kinase Inactive BRAF,2/45,0.0044098360674479,0.1017654477103379,0,0,22.05204872646733,119.60849880086364,CAMK2D;FGG
Reactome_Pathways_2024,Signaling by RAS Mutants,2/45,0.0044098360674479,0.1017654477103379,0,0,22.05204872646733,119.60849880086364,CAMK2D;FGG
Reactome_Pathways_2024,Signaling by Moderate Kinase Activity BRAF Mutants,2/45,0.0044098360674479,0.1017654477103379,0,0,22.05204872646733,119.60849880086364,CAMK2D;FGG
Reactome_Pathways_2024,Signaling Downstream of RAS Mutants,2/45,0.0044098360674479,0.1017654477103379,0,0,22.05204872646733,119.60849880086364,CAMK2D;FGG
Reactome_Pathways_2024,Ub-specific Processing Proteases,3/190,0.0083974863264984,0.1689556377090785,0,0,7.735359332202948,36.97364740321041,BECN1;USP33;USP34
