Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Regulation of MECP2 Expression and Activity	3/32	2.152441e-05	6.220556e-03	0	0	6.653059e+01	7.149592e+02	CAMK2D;HDAC3;GPS2
Reactome_Pathways_2024	Loss of MECP2 Binding Ability to the NCoR SMRT Complex	2/7	5.859180e-05	6.943735e-03	0	0	2.495125e+02	2.431478e+03	HDAC3;GPS2
Reactome_Pathways_2024	Interferon Signaling	5/280	1.035410e-04	6.943735e-03	0	0	1.234545e+01	1.132762e+02	BECN1;CAMK2D;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024	Antiviral Mechanism by IFN-stimulated Genes	4/158	1.445559e-04	6.943735e-03	0	0	1.715325e+01	1.516663e+02	BECN1;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024	Transcriptional Regulation by MECP2	3/63	1.662389e-04	6.943735e-03	0	0	3.210645e+01	2.793931e+02	CAMK2D;HDAC3;GPS2
Reactome_Pathways_2024	Pervasive Developmental Disorders	2/13	2.162409e-04	6.943735e-03	0	0	1.133807e+02	9.568329e+02	HDAC3;GPS2
Reactome_Pathways_2024	Loss of Function of MECP2 in Rett Syndrome	2/13	2.162409e-04	6.943735e-03	0	0	1.133807e+02	9.568329e+02	HDAC3;GPS2
Reactome_Pathways_2024	Disorders of Developmental Biology	2/13	2.162409e-04	6.943735e-03	0	0	1.133807e+02	9.568329e+02	HDAC3;GPS2
Reactome_Pathways_2024	Disorders of Nervous System Development	2/13	2.162409e-04	6.943735e-03	0	0	1.133807e+02	9.568329e+02	HDAC3;GPS2
Reactome_Pathways_2024	ISG15 Antiviral Mechanism	3/76	2.898863e-04	8.377715e-03	0	0	2.637163e+01	2.148239e+02	BECN1;NUP88;EIF4E
Reactome_Pathways_2024	Transport of the SLBP Independent Mature mRNA	2/35	1.611348e-03	3.862223e-02	0	0	3.775189e+01	2.427705e+02	NUP88;EIF4E
