Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Regulation of MECP2 Expression and Activity,3/32,2.1524414246277267e-05,0.0062205557171741,0,0,66.53058954393771,714.9591860400623,CAMK2D;HDAC3;GPS2
Reactome_Pathways_2024,Loss of MECP2 Binding Ability to the NCoR SMRT Complex,2/7,5.859180210668231e-05,0.0069437345576343,0,0,249.5125,2431.478295303118,HDAC3;GPS2
Reactome_Pathways_2024,Interferon Signaling,5/280,0.00010354098856109182,0.0069437345576343,0,0,12.345454545454546,113.27624902292072,BECN1;CAMK2D;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,Antiviral Mechanism by IFN-stimulated Genes,4/158,0.00014455588284748155,0.0069437345576343,0,0,17.153246753246755,151.66633862119406,BECN1;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,Transcriptional Regulation by MECP2,3/63,0.0001662389016263379,0.0069437345576343,0,0,32.10645161290323,279.39305935464057,CAMK2D;HDAC3;GPS2
Reactome_Pathways_2024,Disorders of Developmental Biology,2/13,0.00021624086857684936,0.0069437345576343,0,0,113.3806818181818,956.8329118851916,HDAC3;GPS2
Reactome_Pathways_2024,Loss of Function of MECP2 in Rett Syndrome,2/13,0.00021624086857684936,0.0069437345576343,0,0,113.3806818181818,956.8329118851916,HDAC3;GPS2
Reactome_Pathways_2024,Pervasive Developmental Disorders,2/13,0.00021624086857684936,0.0069437345576343,0,0,113.3806818181818,956.8329118851916,HDAC3;GPS2
Reactome_Pathways_2024,Disorders of Nervous System Development,2/13,0.00021624086857684936,0.0069437345576343,0,0,113.3806818181818,956.8329118851916,HDAC3;GPS2
Reactome_Pathways_2024,ISG15 Antiviral Mechanism,3/76,0.0002898863382919705,0.0083777151766379,0,0,26.3716305788776,214.82387360798796,BECN1;NUP88;EIF4E
Reactome_Pathways_2024,Transport of the SLBP Independent Mature mRNA,2/35,0.0016113484332956,0.0386222286903619,0,0,37.75189393939394,242.77049709098745,NUP88;EIF4E
Reactome_Pathways_2024,Transport of the SLBP Dependant Mature mRNA,2/36,0.0017043199561329,0.0386222286903619,0,0,36.63970588235294,233.5630697638135,NUP88;EIF4E
Reactome_Pathways_2024,Metabolism of Proteins,10/2067,0.0017373320864176,0.0386222286903619,0,0,3.627653540755145,23.055206094825262,SPSB3;BECN1;HDAC3;USP33;USP34;NUP88;NDUFV3;ADAMTS9;EIF4E;DHDDS
Reactome_Pathways_2024,Transport of Mature mRNA Derived From an Intronless Transcript,2/42,0.0023144248687839,0.0458337841112805,0,0,31.134375,188.9418831594104,NUP88;EIF4E
Reactome_Pathways_2024,Transport of Mature mRNAs Derived From Intronless Transcripts,2/43,0.0024247449101167,0.0458337841112805,0,0,30.3734756097561,182.90994948965812,NUP88;EIF4E
Reactome_Pathways_2024,NR1H3 & NR1H2 Regulate Gene Expression Linked to Cholesterol Transport and Efflux,2/44,0.0025375105390328,0.0458337841112805,0,0,29.64880952380953,177.19823834941815,HDAC3;GPS2
Reactome_Pathways_2024,NR1H2 and NR1H3-mediated Signaling,2/54,0.0037978938019504,0.0620363099831115,0,0,23.935096153846157,133.3976779195181,HDAC3;GPS2
Reactome_Pathways_2024,Ub-specific Processing Proteases,3/190,0.0040663246796514,0.0620363099831115,0,0,10.235811626703468,56.348303856840566,BECN1;USP33;USP34
Reactome_Pathways_2024,Transcriptional Activation of Mitochondrial Biogenesis,2/56,0.0040785117289934,0.0620363099831115,0,0,23.046296296296298,126.8012552696238,HDAC3;SIRT3
Reactome_Pathways_2024,HDACs Deacetylate Histones,2/60,0.0046677803481146,0.0660185413450976,0,0,21.45258620689655,115.13756661697488,HDAC3;GPS2
Reactome_Pathways_2024,Gene Expression (Transcription),8/1615,0.0048219444503058,0.0660185413450976,0,0,3.515197932123881,18.752097622345246,CAMK2D;HDAC3;SMURF1;MAX;GPS2;NUP88;TARBP2;SIRT3
Reactome_Pathways_2024,HCMV Early Events,3/205,0.0050256329051631,0.0660185413450976,0,0,9.46854040242734,50.11891481208542,HDAC3;GPS2;NUP88
Reactome_Pathways_2024,Transport of Mature Transcript to Cytoplasm,2/83,0.0087581184748882,0.1044281093793841,0,0,15.343364197530864,72.69339477658365,NUP88;EIF4E
Reactome_Pathways_2024,Cytokine Signaling in Immune System,5/776,0.0094954472356039,0.1044281093793841,0,0,4.2924549398452525,19.989717270682675,BECN1;CAMK2D;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,HCMV Infection,3/259,0.0095530022057701,0.1044281093793841,0,0,7.45085685483871,34.65318870663499,HDAC3;GPS2;NUP88
Reactome_Pathways_2024,Post-translational Protein Modification,7/1457,0.010114990091967,0.1044281093793841,0,0,3.3106513409961686,15.208260857049572,SPSB3;BECN1;USP33;USP34;NUP88;ADAMTS9;DHDDS
Reactome_Pathways_2024,p75NTR Negatively Regulates Cell Cycle via SC1,1/6,0.0101579087405383,0.1044281093793841,0,0,120.97575757575756,555.2185648964451,HDAC3
Reactome_Pathways_2024,Synthesis of Dolichyl-phosphate,1/6,0.0101579087405383,0.1044281093793841,0,0,120.97575757575756,555.2185648964451,DHDDS
Reactome_Pathways_2024,Deubiquitination,3/268,0.0104789452318413,0.1044281093793841,0,0,7.194522215459525,32.79541834377862,BECN1;USP33;USP34
Reactome_Pathways_2024,Mitochondrial Biogenesis,2/97,0.0118067009357296,0.111649655408605,0,0,13.073026315789471,58.032314670661705,HDAC3;SIRT3
Reactome_Pathways_2024,Cellular Response to Heat Stress,2/101,0.0127517722391139,0.111649655408605,0,0,12.54229797979798,54.71057010760131,CAMK2D;NUP88
