Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Regulation of MECP2 Expression and Activity,3/32,2.15E-05,0.006220556,0,0,66.53058954,714.959186,CAMK2D;HDAC3;GPS2
Reactome_Pathways_2024,Loss of MECP2 Binding Ability to the NCoR SMRT Complex,2月7日,5.86E-05,0.006943735,0,0,249.5125,2431.478295,HDAC3;GPS2
Reactome_Pathways_2024,Interferon Signaling,5/280,0.000103541,0.006943735,0,0,12.34545455,113.276249,BECN1;CAMK2D;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,Antiviral Mechanism by IFN-stimulated Genes,4/158,0.000144556,0.006943735,0,0,17.15324675,151.6663386,BECN1;NUP88;EIF4E;TARBP2
Reactome_Pathways_2024,Transcriptional Regulation by MECP2,3/63,0.000166239,0.006943735,0,0,32.10645161,279.3930594,CAMK2D;HDAC3;GPS2
Reactome_Pathways_2024,Disorders of Developmental Biology,2月13日,0.000216241,0.006943735,0,0,113.3806818,956.8329119,HDAC3;GPS2
Reactome_Pathways_2024,Loss of Function of MECP2 in Rett Syndrome,2月13日,0.000216241,0.006943735,0,0,113.3806818,956.8329119,HDAC3;GPS2
Reactome_Pathways_2024,Pervasive Developmental Disorders,2月13日,0.000216241,0.006943735,0,0,113.3806818,956.8329119,HDAC3;GPS2
Reactome_Pathways_2024,Disorders of Nervous System Development,2月13日,0.000216241,0.006943735,0,0,113.3806818,956.8329119,HDAC3;GPS2
Reactome_Pathways_2024,ISG15 Antiviral Mechanism,3/76,0.000289886,0.008377715,0,0,26.37163058,214.8238736,BECN1;NUP88;EIF4E
Reactome_Pathways_2024,Transport of the SLBP Independent Mature mRNA,2/35,0.001611348,0.038622229,0,0,37.75189394,242.7704971,NUP88;EIF4E
Reactome_Pathways_2024,Transport of the SLBP Dependant Mature mRNA,2/36,0.00170432,0.038622229,0,0,36.63970588,233.5630698,NUP88;EIF4E
Reactome_Pathways_2024,Metabolism of Proteins,10/2067,0.001737332,0.038622229,0,0,3.627653541,23.05520609,SPSB3;BECN1;HDAC3;USP33;USP34;NUP88;NDUFV3;ADAMTS9;EIF4E;DHDDS
