gene_symb,gene_symb_1
Sh3glb2,Acp2
Nkx2-9,Adh1c
Irf3,Aldh1a1
Acot8,Apeh
Nr4a2,Bdnf
Chid1,Bdnf
Pex1,C3
Entpd4,C4bpa
Syngap1,Calca
Clec4b1,Camk2d
Ifnar1,Camk2d
Gm1673,Dbp
Impdh1,Ace
Phkg1,Nqo1
Hip1r,Cela1
Kif24,Erbb2
Adamts10,Fgg
Zfp738,Fh
Serpina1e,G6pd
Ccser1,Hdc
Unc79,Hmox1
Ccdc114,Il6r
Gja6,Pla2g4a
Pnmal1,Ppm1b
Kcnn2,Ppp2cb
Spin2c,Ppy
Wdr25,Pkib
Fcgbp,Prkar2b
Fnbp1,Prlr
Igkv6-25,Ptpn1
Slc38a10,Ptprc
Bdh2,Ptprc
Mylk4,Raf1
Ctse,Ccl2
Zup1,Sod2
Ifitm6,Spn
Rgs3,Vsnl1
Ift122,Gnas
Acy1,Fmr1
Vmn2r57,Xrcc6
Gm14391,Fgfr2
Hes7,Cyb5r3
Aqp4,Pld2
Gpr27,Scnn1a
Acin1,Gata2
Stk40,Zfp386
Lratd1,Gnrh1
Yif1b,Aqp5
Mapk9,Cnr1
A4galt,Id1
Zfp513,Pdgfra
Tmem8,Cox6a1
Vwa5b2,Crp
Adamts9,Eef2k
Srsf11,Man2a1
Gkap1,Npm1
Tcerg1,P4hb
Rbm27,Prkcz
Plekhh3,Rps5
Usp33,Ube2i
Krt86,Ywhaq
Klf9,F3
Clcn7,Marcks
Bag6,Pcmt1
Jag2,Sdc2
Plaur,Crem
Stx1a,Tnfrsf1a
Ccl17,Gckr
Asb14,Anxa5
Setd2,Rbp4
Smurf1,Nf2
BC051142,Nf2
Srrm1,Alas2
Impdh1,Rheb
Becn1,Ccng2
Phrf1,Cd37
Zfp341,Rcn2
2900026A02Rik,Rnf4
Arhgef6,Actc1
Saxo2,Csrp2
Sdccag8,Cd47
Rexo1,Chkb
D930048N14Rik,Tnni2
Kmt5b,Ptpmt1
Klf15,Col1a1
Tsc22d3,Unc119
Cops7a,Urod
Pprc1,Aif1
Herpud1,Ssr4
Swi5,Slc26a4
Nodal,Map6
Birc6,Nthl1
Prdx6,Pebp1
Rpgr,Fdft1
Gm14406,Gjb1
Ppl,P2ry2
Npm2,Ntrk3
Ptpn18,Gria3
Atp6v0e2,Psma1
Abca8b,Psma3
Sec31b,Psma7
Aqp9,Sart1
Slirp,Gabra1
Dmxl2,Bckdhb
P2rx4,Kcnj5
Plekha1,Slc16a7
Recql4,Slc25a1
Bcl3,Atp5mc1
Ppp2r3d,Atp6v0a1
Ndufv3,Npepps
Ovgp1,Npepps
Camkk2,Slc3a2
Sema6b,Prf1
Tlk2,Mapk3
Spaca6,Ucp2
Csad,Pdp1
Fkbp5,Samd13
Rprd1b,Myl1
Gm14443,Zfp148
Fhl1,Igbp1
Styk1,Nr1h3
Dot1l,Cpq
Lmo7,Grk6
Hmgn3,P3h4
Atf5,Mb
Armc10,Ereg
Large2,Arhgef1
Agbl5,Arpp19
Ric1,Camkk1
Rgcc,Csad
Mbl1,Lmna
Cep112,Cxcr4
1700067K01Rik,Max
Pakap,Fxyd6
Zdhhc3,Hibadh
Atm,Tsnax
Kat2a,Aldh9a1
Vwa3a,Adgrl4
Txnip,Chp1
Lilr4b,Pmpcb
Vps39,Mthfd1
Lrrc47,Mrpl23
E4f1,Araf
Cipc,Araf
Spink2,Ccdc80
Zscan21,Prpsap1
Gnpda2,Pex14
Usp47,Eif2b1
Tnrc18,Ndufv3
Lig3,Ube2g1
Tomm5,Snd1
Psip1,Taok2
Sorbs3,Tgm4
Grk3,Trim17
Prom1,Dnaja1
Shank3,Dlgap1
Vgll4,Aldh3a2
Tead4,Sult1c3
Fez1,Nup62
Igsf23,Akr1a1
Txnip,Fdxr
Tnfaip8l3,Fstl1
Tex9,Galnt1
Gramd1a,Hmox2
Pms2,Abca2
Cdipt,Aco2
Sec31a,Rab11b
Pon3,Fabp4
Abca7,Grpel1
Zfp426,Zbtb10
Ngf,Slco1a5
Pex1,Ica1
Phf1,Grb2
Itfg2,Pdk2
Nrf1,Ctbs
Rxrb,Dlat
Spata25,Aldh6a1
Cnot1,Ggcx
Ccdc74a,Actr3
Top3a,Soat1
Arih2,Rab11a
Rnaseh2a,Hnrnpab
Arl4d,Timeless
Mrpl58,Mmp24
Abhd4,Atrn
Rabl2,Cdkn1b
Rbm27,Casp6
Chtf18,Cish
Kdelr1,Plk2
Nr2f1,Agxt2
Bank1,Septin9
Meis2,Fdps
1700088E04Rik,Clta
Llph,Smarcd2
Ash2l,Dnaja2
Stk4,Dffb
Ciita,Puf60
Lepr,Wnt4
Rnf7,Dctn4
Sec24a,Dgat1
Cyp4f40,Hdac3
Sec24c,Ncoa3
Mrps17,Jak1
Plekha4,Cox4i2
Cfap77,Tekt1
Psmd4,Cavin3
Mcrip2,Sos2
Bcl11b,Ddx52
Il12rb1,Col5a1
Sncaip,Laptm5
Slc5a12,Idi1
Duox2,Tek
Pbx2,Angpt2
Ttc33,Tie1
Scgb3a2,Mbtps1
Atxn7l1,Gosr1
Cd209a,Rnf138
Rab36,Ptprr
Col4a3bp,Nat8f3
Gm2000,Nup88
Tmem52,Prrx2
Ppp6r3,Maged2
Ptpn2,C5ar1
Ap3m1,Pdlim3
Ehmt2,Ncf1
Pbx3,Becn1
Lcor,Ifitm2
Zcchc8,Gsto1
Hk2,Dars1
Tmem54,Sec14l2
Dapk2,Lrpap1
Smarca2,Pdia4
Ccdc142,Akap8
Hnrnpdl,Psmd10
Osbpl5,Fxyd3
Ccdc114,Il16
Trac,Eif2b4
Acbd7,Eif4e
Ranbp17,Ppp2r2a
Sqor,Scarb2
Clca3a1,Tra2b
Hnrnpm,P2ry6
Josd2,Prpsap2
Avpi1,Nr0b2
Stat3,Ebp
Tgfa,Hnrnpu
Trpv3,Hnrnpk
Xkr5,Sec22a
Nsg1,Tbp
Dnajb6,Smu1
St8sia1,Uba3
Ip6k2,Sf1
Efcab11,Atp5me
Slc22a14,Rab3d
Mtmr12,Abcb6
Syce1l,Ap2b1
Krtap17-1,Napa
