Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Spliceosome	19/132	9.061208e-05	2.509955e-02	0	0	2.971555e+00	2.766198e+01	RBM17;SF3B2;HNRNPA3;NCBP1;HNRNPU;THOC3;USP39;LSM4;CDC40;PRPF4;SART1;PRPF6;HNRNPK;PUF60;U2AF2;TRA2B;HNRNPC;SRSF9;RBM22
KEGG_2019_Mouse	ErbB signaling pathway	13/84	5.575427e-04	6.694958e-02	0	0	3.224931e+00	2.416109e+01	CAMK2D;CDKN1B;ARAF;PIK3CD;EREG;PIK3CA;ERBB2;GRB2;RAF1;SOS2;NCK1;PAK4;MAPK3
KEGG_2019_Mouse	RNA transport	20/167	7.250857e-04	6.694958e-02	0	0	2.402391e+00	1.736741e+01	NDC1;EIF2B4;EIF2B3;SEC13;UBE2I;NCBP1;FMR1;THOC3;UPF3A;NUP93;NUP62;EIF3G;EIF4EBP2;NUP88;EIF2B1;RPP14;RAE1;EIF4E;EIF4G2;EIF3B
KEGG_2019_Mouse	N-Glycan biosynthesis	9/50	1.301905e-03	9.015693e-02	0	0	3.858019e+00	2.563239e+01	GANAB;MAN2A1;SRD5A3;MGAT4B;ALG14;ALG2;STT3A;DOLK;STT3B
KEGG_2019_Mouse	Glioma	11/75	2.262023e-03	9.579216e-02	0	0	3.022723e+00	1.841291e+01	PDGFRA;CAMK2D;PIK3CA;ARAF;MDM2;PIK3CD;GRB2;CALML4;RAF1;SOS2;MAPK3
KEGG_2019_Mouse	Choline metabolism in cancer	13/99	2.612864e-03	9.579216e-02	0	0	2.660324e+00	1.582177e+01	PDGFRA;CHKB;PIK3CD;PLA2G4A;PLD2;PIK3CA;RHEB;GRB2;PIP5K1C;RAF1;PLPP2;SOS2;MAPK3
KEGG_2019_Mouse	Protein processing in endoplasmic reticulum	18/163	3.226915e-03	9.579216e-02	0	0	2.188091e+00	1.255139e+01	MBTPS1;TRAM1;SEC13;SSR4;SSR2;CUL1;SYVN1;UBE2G1;PDIA4;DNAJA1;GANAB;DNAJB11;DNAJA2;STT3A;STT3B;P4HB;SEC24D;RNF185
KEGG_2019_Mouse	GnRH signaling pathway	12/90	3.305849e-03	9.579216e-02	0	0	2.706170e+00	1.545781e+01	MAP3K3;MAPK11;CAMK2D;GNAS;PLA2G4A;GNRH1;GRB2;CALML4;RAF1;SOS2;PLD2;MAPK3
KEGG_2019_Mouse	Chagas disease (American trypanosomiasis)	13/103	3.708154e-03	9.579216e-02	0	0	2.541547e+00	1.422560e+01	ACE;PIK3CD;PPP2R2A;TNFRSF1A;C3;PPP2CB;MAPK11;PIK3CA;GNAS;CCL2;TLR6;TLR2;MAPK3
KEGG_2019_Mouse	Endometrial cancer	9/58	3.760617e-03	9.579216e-02	0	0	3.226770e+00	1.801561e+01	PIK3CA;ERBB2;ARAF;CTNNA1;PIK3CD;GRB2;RAF1;SOS2;MAPK3
