Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Spliceosome,19/132,9.06120838758506e-05,0.0250995472336106,0,0,2.9715549936788874,27.66197656014469,RBM17;SF3B2;HNRNPA3;NCBP1;HNRNPU;THOC3;USP39;LSM4;CDC40;PRPF4;SART1;PRPF6;HNRNPK;PUF60;U2AF2;TRA2B;HNRNPC;SRSF9;RBM22
KEGG_2019_Mouse,ErbB signaling pathway,13/84,0.0005575426606114316,0.0669495838969873,0,0,3.224930893773858,24.161090462628582,CAMK2D;CDKN1B;ARAF;PIK3CD;EREG;PIK3CA;ERBB2;GRB2;RAF1;SOS2;NCK1;PAK4;MAPK3
KEGG_2019_Mouse,RNA transport,20/167,0.0007250857461767581,0.0669495838969873,0,0,2.4023908716826337,17.367413673749045,NDC1;EIF2B4;EIF2B3;SEC13;UBE2I;NCBP1;FMR1;THOC3;UPF3A;NUP93;NUP62;EIF3G;EIF4EBP2;NUP88;EIF2B1;RPP14;RAE1;EIF4E;EIF4G2;EIF3B
KEGG_2019_Mouse,N-Glycan biosynthesis,9/50,0.0013019050563329,0.0901569251510567,0,0,3.858018803651724,25.63239398150003,GANAB;MAN2A1;SRD5A3;MGAT4B;ALG14;ALG2;STT3A;DOLK;STT3B
KEGG_2019_Mouse,Glioma,11/75,0.0022620233480199,0.0957921560900755,0,0,3.0227232975746268,18.412905605208053,PDGFRA;CAMK2D;PIK3CA;ARAF;MDM2;PIK3CD;GRB2;CALML4;RAF1;SOS2;MAPK3
KEGG_2019_Mouse,Choline metabolism in cancer,13/99,0.002612863648621,0.0957921560900755,0,0,2.660323842642904,15.821766537546324,PDGFRA;CHKB;PIK3CD;PLA2G4A;PLD2;PIK3CA;RHEB;GRB2;PIP5K1C;RAF1;PLPP2;SOS2;MAPK3
KEGG_2019_Mouse,Protein processing in endoplasmic reticulum,18/163,0.0032269148836069,0.0957921560900755,0,0,2.1880913064594463,12.551392243508166,MBTPS1;TRAM1;SEC13;SSR4;SSR2;CUL1;SYVN1;UBE2G1;PDIA4;DNAJA1;GANAB;DNAJB11;DNAJA2;STT3A;STT3B;P4HB;SEC24D;RNF185
KEGG_2019_Mouse,GnRH signaling pathway,12/90,0.0033058491186009,0.0957921560900755,0,0,2.706169647346118,15.457808589721148,MAP3K3;MAPK11;CAMK2D;GNAS;PLA2G4A;GNRH1;GRB2;CALML4;RAF1;SOS2;PLD2;MAPK3
KEGG_2019_Mouse,Chagas disease (American trypanosomiasis),13/103,0.0037081542697993,0.0957921560900755,0,0,2.5415472481827623,14.225601700064445,ACE;PIK3CD;PPP2R2A;TNFRSF1A;C3;PPP2CB;MAPK11;PIK3CA;GNAS;CCL2;TLR6;TLR2;MAPK3
KEGG_2019_Mouse,Endometrial cancer,9/58,0.0037606174419411,0.0957921560900755,0,0,3.226770037623988,18.01561251745605,PIK3CA;ERBB2;ARAF;CTNNA1;PIK3CD;GRB2;RAF1;SOS2;MAPK3
KEGG_2019_Mouse,Acute myeloid leukemia,10/69,0.003851251587278,0.0957921560900755,0,0,2.978817508332412,16.560310252360644,CCNA1;CSF1R;PIK3CA;ZBTB16;ARAF;PIK3CD;GRB2;RAF1;SOS2;MAPK3
KEGG_2019_Mouse,mTOR signaling pathway,17/154,0.0041498406970429,0.0957921560900755,0,0,2.186083455444324,11.98997986201531,SEC13;CAB39L;PIK3CD;SLC3A2;CASTOR1;TNFRSF1A;PIK3CA;RHEB;GRB2;LAMTOR2;RAF1;LAMTOR4;ATP6V1E2;SOS2;EIF4E;WNT4;MAPK3
KEGG_2019_Mouse,Prostate cancer,12/97,0.0060977515453225,0.1208859090036185,0,0,2.4823858955346845,12.65975890767296,PDGFRA;CDKN1B;PIK3CA;ERBB2;ARAF;MDM2;PIK3CD;GRB2;RAF1;SOS2;FGFR2;MAPK3
KEGG_2019_Mouse,Citrate cycle (TCA cycle),6/32,0.0067058761474411,0.1208859090036185,0,0,4.047782301264196,20.25822388056327,SUCLA2;OGDH;DLST;DLAT;ACO2;SDHB
KEGG_2019_Mouse,Fc gamma R-mediated phagocytosis,11/87,0.0071920250899029,0.1208859090036185,0,0,2.5438310094265515,12.553252731063798,MARCKS;PTPRC;NCF1;PIK3CA;PIK3CD;PLA2G4A;PIP5K1C;RAF1;PLPP2;PLD2;MAPK3
KEGG_2019_Mouse,Central carbon metabolism in cancer,9/64,0.0072906922096298,0.1208859090036185,0,0,2.873844591163027,14.1426398064216,PDGFRA;PIK3CA;NTRK3;ERBB2;PIK3CD;RAF1;FGFR2;SIRT3;MAPK3
KEGG_2019_Mouse,Platelet activation,14/125,0.0077641497203282,0.1208859090036185,0,0,2.218828744553721,10.77959885437404,FGG;PIK3CD;PLA2G4A;PRKCZ;COL1A1;APBB1IP;MAPK11;STIM1;PIK3CA;GNAS;ORAI1;ARHGEF1;FERMT3;MAPK3
KEGG_2019_Mouse,Ubiquitin mediated proteolysis,15/138,0.007855402029116,0.1208859090036185,0,0,2.146021741116288,10.400809882841166,UBE2I;SMURF1;CUL3;CUL1;SYVN1;UBE2G1;UBE3B;RCHY1;HERC4;HERC3;UBE2S;CDC26;UBA3;MDM2;UBA1
KEGG_2019_Mouse,T cell receptor signaling pathway,12/101,0.0083804424151143,0.122178028894035,0,0,2.370314417901992,11.334498835647384,ZAP70;MAPK11;PTPRC;PIK3CA;GRAP2;PIK3CD;GRB2;RAF1;SOS2;NCK1;PAK4;MAPK3
KEGG_2019_Mouse,"Valine, leucine and isoleucine degradation",8/56,0.0101403656383158,0.140444064090675,0,0,2.9254263565891474,13.431308827390316,MCCC2;ALDH3A2;ALDH6A1;HIBADH;OXCT1;AGXT2;BCKDHB;ALDH9A1
KEGG_2019_Mouse,Proteasome,7/46,0.0112708726910614,0.144686997760406,0,0,3.149032504051092,14.12509084950413,PSMA3;PSMD11;PSMA1;PSMD13;PSMD2;PSMA7;PSMB10
KEGG_2019_Mouse,Endocytosis,24/269,0.0114913861037145,0.144686997760406,0,0,1.7271896860727294,7.713901271829776,PDGFRA;SMURF1;AGAP1;CLTA;CXCR4;AP2B1;PRKCZ;RAB11A;ARFGAP1;RAB11B;PLD2;ARFGAP2;EHD1;ACAP3;EHD4;CAPZB;CHMP1B;GRK6;MDM2;MVB12A;PIP5K1C;FOLR2;FGFR2;SNX6
KEGG_2019_Mouse,Human papillomavirus infection,30/360,0.0129340477145202,0.1531969654995622,0,0,1.604679271345938,6.976972305877671,CDKN1B;MAML1;PXN;PIK3CD;PPP2R2A;PRKCZ;PPP2CB;TBK1;ATP6V1E2;IKBKE;ATP6V0A1;JAK1;WNT4;MAPK3;HES6;TBP;TNFRSF1A;COL1A1;CCNA1;PIK3CA;NFX1;COL4A1;RHEB;GNAS;MDM2;TBPL1;GRB2;RAF1;SOS2;IRF9
KEGG_2019_Mouse,Hepatitis C,16/160,0.0132733832923808,0.1531969654995622,0,0,1.9549099239820888,8.44910994952419,ARAF;PIK3CD;NR1H3;PPP2R2A;TNFRSF1A;PPP2CB;TBK1;YWHAQ;PIK3CA;GRB2;RAF1;IKBKE;SOS2;IRF9;JAK1;MAPK3
KEGG_2019_Mouse,Neurotrophin signaling pathway,13/121,0.0139980987680505,0.15509893435,0,0,2.115931118033922,9.032558192340616,MAP3K3;CAMK2D;BDNF;NTRK3;PIK3CD;CALML4;MAPK11;PIK3CA;ARHGDIA;GRB2;RAF1;SOS2;MAPK3
KEGG_2019_Mouse,Prolactin signaling pathway,9/72,0.0153754368409071,0.1638075386512035,0,0,2.5078478318701785,10.470224706101922,MAPK11;CISH;PIK3CA;PIK3CD;GRB2;RAF1;PRLR;SOS2;MAPK3
KEGG_2019_Mouse,One carbon pool by folate,4/19,0.0172572768627953,0.1770468774442339,0,0,4.6714859437751,18.963997052692164,MTHFD1L;MTHFD1;SHMT1;GART
KEGG_2019_Mouse,Ubiquinone and other terpenoid-quinone biosynthesis,3/11,0.0188332564776098,0.1863147158677831,0,0,6.565625,26.07952266477048,NQO1;GGCX;COQ5
