Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Transcriptional misregulation in cancer	19/192	2.603264e-04	7.002780e-02	0	0	2.679206e+00	2.211302e+01	BCL11B;MAX;TFE3;DOT1L;ASPSCR1;PBX3;TMPRSS2;MLLT3;KLF3;PML;DDB2;CCNA2;RXRB;NCOR1;EWSR1;WT1;ID2;ATM;PROM1
KEGG_2021_Human	Mitophagy	8/68	5.577320e-03	7.501495e-01	0	0	3.226464e+00	1.674228e+01	BECN1;MAPK9;CALCOCO2;TFE3;MFN1;FOXO3;TBC1D17;HIF1A
KEGG_2021_Human	Notch signaling pathway	7/59	8.873816e-03	7.956855e-01	0	0	3.254735e+00	1.537748e+01	JAG2;TLE2;KAT2A;TLE1;CTBP1;HES1;DTX3
KEGG_2021_Human	Hedgehog signaling pathway	6/56	2.377651e-02	9.999934e-01	0	0	2.898008e+00	1.083582e+01	GSK3B;GRK3;KIF3A;CSNK1A1;SMURF1;CSNK1D
KEGG_2021_Human	Non-small cell lung cancer	7/72	2.464831e-02	9.999934e-01	0	0	2.602020e+00	9.635403e+00	PRKCG;RXRB;STAT3;TGFA;FOXO3;STK4;DDB2
KEGG_2021_Human	Circadian rhythm	4/31	3.379086e-02	9.999934e-01	0	0	3.573072e+00	1.210401e+01	PER1;CRY2;CSNK1D;NR1D1
KEGG_2021_Human	Thyroid hormone signaling pathway	9/121	5.346517e-02	9.999934e-01	0	0	1.941693e+00	5.686685e+00	PRKCG;RXRB;RCAN1;GSK3B;KAT2A;NCOR1;HDAC3;PLCD3;HIF1A
KEGG_2021_Human	Terpenoid backbone biosynthesis	3/22	5.561370e-02	9.999934e-01	0	0	3.804946e+00	1.099373e+01	HMGCS2;RCE1;DHDDS
KEGG_2021_Human	Pathways in cancer	29/531	5.583391e-02	9.999934e-01	0	0	1.402885e+00	4.047847e+00	GSK3B;CAMK2D;CTBP1;MAX;TGFA;LAMC2;STK4;HIF1A;RASGRP4;PLD2;RXRB;MAPK9;WNT11;PIM1;HES1;IL12RB1;PRKCG;JAG2;DAPK2;PLEKHG5;TXNRD1;STAT3;PML;DDB2;CCNA2;IL7;COL4A4;GNB5;IFNAR1
KEGG_2021_Human	Synthesis and degradation of ketone bodies	2/10	5.798210e-02	9.999934e-01	0	0	6.020389e+00	1.714379e+01	BDH2;HMGCS2
