Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Transcriptional misregulation in cancer,19/192,0.0002603263778067943,0.0700277956300276,0,0,2.6792055728471915,22.11302256836593,BCL11B;MAX;TFE3;DOT1L;ASPSCR1;PBX3;TMPRSS2;MLLT3;KLF3;PML;DDB2;CCNA2;RXRB;NCOR1;EWSR1;WT1;ID2;ATM;PROM1
KEGG_2021_Human,Mitophagy,8/68,0.0055773198114316,0.7501495146375569,0,0,3.226464391066161,16.742275170679,BECN1;MAPK9;CALCOCO2;TFE3;MFN1;FOXO3;TBC1D17;HIF1A
KEGG_2021_Human,Notch signaling pathway,7/59,0.0088738163069748,0.7956855288587418,0,0,3.2547348484848486,15.377484064166929,JAG2;TLE2;KAT2A;TLE1;CTBP1;HES1;DTX3
KEGG_2021_Human,Hedgehog signaling pathway,6/56,0.023776509839993,0.9999934106986268,0,0,2.898007566204288,10.835815961029244,GSK3B;GRK3;KIF3A;CSNK1A1;SMURF1;CSNK1D
KEGG_2021_Human,Non-small cell lung cancer,7/72,0.0246483100141124,0.9999934106986268,0,0,2.602020202020202,9.635402947192572,PRKCG;RXRB;STAT3;TGFA;FOXO3;STK4;DDB2
KEGG_2021_Human,Circadian rhythm,4/31,0.0337908638307761,0.9999934106986268,0,0,3.5730724435126957,12.104014487143717,PER1;CRY2;CSNK1D;NR1D1
KEGG_2021_Human,Thyroid hormone signaling pathway,9/121,0.053465165798212,0.9999934106986268,0,0,1.9416930379746835,5.686684833359246,PRKCG;RXRB;RCAN1;GSK3B;KAT2A;NCOR1;HDAC3;PLCD3;HIF1A
KEGG_2021_Human,Terpenoid backbone biosynthesis,3/22,0.0556137036302874,0.9999934106986268,0,0,3.804945781539276,10.993727405119246,HMGCS2;RCE1;DHDDS
KEGG_2021_Human,Pathways in cancer,29/531,0.0558339085616868,0.9999934106986268,0,0,1.4028845656335696,4.047846529809013,GSK3B;CAMK2D;CTBP1;MAX;TGFA;LAMC2;STK4;HIF1A;RASGRP4;PLD2;RXRB;MAPK9;WNT11;PIM1;HES1;IL12RB1;PRKCG;JAG2;DAPK2;PLEKHG5;TXNRD1;STAT3;PML;DDB2;CCNA2;IL7;COL4A4;GNB5;IFNAR1
KEGG_2021_Human,Synthesis and degradation of ketone bodies,2/10,0.0579820962127308,0.9999934106986268,0,0,6.02038895859473,17.14378603916348,BDH2;HMGCS2
KEGG_2021_Human,Hippo signaling pathway,11/163,0.0627420065550043,0.9999934106986268,0,0,1.749423924659364,4.843672171982708,SOX2;TEAD4;GSK3B;PATJ;WNT11;DLG5;ID2;PPP2R2D;CSNK1D;SCRIB;LLGL1
KEGG_2021_Human,Tight junction,11/169,0.0767680318931659,0.9999934106986268,0,0,1.6824600012850992,4.318819263214002,MAPK9;PATJ;CLDN4;MYL6;CLDN7;MARVELD3;PPP2R2D;SCRIB;WHAMM;SYNPO;LLGL1
KEGG_2021_Human,Thyroid hormone synthesis,6/75,0.0790369893564017,0.9999934106986268,0,0,2.097922035199298,5.324189023659078,PRKCG;TTR;DUOXA2;ASGR1;DUOX2;ASGR2
KEGG_2021_Human,Pancreatic cancer,6/76,0.0830715654389778,0.9999934106986268,0,0,2.067843631778058,5.1449041555663735,MAPK9;STAT3;TGFA;DDB2;ARHGEF6;PLD2
KEGG_2021_Human,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,3/26,0.0836252593483379,0.9999934106986268,0,0,3.142560629233122,7.797980300041985,DPM2;PIGB;PIGA
KEGG_2021_Human,Glycerophospholipid metabolism,7/98,0.0972410984342427,0.9999934106986268,0,0,1.856060606060606,4.325664009115818,CHKA;PNPLA6;PLA2G6;CDIPT;CRLS1;PLB1;PLD2
KEGG_2021_Human,Butanoate metabolism,3/28,0.0994820308333711,0.9999934106986268,0,0,2.890854271356784,6.671450599117634,BDH2;ACSM1;HMGCS2
KEGG_2021_Human,Glycosphingolipid biosynthesis,4/45,0.104139150593961,0.9999934106986268,0,0,2.351280871299279,5.3186614918476005,B4GALT3;ST8SIA1;A4GALT;B4GALT4
KEGG_2021_Human,Ubiquitin mediated proteolysis,9/140,0.1085883805795646,0.9999934106986268,0,0,1.6584211034882597,3.6820113926266114,SMURF1;FBXO2;UBE2D3;CBLB;BIRC6;RNF7;MID1;PML;DDB2
KEGG_2021_Human,Proteasome,4/46,0.110657347240237,0.9999934106986268,0,0,2.2951781970649896,5.052414356243582,PSMC5;PSMD4;PSMC3;PSME2
KEGG_2021_Human,Human papillomavirus infection,18/331,0.1158501930102108,0.9999934106986268,0,0,1.3907949585400874,2.997799232514593,HES7;GSK3B;PATJ;ATP6V1G2;VWF;CSNK1A1;SCRIB;LAMC2;CCNA2;WNT11;IRF3;COL4A4;PPP2R2D;ATM;HES1;ATP6V0E2;LLGL1;IFNAR1
KEGG_2021_Human,ErbB signaling pathway,6/85,0.124314827599475,0.9999934106986268,0,0,1.8314045365300813,3.818364909325215,PRKCG;GSK3B;MAPK9;CAMK2D;TGFA;CBLB
KEGG_2021_Human,Wnt signaling pathway,10/166,0.1289209841757457,0.9999934106986268,0,0,1.5473172792564427,3.16976545892324,PRKCG;GSK3B;MAPK9;TLE2;CAMK2D;TLE1;WNT11;CTBP1;CSNK1A1;NLK
KEGG_2021_Human,Ether lipid metabolism,4/49,0.1312517835380505,0.9999934106986268,0,0,2.141830887491265,4.349282737233281,ENPP6;PLA2G6;PLB1;PLD2
KEGG_2021_Human,Adipocytokine signaling pathway,5/69,0.1413545332534841,0.9999934106986268,0,0,1.8829699307304784,3.684000775880504,RXRB;MAPK9;STAT3;LEPR;CAMKK2
KEGG_2021_Human,Fructose and mannose metabolism,3/33,0.1436872154259992,0.9999934106986268,0,0,2.408417085427136,4.672609622677708,PFKFB4;SORD;HK2
KEGG_2021_Human,HIF-1 signaling pathway,7/109,0.1460916450732024,0.9999934106986268,0,0,1.6549440483264013,3.1833198760732757,PRKCG;ANGPT4;CAMK2D;STAT3;HIF1A;EIF4E;HK2
KEGG_2021_Human,Primary bile acid biosynthesis,2/17,0.1461906583389781,0.9999934106986268,0,0,3.209703053115851,6.171757070382955,ACOT8;CYP7B1
KEGG_2021_Human,Prolactin signaling pathway,5/70,0.1475690304937882,0.9999934106986268,0,0,1.853904282115869,3.547370221838266,GSK3B;MAPK9;STAT3;FOXO3;SOCS7
KEGG_2021_Human,Adherens junction,5/71,0.1538975772135964,0.9999934106986268,0,0,1.8257194107320047,3.416775419224888,CTNND1;LMO7;SORBS1;NLK;BAIAP2
KEGG_2021_Human,p53 signaling pathway,5/73,0.1668830605971806,0.9999934106986268,0,0,1.7718365683805009,3.17240595338829,PIDD1;SESN3;ATM;MDM4;DDB2
KEGG_2021_Human,Fanconi anemia pathway,4/54,0.1686959522840863,0.9999934106986268,0,0,1.9271446540880504,3.429657019604935,TOP3A;POLI;PMS2;HES1
KEGG_2021_Human,Glutamatergic synapse,7/114,0.1715188681171544,0.9999934106986268,0,0,1.5771972057018786,2.780696460276415,PRKCG;GRK3;HOMER2;CACNA1A;GNB5;SHANK3;PLD2
KEGG_2021_Human,Insulin signaling pathway,8/137,0.1826850762181354,0.9999934106986268,0,0,1.4952714158312015,2.541948702435676,GSK3B;MAPK9;PHKG1;PHKG2;CBLB;SORBS1;EIF4E;HK2
KEGG_2021_Human,"Neomycin, kanamycin and gentamicin biosynthesis",1/5,0.1844315223508651,0.9999934106986268,0,0,6.014097744360902,10.166694134908443,HK2
KEGG_2021_Human,Epstein-Barr virus infection,11/202,0.1860788008328145,0.9999934106986268,0,0,1.389361362851144,2.336329275416643,CCNA2;CXCL10;MAPK9;PSMC5;PSMD4;PSMC3;IRF3;STAT3;HES1;DDB2;IFNAR1
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,6/98,0.1978832934213829,0.9999934106986268,0,0,1.5715499753275948,2.546033303990616,PRKCG;MAPK9;CAMK2D;TRPV3;PLA2G6;NGF
KEGG_2021_Human,JAK-STAT signaling pathway,9/162,0.2006137643124961,0.9999934106986268,0,0,1.4183172002978406,2.278347576596418,IL7;FHL1;STAT3;LEPR;PIM1;IL12RB1;SOCS7;PTPN2;IFNAR1
KEGG_2021_Human,Pantothenate and CoA biosynthesis,2/21,0.2039694204446872,0.9999934106986268,0,0,2.5334477976622862,4.027637803954891,PANK2;PPCDC
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,8/143,0.2134287235785042,0.9999934106986268,0,0,1.428365407126469,2.2060423089244128,SOX2;GSK3B;WNT11;ID2;PCGF2;STAT3;SKIL;NODAL
KEGG_2021_Human,Spinocerebellar ataxia,8/143,0.2134287235785042,0.9999934106986268,0,0,1.428365407126469,2.2060423089244128,PRKCG;BECN1;MAPK9;PSMC5;PSMD4;NFYA;PSMC3;CACNA1A
KEGG_2021_Human,Arginine biosynthesis,2/22,0.218804995301399,0.9999934106986268,0,0,2.406649937264743,3.657083582083921,ARG2;ACY1
KEGG_2021_Human,Mannose type O-glycan biosynthesis,2/23,0.2337269947066721,0.9999934106986268,0,0,2.2919280635717274,3.331550149080345,B4GALT3;LARGE2
KEGG_2021_Human,Mismatch repair,2/23,0.2337269947066721,0.9999934106986268,0,0,2.2919280635717274,3.331550149080345,EXO1;PMS2
KEGG_2021_Human,Lysine degradation,4/63,0.2436822167258711,0.9999934106986268,0,0,1.6324059268734676,2.304778082395242,SETD2;EHMT2;DOT1L;KMT5B
KEGG_2021_Human,Protein processing in endoplasmic reticulum,9/171,0.2454708376015287,0.9999934106986268,0,0,1.3388888888888888,1.8805727083616977,MAPK9;SEC24A;FBXO2;UBE2D3;SSR1;SEC24C;SEC31B;SEC31A;HERPUD1
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",6/106,0.2495688425545064,0.9999934106986268,0,0,1.445220680958386,2.005995902983261,PRKCG;NR4A2;RXRB;JUND;PTH;PLD2
KEGG_2021_Human,Calcium signaling pathway,12/240,0.2533402972709348,0.9999934106986268,0,0,1.2688423727680065,1.7421480425638325,PRKCG;CAMK2D;P2RX4;PHKG1;SPHK1;PHKG2;CACNA1A;PLCD3;NGF;TPCN2;MYLK4;TRDN
KEGG_2021_Human,alpha-Linolenic acid metabolism,2/25,0.2637104116104324,0.9999934106986268,0,0,2.0924117614969178,2.7889833863914624,PLA2G6;PLB1
KEGG_2021_Human,FoxO signaling pathway,7/131,0.2698487423136997,0.9999934106986268,0,0,1.359756842619746,1.7811369089182123,MAPK9;HOMER2;STAT3;ATM;FOXO3;NLK;STK4
KEGG_2021_Human,Oxytocin signaling pathway,8/154,0.2742672604291291,0.9999934106986268,0,0,1.319986838231474,1.7076039366016982,PRKCG;CACNB2;RCAN1;MYL6;CAMK2D;PPP1R12C;MYLK4;CAMKK2
KEGG_2021_Human,Dopaminergic synapse,7/132,0.2760752529827768,0.9999934106986268,0,0,1.348808080808081,1.7360263253443806,PRKCG;GSK3B;MAPK9;CAMK2D;PPP2R2D;CACNA1A;GNB5
KEGG_2021_Human,Type II diabetes mellitus,3/46,0.2784902548872545,0.9999934106986268,0,0,1.6791515718125511,2.146580708562288,MAPK9;CACNA1A;HK2
KEGG_2021_Human,Acute myeloid leukemia,4/67,0.2791308636105852,0.9999934106986268,0,0,1.5284416491963662,1.9504055079320703,CCNA2;STAT3;PIM1;PML
KEGG_2021_Human,Shigellosis,12/246,0.2802415574879822,0.9999934106986268,0,0,1.2359169843286744,1.5722141267119831,GSK3B;BECN1;MAPK9;IRF3;FNBP1;CALCOCO2;UBE2D3;ATM;PLCD3;FOXO3;HK2;CYTH1
KEGG_2021_Human,Vascular smooth muscle contraction,7/133,0.2823382368345078,0.9999934106986268,0,0,1.338033108866442,1.692142909304999,NPPB;PRKCG;MYL6;RAMP3;PLA2G6;PPP1R12C;MYLK4
