Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NURSA_Human_Endogenous_Complexome	BL409 (UPF1)	69/581	6.770262e-10	1.209846e-06	0	0	2.446116e+00	5.164560e+01	TOP2A;RNH1;HP1BP3;HNRNPU;PEBP1;PPP2R2A;USP39;PCMT1;NPEPPS;YWHAQ;PSMD2;ARHGDIA;NAMPT;EFHD2;MYO18A;AP1S1;DLAT;KPNA3;G6PD;ACTL6A;ANXA5;FAM91A1;SND1;PDIA4;NUP93;PRPF4;DDX19A;MTHFD1;PSMA1;DNAJC7;MCM5;PSMD10;SF3B2;FH;PSMD11;PSMD13;SHMT1;SUPT6H;PSMA7;GANAB;TCOF1;PUF60;U2AF2;DHRS7B;LMNA;POLD2;CCT7;DTD1;SNX6;SPAG9;NQO1;XRCC6;NPM1;CPSF1;SOD2;HNRNPAB;AIMP2;HNRNPK;EIF2S3;ACTC1;EIF6;FUBP1;EIF3G;MAGED2;UBA1;HNRNPC;P4HB;NIT2;EIF3B
NURSA_Human_Endogenous_Complexome	a-ABIN1 (TNIP1)	54/431	7.977516e-09	7.127911e-06	0	0	2.580755e+00	4.812240e+01	RNH1;HIBADH;HNRNPU;PEBP1;APEH;ELAVL1;PCMT1;NPEPPS;CAPZB;YWHAQ;PSMD2;FDXR;TGM4;ACTR3;ACTR2;ANXA5;ZFR;FGG;PLA2G4A;PDIA4;NUP93;PSMA3;MTHFD1;LAP3;SF3B2;FH;COPA;PSMD11;TRMT2A;SLC3A2;C3;CYB5R3;PUF60;LMNA;RALY;CCT7;NQO1;RANBP1;HNRNPA3;XRCC6;NPM1;CPSF1;HNRNPAB;DNAJA1;AIMP2;HNRNPK;ACTC1;EIF6;EIF3G;UBA1;HNRNPC;ACO2;P4HB;EIF3B
NURSA_Human_Endogenous_Complexome	BL5432 (ERCC5)	57/480	2.130832e-08	1.269266e-05	0	0	2.428947e+00	4.290532e+01	TOP2A;RNH1;CDKN1B;DOCK7;HNRNPU;YEATS4;USP39;SMC4;SART1;METTL14;VPS72;RSRC1;PSMD2;NAMPT;EFHD2;LUC7L;ANXA7;DLAT;RBM6;RBM17;RFC3;ACTR6;ACTL6A;AIP;IL16;SND1;KLF16;NUP93;PRPF4;DDX19A;PRPF6;HEATR5A;EWSR1;MAD1L1;SF1;SF3B2;PUF60;U2AF2;TRA2B;LMNA;EP400;BRD8;CCT7;RBM39;HNRNPA3;CIZ1;NPM1;PNO1;HNRNPAB;SMU1;HNRNPK;ACTC1;EIF6;UBE2S;FUBP1;MAGED2;UBA1
NURSA_Human_Endogenous_Complexome	SC-8396 (CCND1)	60/524	3.443884e-08	1.538555e-05	0	0	2.332516e+00	4.008214e+01	TOP2A;CDKN1B;HNRNPU;ETFA;USP39;ELAVL1;SART1;YWHAQ;PSMD2;DHX57;NUDT18;ACTR2;RFC3;ACTL6A;RECQL;NOSIP;NUP93;MED23;TOX4;PSMA3;PRPF6;MTHFD1;PSMA1;DNAJC7;EWSR1;SF3B2;COPA;PSMD11;DDX27;DCTN4;HSPA14;PPP2CB;TCOF1;PUF60;LMNA;CCT7;RANBP1;RBM39;HNRNPA3;XRCC6;NPM1;RRM1;YTHDF2;CPSF1;AP2B1;HNRNPAB;GATAD2A;DNAJA1;HNRNPK;EHD4;ACTC1;PRC1;FUBP1;MAGED2;UBA1;TAF6;HNRNPC;ABCE1;EIF4G2;WRAP53
NURSA_Human_Endogenous_Complexome	BL1355 (FUS)	27/176	9.427942e-07	2.743909e-04	0	0	3.220561e+00	4.468341e+01	TOP2A;SF3B2;HP1BP3;HNRNPU;USP39;PUF60;U2AF2;LMNA;LUC7L;RBM6;RBM17;RBM39;XRCC6;RFC3;NPM1;HNRNPA3;NCBP1;ACTL6A;HNRNPAB;NUP93;PRPF4;HNRNPK;ACTC1;EWSR1;TAF6;HNRNPC;SF1
NURSA_Human_Endogenous_Complexome	CBC421 (C14orf43)	37/289	1.059461e-06	2.743909e-04	0	0	2.619977e+00	3.604499e+01	TOP2A;SF3B2;AKAP8L;HNRNPU;USP39;TANK;GIGYF2;PCMT1;GANAB;TBK1;TCOF1;YWHAQ;PUF60;U2AF2;LMNA;LONP1;RBM17;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;PNO1;DNTTIP1;DDX52;HNRNPAB;PDIA4;MED23;PRPF4;HNRNPK;PRPF6;ACTC1;EWSR1;PRC1;DNAJB11;MAGED2;P4HB
NURSA_Human_Endogenous_Complexome	BL436 (NCOA2)	49/437	1.150579e-06	2.743909e-04	0	0	2.263059e+00	3.094788e+01	TOP2A;HNRNPU;PEBP1;SMC4;ELAVL1;PCMT1;NPEPPS;TBK1;CAPZB;ARHGDIA;RFC3;G6PD;GSTO1;IMP3;NCOA3;ACTL6A;ANXA5;DDX52;DYNLL2;PDIA4;PRPF6;MTHFD1;ALDH1A1;LAP3;MAD1L1;SF3B2;SMARCD2;PSMD11;TANK;GIGYF2;TCOF1;PUF60;LMNA;RALY;SPAG9;NQO1;RBM39;HNRNPA3;CIZ1;XRCC6;NPM1;AP2B1;HNRNPAB;DNAJA1;HNRNPK;ACTC1;UBA1;HNRNPC;P4HB
NURSA_Human_Endogenous_Complexome	BL2995 (CRTC2)	43/363	1.228387e-06	2.743909e-04	0	0	2.402858e+00	3.270243e+01	TOP2A;SF3B2;PSMD11;PSMD13;HNRNPU;DLST;PEBP1;USP39;PSMA7;TCOF1;YWHAQ;MAN2A1;SIN3A;PSMD2;LMNA;NUP88;CCT7;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;PNO1;ACTL6A;ANXA5;DDX52;HNRNPAB;KLF16;GATAD2A;ALDH6A1;PSMA3;HNRNPK;PRPF6;EIF2S3;ACTC1;MTHFD1;PSMA1;PACS1;OGDH;MAGED2;UBA1;TAF6;MAD1L1
NURSA_Human_Endogenous_Complexome	BL2000 (RIF1)	33/250	2.036439e-06	3.308023e-04	0	0	2.708361e+00	3.549119e+01	TOP2A;SMARCD2;HNRNPU;USP39;BCLAF1;TCOF1;PUF60;U2AF2;LMNA;EP400;LUC7L;CCT7;FDFT1;RBM39;XRCC6;NPM1;RFC3;CIZ1;HNRNPA3;ACTL6A;ZFR;DDX52;HNRNPAB;GATAD2A;DNAJA1;DDX19A;HNRNPK;PRPF6;ACTC1;DNAJB11;MAGED2;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome	BL2840 (UIMC1)	82/896	2.101941e-06	3.308023e-04	0	0	1.821822e+00	2.381604e+01	TOP2A;RNH1;AKAP8L;ARAF;HNRNPU;DDX41;SMC4;ELAVL1;PCMT1;NPEPPS;SART1;CAPZB;YWHAQ;SNAPC2;PSMD2;EFHD2;LONP1;ANXA7;DLAT;KPNA3;HTATIP2;RFC3;NCBP1;COG4;ACTL6A;AIP;PLA2G4A;DDX52;SND1;NUP93;DDX19A;PRPF6;MTHFD1;EWSR1;PACS1;TIMELESS;ARHGEF1;MCM5;MAD1L1;SF3B2;COPA;PSMD11;PSMD13;DLST;PTDSS1;TCOF1;PUF60;U2AF2;POLD2;LMNA;CTNNA1;NUP88;CCT7;TBC1D17;ABCF3;SNX6;RBM39;HNRNPA3;XRCC6;NPM1;RRM1;PNO1;CNOT10;AP2B1;HNRNPAB;EHD1;DNAJA1;SMU1;AIMP2;ACTC1;HNRNPK;POLR3A;EIF2S3;UBE2S;FUBP1;DNAJA2;OGDH;UBA1;TAF6;MAGED2;HNRNPC;RBM45
