Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
NURSA_Human_Endogenous_Complexome,BL409 (UPF1),69/581,6.77026206300664e-10,1.2098458306592869e-06,0,0,2.4461157082100597,51.645602017964514,TOP2A;RNH1;HP1BP3;HNRNPU;PEBP1;PPP2R2A;USP39;PCMT1;NPEPPS;YWHAQ;PSMD2;ARHGDIA;NAMPT;EFHD2;MYO18A;AP1S1;DLAT;KPNA3;G6PD;ACTL6A;ANXA5;FAM91A1;SND1;PDIA4;NUP93;PRPF4;DDX19A;MTHFD1;PSMA1;DNAJC7;MCM5;PSMD10;SF3B2;FH;PSMD11;PSMD13;SHMT1;SUPT6H;PSMA7;GANAB;TCOF1;PUF60;U2AF2;DHRS7B;LMNA;POLD2;CCT7;DTD1;SNX6;SPAG9;NQO1;XRCC6;NPM1;CPSF1;SOD2;HNRNPAB;AIMP2;HNRNPK;EIF2S3;ACTC1;EIF6;FUBP1;EIF3G;MAGED2;UBA1;HNRNPC;P4HB;NIT2;EIF3B
NURSA_Human_Endogenous_Complexome,a-ABIN1 (TNIP1),54/431,7.977516252788743e-09,7.127910771866742e-06,0,0,2.580754924175051,48.12240469711359,RNH1;HIBADH;HNRNPU;PEBP1;APEH;ELAVL1;PCMT1;NPEPPS;CAPZB;YWHAQ;PSMD2;FDXR;TGM4;ACTR3;ACTR2;ANXA5;ZFR;FGG;PLA2G4A;PDIA4;NUP93;PSMA3;MTHFD1;LAP3;SF3B2;FH;COPA;PSMD11;TRMT2A;SLC3A2;C3;CYB5R3;PUF60;LMNA;RALY;CCT7;NQO1;RANBP1;HNRNPA3;XRCC6;NPM1;CPSF1;HNRNPAB;DNAJA1;AIMP2;HNRNPK;ACTC1;EIF6;EIF3G;UBA1;HNRNPC;ACO2;P4HB;EIF3B
NURSA_Human_Endogenous_Complexome,BL5432 (ERCC5),57/480,2.1308321235792186e-08,1.2692656682786878e-05,0,0,2.428946677173628,42.90532258684059,TOP2A;RNH1;CDKN1B;DOCK7;HNRNPU;YEATS4;USP39;SMC4;SART1;METTL14;VPS72;RSRC1;PSMD2;NAMPT;EFHD2;LUC7L;ANXA7;DLAT;RBM6;RBM17;RFC3;ACTR6;ACTL6A;AIP;IL16;SND1;KLF16;NUP93;PRPF4;DDX19A;PRPF6;HEATR5A;EWSR1;MAD1L1;SF1;SF3B2;PUF60;U2AF2;TRA2B;LMNA;EP400;BRD8;CCT7;RBM39;HNRNPA3;CIZ1;NPM1;PNO1;HNRNPAB;SMU1;HNRNPK;ACTC1;EIF6;UBE2S;FUBP1;MAGED2;UBA1
NURSA_Human_Endogenous_Complexome,SC-8396 (CCND1),60/524,3.4438836010932484e-08,1.538554998788409e-05,0,0,2.33251592678734,40.0821425160234,TOP2A;CDKN1B;HNRNPU;ETFA;USP39;ELAVL1;SART1;YWHAQ;PSMD2;DHX57;NUDT18;ACTR2;RFC3;ACTL6A;RECQL;NOSIP;NUP93;MED23;TOX4;PSMA3;PRPF6;MTHFD1;PSMA1;DNAJC7;EWSR1;SF3B2;COPA;PSMD11;DDX27;DCTN4;HSPA14;PPP2CB;TCOF1;PUF60;LMNA;CCT7;RANBP1;RBM39;HNRNPA3;XRCC6;NPM1;RRM1;YTHDF2;CPSF1;AP2B1;HNRNPAB;GATAD2A;DNAJA1;HNRNPK;EHD4;ACTC1;PRC1;FUBP1;MAGED2;UBA1;TAF6;HNRNPC;ABCE1;EIF4G2;WRAP53
NURSA_Human_Endogenous_Complexome,BL1355 (FUS),27/176,9.42794196251195e-07,0.00027439092036853974,0,0,3.2205613178767543,44.68341334484466,TOP2A;SF3B2;HP1BP3;HNRNPU;USP39;PUF60;U2AF2;LMNA;LUC7L;RBM6;RBM17;RBM39;XRCC6;RFC3;NPM1;HNRNPA3;NCBP1;ACTL6A;HNRNPAB;NUP93;PRPF4;HNRNPK;ACTC1;EWSR1;TAF6;HNRNPC;SF1
NURSA_Human_Endogenous_Complexome,CBC421 (C14orf43),37/289,1.0594614630590713e-06,0.00027439092036853974,0,0,2.619977085799265,36.04498931373096,TOP2A;SF3B2;AKAP8L;HNRNPU;USP39;TANK;GIGYF2;PCMT1;GANAB;TBK1;TCOF1;YWHAQ;PUF60;U2AF2;LMNA;LONP1;RBM17;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;PNO1;DNTTIP1;DDX52;HNRNPAB;PDIA4;MED23;PRPF4;HNRNPK;PRPF6;ACTC1;EWSR1;PRC1;DNAJB11;MAGED2;P4HB
NURSA_Human_Endogenous_Complexome,BL436 (NCOA2),49/437,1.1505787780507827e-06,0.00027439092036853974,0,0,2.263058585415462,30.94788163897628,TOP2A;HNRNPU;PEBP1;SMC4;ELAVL1;PCMT1;NPEPPS;TBK1;CAPZB;ARHGDIA;RFC3;G6PD;GSTO1;IMP3;NCOA3;ACTL6A;ANXA5;DDX52;DYNLL2;PDIA4;PRPF6;MTHFD1;ALDH1A1;LAP3;MAD1L1;SF3B2;SMARCD2;PSMD11;TANK;GIGYF2;TCOF1;PUF60;LMNA;RALY;SPAG9;NQO1;RBM39;HNRNPA3;CIZ1;XRCC6;NPM1;AP2B1;HNRNPAB;DNAJA1;HNRNPK;ACTC1;UBA1;HNRNPC;P4HB
NURSA_Human_Endogenous_Complexome,BL2995 (CRTC2),43/363,1.2283868846940783e-06,0.00027439092036853974,0,0,2.4028575721153844,32.70243195033004,TOP2A;SF3B2;PSMD11;PSMD13;HNRNPU;DLST;PEBP1;USP39;PSMA7;TCOF1;YWHAQ;MAN2A1;SIN3A;PSMD2;LMNA;NUP88;CCT7;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;PNO1;ACTL6A;ANXA5;DDX52;HNRNPAB;KLF16;GATAD2A;ALDH6A1;PSMA3;HNRNPK;PRPF6;EIF2S3;ACTC1;MTHFD1;PSMA1;PACS1;OGDH;MAGED2;UBA1;TAF6;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2000 (RIF1),33/250,2.03643873857515e-06,0.0003308023322844136,0,0,2.708360763660303,35.49119360053804,TOP2A;SMARCD2;HNRNPU;USP39;BCLAF1;TCOF1;PUF60;U2AF2;LMNA;EP400;LUC7L;CCT7;FDFT1;RBM39;XRCC6;NPM1;RFC3;CIZ1;HNRNPA3;ACTL6A;ZFR;DDX52;HNRNPAB;GATAD2A;DNAJA1;DDX19A;HNRNPK;PRPF6;ACTC1;DNAJB11;MAGED2;HNRNPC;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2840 (UIMC1),82/896,2.1019410468260597e-06,0.0003308023322844136,0,0,1.821821912731004,23.81603901072657,TOP2A;RNH1;AKAP8L;ARAF;HNRNPU;DDX41;SMC4;ELAVL1;PCMT1;NPEPPS;SART1;CAPZB;YWHAQ;SNAPC2;PSMD2;EFHD2;LONP1;ANXA7;DLAT;KPNA3;HTATIP2;RFC3;NCBP1;COG4;ACTL6A;AIP;PLA2G4A;DDX52;SND1;NUP93;DDX19A;PRPF6;MTHFD1;EWSR1;PACS1;TIMELESS;ARHGEF1;MCM5;MAD1L1;SF3B2;COPA;PSMD11;PSMD13;DLST;PTDSS1;TCOF1;PUF60;U2AF2;POLD2;LMNA;CTNNA1;NUP88;CCT7;TBC1D17;ABCF3;SNX6;RBM39;HNRNPA3;XRCC6;NPM1;RRM1;PNO1;CNOT10;AP2B1;HNRNPAB;EHD1;DNAJA1;SMU1;AIMP2;ACTC1;HNRNPK;POLR3A;EIF2S3;UBE2S;FUBP1;DNAJA2;OGDH;UBA1;TAF6;MAGED2;HNRNPC;RBM45
NURSA_Human_Endogenous_Complexome,BL476 (AHCTF1),43/371,2.186986656588321e-06,0.0003308023322844136,0,0,2.3432428470919326,30.53945102749776,TOP2A;SF3B2;HNRNPU;DDX41;NADSYN1;USP39;ELAVL1;SART1;TCOF1;PUF60;RSRC1;VPS72;U2AF2;LMNA;LUC7L;RBM6;SRPK2;RBM17;RBM39;NPM1;RFC3;HNRNPA3;RPS5;ACTL6A;AIP;DDX52;DYNLL2;HNRNPAB;SMU1;TOX4;PRPF4;DDX19A;HNRNPK;PRPF6;ACTC1;EIF6;HEATR5A;EWSR1;MAGED2;UBA1;GART;MAD1L1;SF1
NURSA_Human_Endogenous_Complexome,BL5502 (HDAC6),37/298,2.221392270516488e-06,0.0003308023322844136,0,0,2.528413294945899,32.913307579788864,TOP2A;COPA;DCTN4;HNRNPU;PEBP1;SMC4;TCOF1;CAPZB;YWHAQ;PUF60;LMNA;CTNNA1;MAP6;ANXA7;CCT7;SNX6;BRD4;RBM39;XRCC6;NPM1;RFC3;ACTL6A;AP2B1;DYNLL2;SND1;GATAD2A;ARFGAP2;NUP93;DNAJA1;DDX19A;HNRNPK;ACTC1;UBE2S;FUBP1;UBA1;KIFC3;MAD1L1
NURSA_Human_Endogenous_Complexome,BL2229 (FIGNL1),27/185,2.5288792349481864e-06,0.00034762363021941607,0,0,3.0356552071346377,39.1227178680532,TOP2A;RTN3;SF3B2;SHMT1;HNRNPU;PEBP1;DLST;ELAVL1;YWHAQ;TCOF1;PUF60;U2AF2;LMNA;DLAT;RBM39;SEC13;RFC3;NPM1;ACTL6A;ZFR;HNRNPAB;AIMP2;HNRNPK;ACTC1;FUBP1;UBA1;P4HB
NURSA_Human_Endogenous_Complexome,BL7546 (FOXP3),41/352,3.3103594089477268e-06,0.0004135616193117497,0,0,2.3540125037801407,29.703998004048607,TOP2A;HDAC3;HNRNPU;DLST;DDX41;USP39;SMC4;SART1;GOLGA4;TCOF1;YWHAQ;PUF60;LMNA;POLD2;EFHD2;AP3S1;DLAT;CCT7;ABCF3;RBM17;RBM39;XRCC6;NPM1;RFC3;HNRNPA3;CPSF1;PNO1;DDX52;DYNLL2;PDIA4;TOX4;MED23;DDX19A;HNRNPK;PRPF6;EWSR1;FUBP1;OGDH;MAGED2;UBA1;MAD1L1
