Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NURSA_Human_Endogenous_Complexome	BL5018 (RBM34)	6/38	3.691526e-03	9.987837e-01	0	0	4.532393e+00	2.538917e+01	TRAF7;CIITA;NCOR1;AHNAK;PCDH18;LIMS2
NURSA_Human_Endogenous_Complexome	BL2148 (TPR)	11/114	5.928687e-03	9.987837e-01	0	0	2.588315e+00	1.327276e+01	SRRM2;CENPT;HNRNPM;AHNAK;HNRNPR;TARDBP;PPP1R12C;RCOR1;PML;CCAR1;FKBP5
NURSA_Human_Endogenous_Complexome	BL8736 (PRCC)	17/216	6.164649e-03	9.987837e-01	0	0	2.075814e+00	1.056366e+01	SRRM2;JUND;AHNAK;CSNK1A1;CTNND1;HNRNPR;SCRIB;CSNK1D;HK2;HNRNPM;NCOR1;PCF11;CNOT1;CNOT2;SEC24C;SEC31A;RBM33
NURSA_Human_Endogenous_Complexome	BL2498 (DOT1L)	24/347	6.688210e-03	9.987837e-01	0	0	1.809935e+00	9.063085e+00	SRRM2;EHMT2;DOT1L;HEATR1;CTNND1;TRAFD1;HNRNPR;LIG3;LMO7;INO80;URB1;USP39;MLLT3;SMARCA2;PRDX6;HK2;CCAR1;HNRNPM;PSMC5;EWSR1;CNOT1;ERCC2;TARDBP;RCOR1
NURSA_Human_Endogenous_Complexome	SC-8987 (HNF4A)	17/227	9.905393e-03	9.987837e-01	0	0	1.965942e+00	9.072185e+00	SRRM2;CSNK1A1;SRRT;HNRNPR;CSNK1D;GAPVD1;MRPL23;CCAR1;SRRM1;MRPL4;HNRNPM;BCLAF1;ACIN1;ATXN7L2;TARDBP;RCOR1;LUC7L2
NURSA_Human_Endogenous_Complexome	BL1109 (CENPF)	16/213	1.178596e-02	9.987837e-01	0	0	1.971229e+00	8.753924e+00	SRRM2;TCERG1;CSNK1A1;CTNND1;HNRNPR;CHTF18;FOXP1;RXRB;HNRNPM;GRIP1;CNOT1;HSF2;CNOT2;TACC2;TARDBP;RCOR1
NURSA_Human_Endogenous_Complexome	BL6604 (CDC42EP3)	18/251	1.233006e-02	9.987837e-01	0	0	1.876234e+00	8.247391e+00	ZCCHC8;RPL3;AHNAK;CSNK1A1;CTNND1;CSNK1D;GAPVD1;ARHGAP12;NAP1L4;HNRNPM;PER1;TRAF7;CNOT1;ESRP2;CNOT2;CRY2;MAP4;SEC24C
NURSA_Human_Endogenous_Complexome	CBC2132 (ZNF295)	8/78	1.251619e-02	9.987837e-01	0	0	2.764096e+00	1.210876e+01	HNRNPM;MTMR12;EWSR1;CNOT1;EHMT2;STK4;TARDBP;SMARCA2
NURSA_Human_Endogenous_Complexome	BL1858 (TRIP6)	13/165	1.527405e-02	9.987837e-01	0	0	2.072762e+00	8.667461e+00	SRRM2;HNRNPR;LMO7;CCAR1;FOXP1;RXRB;HNRNPM;NCOR1;EWSR1;CNOT1;CNOT2;PMS2;RCOR1
NURSA_Human_Endogenous_Complexome	BL7338 (LRWD1)	12/154	2.084352e-02	9.987837e-01	0	0	2.046531e+00	7.921531e+00	HNRNPM;PSMC5;NCOR1;AHNAK;CNOT1;EHMT2;CTNND1;TRAFD1;IRF2BP2;CHTF18;TARDBP;EIF4G3
NURSA_Human_Endogenous_Complexome	BL462 (RBM39)	11/139	2.372281e-02	9.987837e-01	0	0	2.080058e+00	7.782160e+00	SRRM2;MBD3;HNRNPM;NCOR1;SRRT;IRF2BP2;ACIN1;HNRNPR;ASH2L;INO80;CHD3
NURSA_Human_Endogenous_Complexome	BL2014 (AGAP3)	5/43	2.761261e-02	9.987837e-01	0	0	3.175626e+00	1.139886e+01	CTNND1;GMIP;TARDBP;CCAR1;FOXP1
NURSA_Human_Endogenous_Complexome	BL1743 (CDK7)	23/375	2.827664e-02	9.987837e-01	0	0	1.587127e+00	5.659250e+00	RPL3;AHNAK;CSNK1A1;EHMT2;HEATR1;HNRNPR;LIG3;CHD3;STK4;USP39;SMARCA2;SRRM1;RXRB;HNRNPM;EWSR1;CNOT1;CNOT2;ERCC2;GAR1;PSME2;ERCC5;TARDBP;LUC7L2
NURSA_Human_Endogenous_Complexome	CBC602 (RAD18)	10/125	2.827762e-02	9.987837e-01	0	0	2.103488e+00	7.500375e+00	HNRNPM;TOP3A;SAFB2;HNRNPR;EPPK1;ART3;RCOR1;STK40;CCAR1;FOSL2
NURSA_Human_Endogenous_Complexome	BL1123 (RNF41)	11/149	3.685544e-02	9.987837e-01	0	0	1.928318e+00	6.364899e+00	PRMT8;CNOT1;SCN8A;CTNND1;STAT3;GAPVD1;TARDBP;PPP1R12C;SEC24C;CCAR1;SEC31A
NURSA_Human_Endogenous_Complexome	BL2130 (RBM15)	16/251	4.510897e-02	9.987837e-01	0	0	1.649173e+00	5.110248e+00	SRRM2;MBD3;AHNAK;MAX;EHMT2;METTL3;HIP1R;ASH2L;INO80;CHD3;CCAR1;SRRM1;CNOT1;CNOT2;TARDBP;RCOR1
NURSA_Human_Endogenous_Complexome	CBC183 (BICD2)	11/158	5.242421e-02	9.987837e-01	0	0	1.809403e+00	5.334820e+00	MED25;EWSR1;HEATR1;ERCC2;HNRNPR;LIG3;USP39;BICD2;HK2;PML;SRRM1
NURSA_Human_Endogenous_Complexome	BL2272 (TCF12)	21/359	5.302933e-02	9.987837e-01	0	0	1.506377e+00	4.424095e+00	SRRM2;MBD3;RPL3;AHNAK;NFYA;TCF25;TCF12;CTNND1;IRF2BP2;TRAFD1;HNRNPR;SCRIB;INO80;USP39;PRDX6;PML;CCAR1;HNRNPM;NCOR1;CNOT1;TARDBP
NURSA_Human_Endogenous_Complexome	BL1996 (DDB1)	7/87	5.912570e-02	9.987837e-01	0	0	2.112484e+00	5.974295e+00	SRRM2;MED25;STAT3;PMS2;CHTF18;TARDBP;PML
NURSA_Human_Endogenous_Complexome	BL1424 (FOXO1)	19/322	5.913241e-02	9.987837e-01	0	0	1.519260e+00	4.296432e+00	SRRM2;RPL3;HDAC3;CTNND1;GPS2;PSIP1;SCRIB;INO80;GAPVD1;PKD1;RXRB;HNRNPM;NCOR1;CNOT1;EXO1;ERF;TARDBP;RCOR1;MARK2
NURSA_Human_Endogenous_Complexome	BL1760 (CTBP1)	10/144	6.328056e-02	9.987837e-01	0	0	1.803435e+00	4.977801e+00	MBD3;HNRNPM;CTBP1;EHMT2;TLK2;LCOR;CHD3;TARDBP;RCOR1;CCAR1
NURSA_Human_Endogenous_Complexome	BL2377 (RFWD3)	6/71	6.403224e-02	9.987837e-01	0	0	2.227491e+00	6.121965e+00	HNRNPM;NCOR1;CNOT1;CNOT2;SCRIB;TARDBP
NURSA_Human_Endogenous_Complexome	CBC184 (BICD2)	15/244	6.574329e-02	9.987837e-01	0	0	1.585086e+00	4.314600e+00	SRRM2;RBM27;HEATR1;SRRT;HNRNPR;USP39;BICD2;SRRM1;HNRNPM;EWSR1;ERCC2;TLK2;TARDBP;ARGLU1;LUC7L2
NURSA_Human_Endogenous_Complexome	a-BARD1 (BARD1)	23/411	6.617376e-02	9.987837e-01	0	0	1.437118e+00	3.902453e+00	SRRM2;RPL3;AHNAK;HIP1R;CRMP1;HNRNPR;SCRIB;GAPVD1;HK2;TOM1L1;RXRB;HNRNPM;NCOR1;EWSR1;CNOT1;GAR1;ACIN1;RPRD1B;MAP4;TARDBP;RCOR1;ZCCHC2;ARHGEF6
NURSA_Human_Endogenous_Complexome	BL2455 (CALCOCO1)	5/55	6.794935e-02	9.987837e-01	0	0	2.411965e+00	6.485756e+00	OSBPL5;TFE3;SCRIB;TARDBP;RALGPS2
NURSA_Human_Endogenous_Complexome	BL6311 (ELL)	13/205	6.826760e-02	9.987837e-01	0	0	1.637491e+00	4.395549e+00	CTNND1;HNRNPR;SCRIB;LIG3;LMO7;MLLT3;BAIAP2;HNRNPM;SYNGAP1;EWSR1;CNOT1;MAP4;TARDBP
NURSA_Human_Endogenous_Complexome	a-PARC (CUL9)	8/109	7.047029e-02	9.987837e-01	0	0	1.912606e+00	5.073310e+00	HNRNPM;EWSR1;STAT3;ARFIP2;HNRNPR;NUP88;MAP4;GAPVD1
NURSA_Human_Endogenous_Complexome	BL3196 (SIRT2)	15/248	7.330441e-02	9.987837e-01	0	0	1.557546e+00	4.070077e+00	MBD3;RPL3;EHMT2;IRF2BP2;HNRNPR;CHD3;USP39;SIRT2;CCAR1;SRRM1;EWSR1;SNRNP70;TARDBP;ARGLU1;LUC7L2
NURSA_Human_Endogenous_Complexome	BL8901 (QSK)	8/110	7.348131e-02	9.987837e-01	0	0	1.893756e+00	4.944074e+00	SRRM2;MYL6;AHNAK;TOP3A;TUBGCP6;LMO7;EPPK1;TARDBP
NURSA_Human_Endogenous_Complexome	BL1425 (FOXO1)	16/269	7.414217e-02	9.987837e-01	0	0	1.530386e+00	3.981714e+00	SRRM2;AHNAK;CTNND1;SCRIB;NRF1;CHTF18;PRDX6;PKD1;PML;RXRB;SLC9A2;HNRNPM;CNOT1;EXO1;TARDBP;VGLL4
NURSA_Human_Endogenous_Complexome	BL2131 (RBM15)	13/208	7.462402e-02	9.987837e-01	0	0	1.612044e+00	4.183727e+00	RPL3;CTBP1;HNRNPR;HNRNPM;NCOR1;EWSR1;CNOT1;SNRNP70;PPP2R2D;ACIN1;TARDBP;PPP1R12C;RCOR1
NURSA_Human_Endogenous_Complexome	BL2210 (LATS1)	7/92	7.507764e-02	9.987837e-01	0	0	1.987701e+00	5.146619e+00	SRRM2;JAG2;AHNAK;ZSCAN21;IRF2BP2;TARDBP;PRDX6
NURSA_Human_Endogenous_Complexome	BL2728 (SIN3A)	6/74	7.511531e-02	9.987837e-01	0	0	2.128885e+00	5.511111e+00	HNRNPM;MAX;HNRNPR;TNRC18;ING1;RCOR1
NURSA_Human_Endogenous_Complexome	BL1825 (TAOK3)	8/112	7.973359e-02	9.987837e-01	0	0	1.857143e+00	4.696834e+00	HNRNPM;AHNAK;EWSR1;CNOT1;HIP1R;CRMP1;PCDH18;PPP1R12C
NURSA_Human_Endogenous_Complexome	BL2502 (REST)	23/422	8.271813e-02	9.987837e-01	0	0	1.396681e+00	3.480971e+00	ZCCHC8;RBM27;PTPN18;SETD2;RPL3;AHNAK;EHMT2;SRRT;CIRBP;HNRNPR;LMO7;INO80;CHD3;KRI1;CHTF18;USP39;SRRM1;HNRNPM;PSMC5;PSMC3;CNOT1;EPPK1;LRRFIP2
NURSA_Human_Endogenous_Complexome	BL1582 (E4F1)	20/358	8.329010e-02	9.987837e-01	0	0	1.432803e+00	3.561126e+00	SRRM2;SLC4A1AP;AHNAK;HNRNPR;SMARCA2;PHC3;PML;NAP1L4;RXRB;HNRNPM;MYL6;CNOT1;ASXL2;E4F1;MYBL2;MAP4;TARDBP;RCOR1;LIMS2;SEC31A
NURSA_Human_Endogenous_Complexome	BL3509 (KDM4A)	23/423	8.434794e-02	9.987837e-01	0	0	1.393115e+00	3.444902e+00	MBD3;JUND;AHNAK;STAT3;CTNND1;HIP1R;IRF2BP2;SCRIB;GAPVD1;CHTF18;PRDX6;SLC9A2;TIAL1;RXRB;HNRNPM;MYL6;PSMD4;CNOT1;TLK2;PSME2;TARDBP;BANP;RBM33
NURSA_Human_Endogenous_Complexome	BL2273 (TCF12)	18/317	8.598798e-02	9.987837e-01	0	0	1.456995e+00	3.574807e+00	RPL3;AHNAK;TCF12;CTNND1;CHD7;IRF2BP2;TRAFD1;HNRNPR;GAPVD1;PRDX6;HNRNPM;NCOR1;CNOT1;CNOT2;RPRD1B;MAP4;TARDBP;MARK2
NURSA_Human_Endogenous_Complexome	BL6632 (FOXK1)	10/153	8.678768e-02	9.987837e-01	0	0	1.689135e+00	4.128736e+00	HNRNPM;NCOR1;HDAC3;AHNAK;MAX;GPS2;EPPK1;INO80;ING1;RCOR1
NURSA_Human_Endogenous_Complexome	BL2129 (RBM15)	6/77	8.721838e-02	9.987837e-01	0	0	2.038613e+00	4.972869e+00	HES7;HNRNPM;CDKL5;FAM161A;PLEKHA4;TARDBP
NURSA_Human_Endogenous_Complexome	BL2158 (USP34)	25/469	8.854320e-02	9.987837e-01	0	0	1.364519e+00	3.307954e+00	RPL3;AHNAK;CTNND1;USP34;HNRNPR;CHTF18;USP39;PMS2;SRRM2;CSNK1A1;TXNRD1;GAPVD1;PRDX6;SMARCA2;HNRNPM;MYL6;PSMC5;NCOR1;PSMC3;EWSR1;CNOT1;PSME2;TARDBP;SSBP2;PPP1R12C
NURSA_Human_Endogenous_Complexome	BL-ATM (ATM)	14/235	8.950009e-02	9.987837e-01	0	0	1.531660e+00	3.696685e+00	SRRM2;JUND;AHNAK;HIP1R;HNRNPR;DNAH9;CHD3;FOSL2;HNRNPM;NCOR1;CNOT1;TUBGCP6;ATM;TARDBP
NURSA_Human_Endogenous_Complexome	BL8103 (SHC1)	8/115	8.968699e-02	9.987837e-01	0	0	1.804790e+00	4.352124e+00	SH3GLB2;PCF11;CNOT2;MAP4;TARDBP;EIF4G3;SHANK3;MARK2
NURSA_Human_Endogenous_Complexome	BL835 (MLL4)	5/60	9.106393e-02	9.987837e-01	0	0	2.192123e+00	5.252750e+00	NPPB;MYL6;ASH2L;TARDBP;BANP
NURSA_Human_Endogenous_Complexome	BL4184 (USP16)	9/135	9.179030e-02	9.987837e-01	0	0	1.724684e+00	4.118973e+00	SLC22A14;CLIC3;AHNAK;FGG;HNRNPR;EPPK1;ZFAND1;TARDBP;PRDX6
