Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Metabolism of Proteins	178/2067	1.483523e-10	2.327647e-07	0	0	1.772977e+00	4.012501e+01	KDM1B;RAB3D;CCP110;APEH;FBXO21;YARS1;FBXO22;TPGS2;PCMT1;GNAT3;PSMD2;LONP1;PMPCA;TRIM27;FBXO7;CHCHD1;RAB2B;TRAPPC2L;CISH;SLC30A5;RPS5;COG4;COG3;ALG2;ALG14;ALG10;CLPX;DHDDS;NUP93;LARS1;RAB34;TRIM13;FKBP8;TARS2;FKBP9;CARS2;PSMD10;CALCA;COPA;PSMD11;PSMD13;SDC2;CUL3;MRPL16;CUL1;PLA2G7;C3;ADAMTS15;COMMD8;ARSL;DPH1;MAN2A1;NUP88;NDUFV3;TRAPPC3;EIF2B4;PHC2;EIF2B3;UBE2I;ACE;XRCC4;ZBTB16;GFPT2;PMM2;SRD5A3;KLHL22;DOLK;TRAPPC9;MRPL23;PUM2;AIMP2;HNRNPK;CNIH1;EIF2S3;GGCX;EPRS1;UBE2S;MDM2;UBA3;STT3A;OGDH;RNF181;FBXL3;UBA1;ACO2;HNRNPC;RNF185;WRAP53;TOP2A;TRAM1;PIGT;MRPS16;MRPS11;USP33;CTSZ;USP34;MRPL32;DDA1;PIGX;CAPZB;SIN3A;NUP62;GNPNAT1;DLAT;EIF2B1;TMED7;IKBKE;ADAMTS9;NDC1;SEC13;SSR4;SSR2;ACTL6A;FGG;FN3KRP;DYNLL2;MRPL46;DARS1;ARFGAP1;ARFGAP2;MRPL53;CCNA1;PSMA3;PSMA1;EXOC3;B3GNT2;KIFC3;SEC22A;NUP58;ST6GALNAC6;NAPA;BECN1;FH;SP100;HDAC3;DCTN4;GOSR1;MRPS31;DLST;FOXK2;FSTL1;PSMA7;PSMB10;GANAB;U2AF2;OXCT1;P2RY2;LEO1;RAB29;CCT7;EIF4E;RAE1;DCAF13;MBTPS1;NPM1;FEM1A;GALNT1;TRAPPC10;SYVN1;NR1H3;UBE2G1;PEX14;WARS1;RAB11A;RAB11B;SPSB3;TSPAN15;SEC23IP;SPCS2;RAB15;EIF3J;OTULIN;MGAT4B;EIF3G;P4HB;SEC24D;FOLR2;EIF3B
Reactome_Pathways_2024	Processing of Capped Intron-Containing Pre-mRNA	43/285	1.049795e-09	8.235642e-07	0	0	3.190659e+00	6.596582e+01	SLBP;SF3B2;PDCD7;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;METTL14;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;NUP62;NUP88;RAE1;EIF4E;NDC1;CPSF4;RBM17;RBM39;SEC13;HNRNPA3;CPSF1;NCBP1;THOC3;GTF2F1;LSM4;CDC40;NUP93;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;NSRP1;NUP58;SF1;SRSF9;RBM22
Reactome_Pathways_2024	Post-translational Protein Modification	125/1457	1.486233e-07	7.773000e-05	0	0	1.722593e+00	2.708235e+01	KDM1B;RAB3D;CCP110;FBXO21;FBXO22;TPGS2;PSMD2;TRIM27;FBXO7;RAB2B;TRAPPC2L;CISH;COG4;COG3;ALG2;ALG14;ALG10;DHDDS;NUP93;RAB34;TRIM13;FKBP8;PSMD10;COPA;PSMD11;PSMD13;SDC2;CUL3;CUL1;C3;ADAMTS15;COMMD8;ARSL;DPH1;MAN2A1;NUP88;TRAPPC3;PHC2;UBE2I;XRCC4;ZBTB16;GFPT2;PMM2;SRD5A3;KLHL22;DOLK;TRAPPC9;PUM2;HNRNPK;CNIH1;GGCX;UBE2S;MDM2;UBA3;STT3A;RNF181;FBXL3;UBA1;HNRNPC;RNF185;TOP2A;PIGT;USP33;CTSZ;USP34;DDA1;PIGX;CAPZB;SIN3A;NUP62;GNPNAT1;DLAT;TMED7;IKBKE;ADAMTS9;NDC1;SEC13;ACTL6A;FGG;FN3KRP;DYNLL2;ARFGAP1;ARFGAP2;CCNA1;PSMA3;PSMA1;B3GNT2;SEC22A;NUP58;ST6GALNAC6;NAPA;BECN1;SP100;DCTN4;GOSR1;DLST;FOXK2;FSTL1;PSMA7;PSMB10;GANAB;U2AF2;LEO1;RAB29;RAE1;DCAF13;MBTPS1;NPM1;FEM1A;GALNT1;TRAPPC10;SYVN1;NR1H3;UBE2G1;PEX14;RAB11A;RAB11B;SPSB3;SEC23IP;RAB15;OTULIN;MGAT4B;P4HB;SEC24D;FOLR2
Reactome_Pathways_2024	Asparagine N-linked Glycosylation	38/306	1.619192e-06	4.309153e-04	0	0	2.530393e+00	3.373921e+01	NAPA;COPA;DCTN4;CTSZ;GOSR1;GANAB;CAPZB;MAN2A1;GNPNAT1;TMED7;TRAPPC3;SEC13;TRAPPC2L;COG4;TRAPPC10;GFPT2;COG3;PMM2;SRD5A3;ALG2;SYVN1;ALG14;DOLK;TRAPPC9;ALG10;DYNLL2;ARFGAP1;DHDDS;ARFGAP2;SEC23IP;CNIH1;MGAT4B;TRIM13;STT3A;SEC24D;RNF185;SEC22A;ST6GALNAC6
Reactome_Pathways_2024	mRNA Splicing	30/215	1.860271e-06	4.309153e-04	0	0	2.884731e+00	3.806341e+01	SF3B2;PDCD7;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;RBM17;RBM39;HNRNPA3;NCBP1;GTF2F1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;NSRP1;SF1;SRSF9;RBM22
Reactome_Pathways_2024	mRNA Splicing - Major Pathway	29/204	1.877312e-06	4.309153e-04	0	0	2.946696e+00	3.885415e+01	SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;RBM17;RBM39;HNRNPA3;NCBP1;GTF2F1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;NSRP1;SF1;SRSF9;RBM22
Reactome_Pathways_2024	Transport of Mature mRNAs Derived From Intronless Transcripts	12/43	1.922503e-06	4.309153e-04	0	0	6.826059e+00	8.984379e+01	NDC1;NUP93;SLBP;CPSF4;SEC13;CPSF1;NCBP1;NUP62;NUP88;EIF4E;RAE1;NUP58
Reactome_Pathways_2024	Metabolism of RNA	72/761	2.783728e-06	5.459586e-04	0	0	1.884088e+00	2.410072e+01	PDCD7;PRORP;GPATCH1;HNRNPU;PPP2R2A;DDX41;TFB1M;USP39;WDR46;ELAVL1;SART1;METTL14;PSMD2;NUP62;NDC1;RBM17;SEC13;NCBP1;IMP3;RPS5;THOC3;DDX52;GTF2F1;SENP3;CDC40;NUP93;PRPF4;PSMA3;CTU1;PRPF6;PSMA1;NSRP1;NUP58;SF1;SRSF9;RBM22;SLBP;SF3B2;PSMD11;PSMD13;HTATSF1;PSMA7;OSGEP;NOL6;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;NUP88;RPP14;EIF4E;RAE1;DCAF13;CPSF4;RBM39;HNRNPA3;UTP4;CPSF1;PNO1;WDR18;UPF3A;CNOT10;LSM4;SMU1;MAPK11;HNRNPK;PAN3;EPRS1;HNRNPC;TRMT61A
Reactome_Pathways_2024	HIV Infection	30/227	5.715142e-06	9.333457e-04	0	0	2.707276e+00	3.268329e+01	PSMD11;PSMD13;CXCR4;PSMA7;PSMD2;POLR2C;NUP62;MVB12A;AP1S1;NUP88;RAE1;NELFE;NDC1;RANBP1;XRCC6;SEC13;NPM1;TBP;XRCC4;NCBP1;AP2B1;GTF2F1;NUP93;PSMA3;PSMA1;PACS1;NMT1;UBAP1;TAF6;NUP58
Reactome_Pathways_2024	Class I MHC Mediated Antigen Processing & Presentation	42/373	5.948666e-06	9.333457e-04	0	0	2.265461e+00	2.725880e+01	BECN1;PSMD11;NCF1;PSMD13;RNF14;CUL3;CUL1;UBE3B;FBXO21;RCHY1;RNF4;FBXO22;PSMA7;HERC4;NPEPPS;UFL1;HERC3;RNF138;CDC26;PSMD2;RNF217;FBXO7;SEC13;HACE1;TRIM41;SMURF1;ZBTB16;GLMN;FGG;KLHL22;UBE2G1;MEX3C;PJA2;PSMA3;PSMA1;UBE2S;UBA3;FBXL3;UBA1;TLR6;SEC24D;TLR2
Reactome_Pathways_2024	Transport of Mature Transcript to Cytoplasm	16/83	8.189857e-06	1.168171e-03	0	0	4.218831e+00	4.941354e+01	NDC1;SLBP;CPSF4;SEC13;NCBP1;CPSF1;THOC3;CDC40;NUP93;U2AF2;NUP62;NUP88;EIF4E;RAE1;NUP58;SRSF9
Reactome_Pathways_2024	Transport of Mature mRNA Derived From an Intronless Transcript	11/42	1.011602e-05	1.322669e-03	0	0	6.251384e+00	7.189961e+01	NDC1;NUP93;CPSF4;SEC13;CPSF1;NCBP1;NUP62;NUP88;EIF4E;RAE1;NUP58
Reactome_Pathways_2024	Antigen Processing Ubiquitination & Proteasome Degradation	35/296	1.223919e-05	1.477176e-03	0	0	2.387178e+00	2.700105e+01	PSMD11;PSMD13;RNF14;CUL3;CUL1;UBE3B;FBXO21;RCHY1;RNF4;FBXO22;PSMA7;HERC4;NPEPPS;UFL1;HERC3;RNF138;CDC26;PSMD2;RNF217;FBXO7;HACE1;TRIM41;SMURF1;ZBTB16;GLMN;KLHL22;UBE2G1;MEX3C;PJA2;PSMA3;PSMA1;UBE2S;UBA3;FBXL3;UBA1
Reactome_Pathways_2024	Transport of the SLBP Dependant Mature mRNA	10/36	1.452264e-05	1.627573e-03	0	0	6.771453e+00	7.543265e+01	NDC1;NUP93;SLBP;SEC13;NCBP1;NUP62;NUP88;EIF4E;RAE1;NUP58
Reactome_Pathways_2024	SUMOylation of Ubiquitinylation Proteins	10/39	3.131601e-05	3.146744e-03	0	0	6.069994e+00	6.295422e+01	NDC1;NUP93;SEC13;UBE2I;NUP62;MDM2;NUP88;TRIM27;RAE1;NUP58
Reactome_Pathways_2024	SUMOylation of RNA Binding Proteins	11/47	3.208917e-05	3.146744e-03	0	0	5.381711e+00	5.568452e+01	NDC1;NUP93;PHC2;SEC13;UBE2I;HNRNPK;NUP62;NUP88;HNRNPC;RAE1;NUP58
