Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Metabolism of Proteins,178/2067,1.4835229377511343e-10,2.32764748933153e-07,0,0,1.7729770202012816,40.125007642277126,KDM1B;RAB3D;CCP110;APEH;FBXO21;YARS1;FBXO22;TPGS2;PCMT1;GNAT3;PSMD2;LONP1;PMPCA;TRIM27;FBXO7;CHCHD1;RAB2B;TRAPPC2L;CISH;SLC30A5;RPS5;COG4;COG3;ALG2;ALG14;ALG10;CLPX;DHDDS;NUP93;LARS1;RAB34;TRIM13;FKBP8;TARS2;FKBP9;CARS2;PSMD10;CALCA;COPA;PSMD11;PSMD13;SDC2;CUL3;MRPL16;CUL1;PLA2G7;C3;ADAMTS15;COMMD8;ARSL;DPH1;MAN2A1;NUP88;NDUFV3;TRAPPC3;EIF2B4;PHC2;EIF2B3;UBE2I;ACE;XRCC4;ZBTB16;GFPT2;PMM2;SRD5A3;KLHL22;DOLK;TRAPPC9;MRPL23;PUM2;AIMP2;HNRNPK;CNIH1;EIF2S3;GGCX;EPRS1;UBE2S;MDM2;UBA3;STT3A;OGDH;RNF181;FBXL3;UBA1;ACO2;HNRNPC;RNF185;WRAP53;TOP2A;TRAM1;PIGT;MRPS16;MRPS11;USP33;CTSZ;USP34;MRPL32;DDA1;PIGX;CAPZB;SIN3A;NUP62;GNPNAT1;DLAT;EIF2B1;TMED7;IKBKE;ADAMTS9;NDC1;SEC13;SSR4;SSR2;ACTL6A;FGG;FN3KRP;DYNLL2;MRPL46;DARS1;ARFGAP1;ARFGAP2;MRPL53;CCNA1;PSMA3;PSMA1;EXOC3;B3GNT2;KIFC3;SEC22A;NUP58;ST6GALNAC6;NAPA;BECN1;FH;SP100;HDAC3;DCTN4;GOSR1;MRPS31;DLST;FOXK2;FSTL1;PSMA7;PSMB10;GANAB;U2AF2;OXCT1;P2RY2;LEO1;RAB29;CCT7;EIF4E;RAE1;DCAF13;MBTPS1;NPM1;FEM1A;GALNT1;TRAPPC10;SYVN1;NR1H3;UBE2G1;PEX14;WARS1;RAB11A;RAB11B;SPSB3;TSPAN15;SEC23IP;SPCS2;RAB15;EIF3J;OTULIN;MGAT4B;EIF3G;P4HB;SEC24D;FOLR2;EIF3B
Reactome_Pathways_2024,Processing of Capped Intron-Containing Pre-mRNA,43/285,1.0497950302052306e-09,8.235642011960034e-07,0,0,3.190658773045137,65.96582009061083,SLBP;SF3B2;PDCD7;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;METTL14;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;NUP62;NUP88;RAE1;EIF4E;NDC1;CPSF4;RBM17;RBM39;SEC13;HNRNPA3;CPSF1;NCBP1;THOC3;GTF2F1;LSM4;CDC40;NUP93;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;NSRP1;NUP58;SF1;SRSF9;RBM22
Reactome_Pathways_2024,Post-translational Protein Modification,125/1457,1.486233262898658e-07,7.772999964959982e-05,0,0,1.722592895609597,27.0823483962344,KDM1B;RAB3D;CCP110;FBXO21;FBXO22;TPGS2;PSMD2;TRIM27;FBXO7;RAB2B;TRAPPC2L;CISH;COG4;COG3;ALG2;ALG14;ALG10;DHDDS;NUP93;RAB34;TRIM13;FKBP8;PSMD10;COPA;PSMD11;PSMD13;SDC2;CUL3;CUL1;C3;ADAMTS15;COMMD8;ARSL;DPH1;MAN2A1;NUP88;TRAPPC3;PHC2;UBE2I;XRCC4;ZBTB16;GFPT2;PMM2;SRD5A3;KLHL22;DOLK;TRAPPC9;PUM2;HNRNPK;CNIH1;GGCX;UBE2S;MDM2;UBA3;STT3A;RNF181;FBXL3;UBA1;HNRNPC;RNF185;TOP2A;PIGT;USP33;CTSZ;USP34;DDA1;PIGX;CAPZB;SIN3A;NUP62;GNPNAT1;DLAT;TMED7;IKBKE;ADAMTS9;NDC1;SEC13;ACTL6A;FGG;FN3KRP;DYNLL2;ARFGAP1;ARFGAP2;CCNA1;PSMA3;PSMA1;B3GNT2;SEC22A;NUP58;ST6GALNAC6;NAPA;BECN1;SP100;DCTN4;GOSR1;DLST;FOXK2;FSTL1;PSMA7;PSMB10;GANAB;U2AF2;LEO1;RAB29;RAE1;DCAF13;MBTPS1;NPM1;FEM1A;GALNT1;TRAPPC10;SYVN1;NR1H3;UBE2G1;PEX14;RAB11A;RAB11B;SPSB3;SEC23IP;RAB15;OTULIN;MGAT4B;P4HB;SEC24D;FOLR2
Reactome_Pathways_2024,Asparagine N-linked Glycosylation,38/306,1.6191922756097817e-06,0.000430915277814903,0,0,2.530393487109905,33.73921190784712,NAPA;COPA;DCTN4;CTSZ;GOSR1;GANAB;CAPZB;MAN2A1;GNPNAT1;TMED7;TRAPPC3;SEC13;TRAPPC2L;COG4;TRAPPC10;GFPT2;COG3;PMM2;SRD5A3;ALG2;SYVN1;ALG14;DOLK;TRAPPC9;ALG10;DYNLL2;ARFGAP1;DHDDS;ARFGAP2;SEC23IP;CNIH1;MGAT4B;TRIM13;STT3A;SEC24D;RNF185;SEC22A;ST6GALNAC6
Reactome_Pathways_2024,mRNA Splicing,30/215,1.8602714357971696e-06,0.000430915277814903,0,0,2.884730884730885,38.06341288704187,SF3B2;PDCD7;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;RBM17;RBM39;HNRNPA3;NCBP1;GTF2F1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;NSRP1;SF1;SRSF9;RBM22
Reactome_Pathways_2024,mRNA Splicing - Major Pathway,29/204,1.8773121506487928e-06,0.000430915277814903,0,0,2.94669558145839,38.85415408731353,SF3B2;GPATCH1;HNRNPU;DDX41;HTATSF1;USP39;SART1;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;RBM17;RBM39;HNRNPA3;NCBP1;GTF2F1;LSM4;CDC40;SMU1;PRPF4;HNRNPK;PRPF6;HNRNPC;NSRP1;SF1;SRSF9;RBM22
Reactome_Pathways_2024,Transport of Mature mRNAs Derived From Intronless Transcripts,12/43,1.922502832826209e-06,0.000430915277814903,0,0,6.826059456040481,89.84379360462272,NDC1;NUP93;SLBP;CPSF4;SEC13;CPSF1;NCBP1;NUP62;NUP88;EIF4E;RAE1;NUP58
Reactome_Pathways_2024,Metabolism of RNA,72/761,2.783727892901949e-06,0.0005459586329953947,0,0,1.884087806264616,24.100722843940584,PDCD7;PRORP;GPATCH1;HNRNPU;PPP2R2A;DDX41;TFB1M;USP39;WDR46;ELAVL1;SART1;METTL14;PSMD2;NUP62;NDC1;RBM17;SEC13;NCBP1;IMP3;RPS5;THOC3;DDX52;GTF2F1;SENP3;CDC40;NUP93;PRPF4;PSMA3;CTU1;PRPF6;PSMA1;NSRP1;NUP58;SF1;SRSF9;RBM22;SLBP;SF3B2;PSMD11;PSMD13;HTATSF1;PSMA7;OSGEP;NOL6;WDR70;PUF60;U2AF2;POLR2C;TRA2B;PPP1R8;NUP88;RPP14;EIF4E;RAE1;DCAF13;CPSF4;RBM39;HNRNPA3;UTP4;CPSF1;PNO1;WDR18;UPF3A;CNOT10;LSM4;SMU1;MAPK11;HNRNPK;PAN3;EPRS1;HNRNPC;TRMT61A
Reactome_Pathways_2024,HIV Infection,30/227,5.715142018011799e-06,0.0009333456999593826,0,0,2.707275803722504,32.68329316001475,PSMD11;PSMD13;CXCR4;PSMA7;PSMD2;POLR2C;NUP62;MVB12A;AP1S1;NUP88;RAE1;NELFE;NDC1;RANBP1;XRCC6;SEC13;NPM1;TBP;XRCC4;NCBP1;AP2B1;GTF2F1;NUP93;PSMA3;PSMA1;PACS1;NMT1;UBAP1;TAF6;NUP58
Reactome_Pathways_2024,Class I MHC Mediated Antigen Processing & Presentation,42/373,5.9486660290591625e-06,0.0009333456999593826,0,0,2.2654605291797627,27.25879940947915,BECN1;PSMD11;NCF1;PSMD13;RNF14;CUL3;CUL1;UBE3B;FBXO21;RCHY1;RNF4;FBXO22;PSMA7;HERC4;NPEPPS;UFL1;HERC3;RNF138;CDC26;PSMD2;RNF217;FBXO7;SEC13;HACE1;TRIM41;SMURF1;ZBTB16;GLMN;FGG;KLHL22;UBE2G1;MEX3C;PJA2;PSMA3;PSMA1;UBE2S;UBA3;FBXL3;UBA1;TLR6;SEC24D;TLR2
