Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Loss of MECP2 Binding Ability to the NCoR SMRT Complex	3/7	1.970390e-03	7.404953e-01	0	0	1.808763e+01	1.126773e+02	HDAC3;NCOR1;GPS2
Reactome_Pathways_2024	NOTCH1 Intracellular Domain Regulates Transcription	7/48	2.791788e-03	7.404953e-01	0	0	4.130328e+00	2.429076e+01	TLE2;KAT2A;HDAC3;TLE1;NCOR1;HES1;HIF1A
Reactome_Pathways_2024	NR1H2 & NR1H3 Regulate Gene Expression to Control Bile Acid Homeostasis	3/9	4.453322e-03	7.404953e-01	0	0	1.205716e+01	6.527873e+01	RXRB;NCOR1;NR1H2
Reactome_Pathways_2024	FGFR2 Alternative Splicing	5/28	4.595971e-03	7.404953e-01	0	0	5.250794e+00	2.826279e+01	TIAL1;HNRNPM;RBFOX2;ESRP2;ESRP1
Reactome_Pathways_2024	Nuclear Receptor Transcription Pathway	7/53	4.922616e-03	7.404953e-01	0	0	3.680418e+00	1.955743e+01	RXRB;NR4A2;NCOR1;NR1H2;NR2F1;NR1D2;NR1D1
Reactome_Pathways_2024	Mitochondrial Unfolded Protein Response (UPRmt)	4/18	4.941874e-03	7.404953e-01	0	0	6.895597e+00	3.661570e+01	NRF1;FOXO3;ATF5;SIRT3
Reactome_Pathways_2024	COPII-mediated Vesicle Transport	8/69	6.093588e-03	7.404953e-01	0	0	3.173406e+00	1.618601e+01	SEC24A;PPP6R3;TGFA;CSNK1D;SEC24C;NAPG;SEC31B;SEC31A
Reactome_Pathways_2024	Regulation of FOXO Transcriptional Activity by Acetylation	3/10	6.174300e-03	7.404953e-01	0	0	1.033417e+01	5.257364e+01	TXNIP;FOXO3;SIRT3
Reactome_Pathways_2024	Circadian Clock	8/70	6.645343e-03	7.404953e-01	0	0	3.122059e+00	1.565350e+01	PER1;NCOR1;HDAC3;CRY2;CSNK1D;NR1D1;KLF15;HIF1A
Reactome_Pathways_2024	PPARA Activates Gene Expression	11/117	7.183735e-03	7.404953e-01	0	0	2.514666e+00	1.241223e+01	RXRB;MED25;NCOR1;HDAC3;NFYA;NR1H2;TXNRD1;GPS2;NRF1;NR1D1;HMGCS2
Reactome_Pathways_2024	Regulation of Lipid Metabolism by PPARalpha	11/119	8.129382e-03	7.404953e-01	0	0	2.467839e+00	1.187591e+01	RXRB;MED25;NCOR1;HDAC3;NFYA;NR1H2;TXNRD1;GPS2;NRF1;NR1D1;HMGCS2
Reactome_Pathways_2024	STAT3 Nuclear Events Downstream of ALK Signaling	3/11	8.239864e-03	7.404953e-01	0	0	9.041928e+00	4.339015e+01	HDAC3;STAT3;HIF1A
