Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Loss of MECP2 Binding Ability to the NCoR SMRT Complex,3/7,0.0019703901385216,0.7404952862552349,0,0,18.087625628140703,112.67729281628536,HDAC3;NCOR1;GPS2
Reactome_Pathways_2024,NOTCH1 Intracellular Domain Regulates Transcription,7/48,0.0027917882606771,0.7404952862552349,0,0,4.130327666913033,24.290758253837883,TLE2;KAT2A;HDAC3;TLE1;NCOR1;HES1;HIF1A
Reactome_Pathways_2024,NR1H2 & NR1H3 Regulate Gene Expression to Control Bile Acid Homeostasis,3/9,0.0044533219288751,0.7404952862552349,0,0,12.0571608040201,65.27873411770334,RXRB;NCOR1;NR1H2
Reactome_Pathways_2024,FGFR2 Alternative Splicing,5/28,0.0045959708561489,0.7404952862552349,0,0,5.2507939984667615,28.26279387228893,TIAL1;HNRNPM;RBFOX2;ESRP2;ESRP1
Reactome_Pathways_2024,Nuclear Receptor Transcription Pathway,7/53,0.0049226161838375,0.7404952862552349,0,0,3.6804183135704873,19.55743061686513,RXRB;NR4A2;NCOR1;NR1H2;NR2F1;NR1D2;NR1D1
Reactome_Pathways_2024,Mitochondrial Unfolded Protein Response (UPRmt),4/18,0.0049418744059149,0.7404952862552349,0,0,6.895597484276729,36.61569563384708,NRF1;FOXO3;ATF5;SIRT3
Reactome_Pathways_2024,COPII-mediated Vesicle Transport,8/69,0.0060935880989922,0.7404952862552349,0,0,3.1734057325236784,16.18601366914869,SEC24A;PPP6R3;TGFA;CSNK1D;SEC24C;NAPG;SEC31B;SEC31A
Reactome_Pathways_2024,Regulation of FOXO Transcriptional Activity by Acetylation,3/10,0.0061743003551182,0.7404952862552349,0,0,10.334170854271356,52.57364439586223,TXNIP;FOXO3;SIRT3
Reactome_Pathways_2024,Circadian Clock,8/70,0.0066453425571714,0.7404952862552349,0,0,3.1220586436115982,15.653499503233022,PER1;NCOR1;HDAC3;CRY2;CSNK1D;NR1D1;KLF15;HIF1A
Reactome_Pathways_2024,PPARA Activates Gene Expression,11/117,0.0071837354613548,0.7404952862552349,0,0,2.514665740829422,12.4122285847031,RXRB;MED25;NCOR1;HDAC3;NFYA;NR1H2;TXNRD1;GPS2;NRF1;NR1D1;HMGCS2
Reactome_Pathways_2024,Regulation of Lipid Metabolism by PPARalpha,11/119,0.0081293816119733,0.7404952862552349,0,0,2.467839349501786,11.875910304901693,RXRB;MED25;NCOR1;HDAC3;NFYA;NR1H2;TXNRD1;GPS2;NRF1;NR1D1;HMGCS2
Reactome_Pathways_2024,STAT3 Nuclear Events Downstream of ALK Signaling,3/11,0.0082398641974164,0.7404952862552349,0,0,9.041928391959798,43.39014751369308,HDAC3;STAT3;HIF1A
Reactome_Pathways_2024,Signaling by NOTCH1,8/74,0.0092370720262915,0.7404952862552349,0,0,2.9322300118760296,13.736120407040069,JAG2;TLE2;KAT2A;TLE1;NCOR1;HDAC3;HES1;HIF1A
Reactome_Pathways_2024,Transcriptional Regulation by E2F6,5/34,0.0106904607003018,0.7404952862552349,0,0,4.163119951359333,18.89391798537391,MAX;EHMT2;PCGF2;EPC1;PHC3
Reactome_Pathways_2024,Phospholipid Metabolism,16/211,0.0108383292238249,0.7404952862552349,0,0,1.991656023839932,9.0115791422003,CHKA;MTMR12;PLEKHA1;ABHD4;OSBPL5;PLEKHA6;PLEKHA4;PLA2G6;CRLS1;PLB1;PLD2;TNFAIP8L3;PNPLA6;ENPP6;SBF1;CDIPT
Reactome_Pathways_2024,Telomere Extension By Telomerase,4/23,0.0122115990742787,0.7404952862552349,0,0,5.0796425024826215,22.37769978991745,CCNA2;RTEL1;PPP6R3;GAR1
Reactome_Pathways_2024,Disorders of Developmental Biology,3/13,0.0134569273122572,0.7404952862552349,0,0,7.232788944723618,31.160744439209825,HDAC3;NCOR1;GPS2
Reactome_Pathways_2024,Pervasive Developmental Disorders,3/13,0.0134569273122572,0.7404952862552349,0,0,7.232788944723618,31.160744439209825,HDAC3;NCOR1;GPS2
Reactome_Pathways_2024,Loss of Function of MECP2 in Rett Syndrome,3/13,0.0134569273122572,0.7404952862552349,0,0,7.232788944723618,31.160744439209825,HDAC3;NCOR1;GPS2
Reactome_Pathways_2024,Disorders of Nervous System Development,3/13,0.0134569273122572,0.7404952862552349,0,0,7.232788944723618,31.160744439209825,HDAC3;NCOR1;GPS2
Reactome_Pathways_2024,PTK6 Expression,2/5,0.0147076273982501,0.7404952862552349,0,0,16.058552906733585,67.75728227962675,PTK6;HIF1A
Reactome_Pathways_2024,NR1H2 & NR1H3 Regulate Gene Expression to Limit Cholesterol Uptake,2/5,0.0147076273982501,0.7404952862552349,0,0,16.058552906733585,67.75728227962675,RXRB;NR1H2
Reactome_Pathways_2024,NR1H2 & NR1H3 Regulate Gene Expression Linked to Triglyceride Lipolysis in Adipose,2/5,0.0147076273982501,0.7404952862552349,0,0,16.058552906733585,67.75728227962675,RXRB;NR1H2
Reactome_Pathways_2024,Chromatin Modifying Enzymes,17/238,0.0152631756479934,0.7404952862552349,0,0,1.867007672634271,7.808408914521143,MBD3;SETD2;BRPF1;HDAC3;EHMT2;DOT1L;GPS2;ASH2L;CHD3;SMARCA2;KAT2A;NCOR1;PADI3;EPC1;KMT5B;BRWD1;RCOR1
Reactome_Pathways_2024,Chromatin Organization,17/238,0.0152631756479934,0.7404952862552349,0,0,1.867007672634271,7.808408914521143,MBD3;SETD2;BRPF1;HDAC3;EHMT2;DOT1L;GPS2;ASH2L;CHD3;SMARCA2;KAT2A;NCOR1;PADI3;EPC1;KMT5B;BRWD1;RCOR1
Reactome_Pathways_2024,Repression of WNT Target Genes,3/14,0.0166263081133497,0.7404952862552349,0,0,6.574920054819552,26.935928737132,TLE2;TLE1;CTBP1
Reactome_Pathways_2024,RNA Polymerase II Transcription,70/1360,0.0173036807084522,0.7404952862552349,0,0,1.3332163630756797,5.4086401940350175,GSK3B;EHMT2;UBE2D3;ASH2L;CHD3;SOX2;PIDD1;SESN3;EXO1;PCF11;EPC1;NELFB;MYBL2;TEAD4;TCF12;TOP3A;HUS1;SIRT3;DDB2;SRRM1;CCNA2;MED25;KAT2A;NCOR1;TXNIP;SRSF5;SRSF7;FKBP5;FYTTD1;CAMK2D;HDAC3;MAX;SRRT;TGFA;GPS2;FOXO3;MLLT3;RXRB;PMS2;HES1;ZKSCAN5;RPRD1B;SKIL;SRSF11;BANP;MBD3;CBX6;BRPF1;NFYA;SMURF1;NR1H2;PCGF2;TXNRD1;NR2F1;NR1D2;NR1D1;SMARCA2;PHC3;PRDX6;PML;NR4A2;PSMC5;RGCC;PSMC3;CNOT1;CNOT2;ERCC2;ITGBL1;MDM4;ATM
Reactome_Pathways_2024,Association of TriC CCT With Target Proteins During Biosynthesis,5/39,0.0187984564514208,0.7404952862552349,0,0,3.5499703659801454,14.107513067367345,AP3M1;HDAC3;USP11;SPHK1;STAT3
Reactome_Pathways_2024,PI Metabolism,8/84,0.0189297988453821,0.7404952862552349,0,0,2.5450795129416464,10.096376086697807,MTMR12;PLEKHA1;PLEKHA6;TNFAIP8L3;PLEKHA4;PNPLA6;ENPP6;SBF1
