Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2024_Mouse	mRNA Processing WP310	55/444	8.678368e-09	1.258363e-06	0	0	2.548288e+00	4.730242e+01	FMR1;HNRNPU;DDX41;CSAD;ELAVL1;EIF2D;NELFE;RBM6;RBM17;IMP3;RBM18;CDC40;PRPF4;DDX19A;PRPF6;EWSR1;ESRP2;RBMS1;RBMS2;SRSF9;RBM22;SLBP;SF3B2;TRMT2A;HTATSF1;BCLAF1;PUF60;U2AF2;TRA2B;PPP1R8;RALY;RPP14;EIF4E;RAE1;SRPK2;CPSF4;RBM39;PPP1R14B;CIZ1;HNRNPA3;NPM1;CPSF1;MRPL23;LSM4;HNRNPAB;TARBP2;CLK3;PUM2;HNRNPK;GGCX;EIF3G;HNRNPC;RBM45;EIF4G2;EIF3B
WikiPathways_2024_Mouse	TCA Cycle WP434	8/31	1.859225e-04	9.993363e-03	0	0	6.113327e+00	5.251458e+01	PDP1;SUCLA2;OGDH;DLST;DLAT;ACO2;SDHB;PDK2
WikiPathways_2024_Mouse	Translation Factors WP307	10/48	2.067592e-04	9.993363e-03	0	0	4.630156e+00	3.928204e+01	EIF2B4;EIF2B3;EEF2K;EIF6;EIF3G;EIF4EBP2;EIF2B1;EIF4E;EIF4G2;EIF3B
WikiPathways_2024_Mouse	Transcriptional Activation By Nfe2l2 Response To Phytochemicals WP1245	4/14	5.527911e-03	1.699614e-01	0	0	7.009082e+00	3.643283e+01	NQO1;AIMP2;PIK3CA;HMOX1
WikiPathways_2024_Mouse	EGFR1 Signaling Pathway WP572	18/175	6.786281e-03	1.699614e-01	0	0	2.019557e+00	1.008335e+01	MAP3K3;PTPRR;HIP1;PXN;ARAF;PEBP1;PIK3CD;PRKCZ;PLD2;PIK3CA;SIN3A;GRB2;RAF1;SOS2;APPL2;NCK1;JAK1;MAPK3
WikiPathways_2024_Mouse	IL 2 Signaling Pathway WP450	10/76	7.701462e-03	1.699614e-01	0	0	2.661894e+00	1.295369e+01	CISH;PIK3CA;PIK3CD;GRB2;RAF1;PRKCZ;EIF4E;JAK1;MAPK3;EIF3B
WikiPathways_2024_Mouse	Tryptophan Metabolism WP79	7/44	8.857704e-03	1.699614e-01	0	0	3.319602e+00	1.568999e+01	ALDH3A2;GCDH;ALDH1A1;OGDH;MDM2;WARS1;ALDH9A1
WikiPathways_2024_Mouse	ErbB Signaling Pathway WP1261	7/46	1.127087e-02	1.699614e-01	0	0	3.149033e+00	1.412509e+01	CDKN1B;ERBB2;ARAF;GRB2;NCK1;PAK4;EREG
WikiPathways_2024_Mouse	Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855	5/26	1.172147e-02	1.699614e-01	0	0	4.173514e+00	1.855683e+01	COL1A1;CDKN1B;RHEB;RAF1;MAPK3
WikiPathways_2024_Mouse	EPO Receptor Signaling WP1249	5/26	1.172147e-02	1.699614e-01	0	0	4.173514e+00	1.855683e+01	PTPRC;CISH;GRB2;RAF1;MAPK3
WikiPathways_2024_Mouse	Proteasome Degradation WP519	7/51	1.932851e-02	2.547849e-01	0	0	2.790449e+00	1.101160e+01	PSMA3;PSMD11;PSMD13;PSMD2;UBA1;PSMB10;PSMA7
WikiPathways_2024_Mouse	IL 5 Signaling Pathway WP151	8/68	3.002519e-02	3.054906e-01	0	0	2.338853e+00	8.199359e+00	CDKN1B;PLA2G4A;HCLS1;UNC119;GRB2;RAF1;JAK1;MAPK3
WikiPathways_2024_Mouse	Glycerolipids And Glycerophospholipids WP4345	4/23	3.324176e-02	3.054906e-01	0	0	3.687235e+00	1.255116e+01	PTDSS2;PTDSS1;CHKB;DGAT1
WikiPathways_2024_Mouse	Kennedy Pathway WP1771	3/14	3.682103e-02	3.054906e-01	0	0	4.774242e+00	1.576305e+01	PTDSS2;PTDSS1;CHKB
WikiPathways_2024_Mouse	IL 3 Signaling Pathway WP373	10/99	4.174208e-02	3.054906e-01	0	0	1.971580e+00	6.262223e+00	CISH;PIK3CA;PXN;ID1;PIK3CD;GRB2;RAF1;GATA2;JAK1;MAPK3
WikiPathways_2024_Mouse	IL 6 Signaling Pathway WP387	10/99	4.174208e-02	3.054906e-01	0	0	1.971580e+00	6.262223e+00	PTPA;PPP2CB;PXN;ERBB2;PPP2R2A;GRB2;RAF1;EIF4E;JAK1;MAPK3
WikiPathways_2024_Mouse	G1 To S Cell Cycle Control WP413	7/60	4.260032e-02	3.054906e-01	0	0	2.315494e+00	7.307453e+00	CDKN1C;CCNA1;CDKN1B;ORC6;CCNG2;MDM2;MCM5
WikiPathways_2024_Mouse	Novel Jun Dmp1 Pathway WP3654	4/25	4.363085e-02	3.054906e-01	0	0	3.335716e+00	1.044743e+01	ARAF;MDM2;RAF1;MAPK3
WikiPathways_2024_Mouse	Cholesterol Biosynthesis WP103	3/15	4.422157e-02	3.054906e-01	0	0	4.376157e+00	1.364723e+01	IDI1;FDPS;FDFT1
WikiPathways_2024_Mouse	Exercise Induced Circadian Regulation WP544	6/49	4.782304e-02	3.054906e-01	0	0	2.445294e+00	7.434299e+00	DNAJA1;IDI1;PPP2CB;NCOA4;ZFR;EIF4G2
WikiPathways_2024_Mouse	Estrogen Signaling WP1244	8/75	4.947647e-02	3.054906e-01	0	0	2.093717e+00	6.294255e+00	TBP;HDAC3;PIK3CA;SIN3A;POLR2C;GNAS;TAF6;GRB2
WikiPathways_2024_Mouse	Insulin Signaling WP65	14/159	5.012627e-02	3.054906e-01	0	0	1.695481e+00	5.074930e+00	MAP3K3;PTPN1;PIK3CD;PRKCZ;EHD1;MAPK11;PIK3CA;RHEB;RHOJ;GRB2;RAF1;SOS2;EIF4E;MAPK3
WikiPathways_2024_Mouse	Non Homologous End Joining WP1242	2/7	5.129728e-02	3.054906e-01	0	0	6.997965e+00	2.078478e+01	XRCC6;XRCC4
WikiPathways_2024_Mouse	Parkinson 39 S Disease WP3638	5/38	5.267080e-02	3.054906e-01	0	0	2.654186e+00	7.813111e+00	MAPK11;EPRS1;CASP6;UBE2G1;UBA1
WikiPathways_2024_Mouse	G13 Signaling Pathway WP298	5/38	5.267080e-02	3.054906e-01	0	0	2.654186e+00	7.813111e+00	PIK3CA;MYL1;PIK3CD;SRA1;ARHGEF1
WikiPathways_2024_Mouse	Cholesterol Metabolism W Bloch And Kandutsch Russell Pathways WP4346	6/52	6.087755e-02	3.297181e-01	0	0	2.285455e+00	6.396738e+00	IDI1;FDPS;EBP;SOAT1;NR1H3;FDFT1
WikiPathways_2024_Mouse	Mapk Cascade WP251	4/28	6.223936e-02	3.297181e-01	0	0	2.918289e+00	8.103409e+00	MAP3K3;ARAF;RAF1;MAPK3
WikiPathways_2024_Mouse	Regulation Of Actin Cytoskeleton WP523	13/150	6.366970e-02	3.297181e-01	0	0	1.665461e+00	4.586758e+00	PDGFRA;PXN;RASSF7;PIK3CD;PIK3CA;MYL1;ARHGEF1;PIP5K1C;RAF1;SOS2;FGFR2;MAPK3;PAK4
WikiPathways_2024_Mouse	One Carbon Metabolism WP435	4/29	6.923479e-02	3.461739e-01	0	0	2.801409e+00	7.480467e+00	MTHFD1L;MTHFD1;SHMT1;GART
WikiPathways_2024_Mouse	MicroRNAs In Cardiomyocyte Hypertrophy WP1560	8/83	7.996504e-02	3.829537e-01	0	0	1.869594e+00	4.722904e+00	CAMK2D;CISH;PIK3CA;PIK3CD;RAF1;IKBKE;FGFR2;MAPK3
WikiPathways_2024_Mouse	Heme Biosynthesis WP18	2/9	8.187287e-02	3.829537e-01	0	0	4.998018e+00	1.250798e+01	ALAS2;UROD
WikiPathways_2024_Mouse	BMP Signaling Pathway In Eyelid Development WP3663	3/20	9.089057e-02	4.118479e-01	0	0	3.088235e+00	7.405894e+00	FOXC2;FGFR2;MAPK3
WikiPathways_2024_Mouse	Osteoblast Signaling WP238	2/10	9.877532e-02	4.303183e-01	0	0	4.373034e+00	1.012317e+01	COL1A1;PDGFRA
WikiPathways_2024_Mouse	ESC Pluripotency Pathways WP339	10/117	1.023381e-01	4.303183e-01	0	0	1.638345e+00	3.734563e+00	PDGFRA;ACTR2;ARAF;MDM2;PIK3CD;GRB2;RAF1;FGFR2;WNT4;JAK1
WikiPathways_2024_Mouse	Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841	23/322	1.073491e-01	4.303183e-01	0	0	1.351089e+00	3.015182e+00	PDGFRA;CSF1R;CDKN1B;ANGPT2;CAB39L;PIK3CD;PRLR;ELAVL1;RAB11B;COL1A1;PPP2CB;COL5A1;PIK3CA;COL4A1;RHEB;MDM2;GRB2;TEK;RAF1;EIF4E;FGFR2;JAK1;MAPK3
WikiPathways_2024_Mouse	Mechanisms Associated With Pluripotency WP1763	21/290	1.080517e-01	4.303183e-01	0	0	1.370802e+00	3.050234e+00	UBE2I;KDM4C;SMURF1;MBD2;HNRNPU;PIK3CD;GATAD2A;RCN2;ZFP281;EWSR1;SIN3A;ID1;LEO1;EP400;MDM2;GRB2;RAF1;EZH1;SF1;JAK1;MAPK3
WikiPathways_2024_Mouse	Fatty Acid Beta Oxidation WP1269	4/34	1.098054e-01	4.303183e-01	0	0	2.333889e+00	5.155669e+00	GCDH;ACSS2;CHKB;CRAT
WikiPathways_2024_Mouse	GDNF RET Signaling Axis WP4820	3/23	1.255811e-01	4.791909e-01	0	0	2.624583e+00	5.445496e+00	FOXC2;SOX17;IFT25
WikiPathways_2024_Mouse	Nucleotide GPCRs WP207	2/12	1.350249e-01	4.887942e-01	0	0	3.498057e+00	7.004147e+00	P2RY6;P2RY2
WikiPathways_2024_Mouse	IL 9 Signaling Pathway WP10	3/24	1.380592e-01	4.887942e-01	0	0	2.499471e+00	4.949133e+00	GRB2;JAK1;MAPK3
WikiPathways_2024_Mouse	IL 1 Signaling Pathway WP37	4/37	1.382108e-01	4.887942e-01	0	0	2.121381e+00	4.198160e+00	TOLLIP;PELI1;PRKCZ;MAPK3
WikiPathways_2024_Mouse	Amino Acid Metabolism WP662	8/95	1.425911e-01	4.919038e-01	0	0	1.610692e+00	3.137264e+00	HIBADH;EPRS1;HDC;ALDH1A1;OGDH;DLST;ACO2;WARS1
WikiPathways_2024_Mouse	Alpha 6 Beta 4 Integrin Signaling Pathway WP488	6/66	1.464714e-01	4.919038e-01	0	0	1.750882e+00	3.363313e+00	PIK3CA;EIF6;ERBB2;PIK3CD;GRB2;EIF4E
WikiPathways_2024_Mouse	One Carbon Metabolism And Related Pathways WP1770	5/52	1.492674e-01	4.919038e-01	0	0	1.862196e+00	3.541926e+00	CHKB;AGXT2;SHMT1;CSAD;SOD2
