Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2024_Mouse	mRNA Processing WP310	34/444	2.363330e-04	2.954162e-02	0	0	2.036965e+00	1.700920e+01	RNASEH2A;SFSWAP;CELF3;HNRNPR;RNPC3;CSAD;TIAL1;BCLAF1;HNRNPDL;SNRNP70;SAFB2;EIF4E;SRSF11;RBM33;RBFOX2;METTL3;CIRBP;IMP4;DICER1;MRPL23;TARBP2;SRRM1;HNRNPM;EWSR1;ESRP2;ESRP1;ACIN1;SRSF5;CLASRP;SLIRP;TARDBP;BRWD1;SRSF7;EIF4G3
WikiPathways_2024_Mouse	Mechanisms Associated With Pluripotency WP1763	22/290	3.151315e-03	1.969572e-01	0	0	2.000259e+00	1.152136e+01	PRKCG;MBD3;GSK3B;TLE2;CTBP1;SMURF1;EHMT2;TFE3;STAT3;NR2F1;HIF1A;SMARCA2;PML;SOX2;NPPB;EWSR1;PIM1;PIM3;MYBL2;ERCC5;NODAL;STK40
WikiPathways_2024_Mouse	Wnt Signaling Pathway And Pluripotency WP723	10/97	5.367110e-03	2.236296e-01	0	0	2.784552e+00	1.455615e+01	SOX2;PRKCG;GSK3B;MAPK9;WNT11;NFYA;CTBP1;CTNND1;PPP2R2D;NLK
WikiPathways_2024_Mouse	Exercise Induced Circadian Regulation WP544	6/49	1.292619e-02	3.526911e-01	0	0	3.371008e+00	1.465883e+01	PER1;CRY2;KLF9;NR1D2;NR1D1;HERPUD1
WikiPathways_2024_Mouse	ID Signaling Pathway WP512	6/50	1.420672e-02	3.526911e-01	0	0	3.294222e+00	1.401375e+01	CCNA2;PSMD4;ID2;TCF12;HES1;NGF
WikiPathways_2024_Mouse	Nuclear Receptors WP509	5/38	1.692917e-02	3.526911e-01	0	0	3.657736e+00	1.491887e+01	RXRB;NR4A2;NR1H2;NR2F1;NR1D2
WikiPathways_2024_Mouse	IL 7 Signaling Pathway WP297	5/43	2.761261e-02	4.930824e-01	0	0	3.175626e+00	1.139886e+01	CCNA2;GSK3B;STAT3;CBLB;FOXO3
WikiPathways_2024_Mouse	Notch Signaling Pathway WP29	5/46	3.569812e-02	5.577832e-01	0	0	2.942803e+00	9.807353e+00	JAG2;KAT2A;CTBP1;HES1;DTX3
WikiPathways_2024_Mouse	Delta Notch Signaling Pathway WP265	7/82	4.545474e-02	6.313158e-01	0	0	2.253906e+00	6.966909e+00	JAG2;GSK3B;TLE1;NCOR1;FHL1;STAT3;HES1
WikiPathways_2024_Mouse	Proteasome Degradation WP519	5/51	5.211800e-02	6.514750e-01	0	0	2.622248e+00	7.746764e+00	PSMC5;PSMD4;PSMC3;UBE2D3;PSME2
