gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Sh3glb2,5.645,1.022750703,0,0,-2.7322692,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Nkx2-9,2.333333333,0.577350269,0,0,-1.736965594,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Irf3,25.22866667,6.307272813,0,0,-4.713072565,FALSE,TRUE,GF_specific_high,0.0001,0,TRUE
Acot8,1.728,0.436402337,0,0,-1.447843644,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Nr4a2,49.50366667,10.08930723,0,0,-5.658316229,FALSE,TRUE,GF_specific_high,0.0001,0,TRUE
Chid1,2.318,0.102474387,0,0,-1.730313886,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Pex1,107.0966667,21.63620524,0,0,-6.756178226,FALSE,TRUE,high_in_SCFA,0.0001,0,TRUE
Entpd4,9.240666667,1.447637501,1.915333333,0.68687141,-1.812576885,FALSE,FALSE,high_in_GF,0,0,TRUE
Syngap1,8.732333333,1.521365943,0,0,-3.282785734,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Clec4b1,9.900333333,1.146574173,0,0,-3.446300348,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Ifnar1,1.343666667,0.311689482,0,0,-1.228767394,FALSE,TRUE,high_in_GF,0.02,0.02,TRUE
Gm1673,3.065666667,0.360019907,0,0,-2.023491937,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
Impdh1,1.700333333,0.168167575,0,0,-1.433137507,FALSE,TRUE,high_in_SCFA,0.01,0.01,TRUE
Phkg1,6.039666667,2.738655388,0,0,-2.815507118,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Hip1r,15.52466667,4.739286163,0,0,-4.046549265,FALSE,TRUE,GF_specific_medium,0.001,0,TRUE
Kif24,19.66666667,4.163331999,0,0,-4.36923381,FALSE,TRUE,SCFA_specific_high,0.001,0,TRUE
Adamts10,1.574666667,0.746555647,0,0,-1.364385664,FALSE,TRUE,GF_specific_low,0.01,0.01,TRUE
