gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Irf3,25.22866666666667,6.307272812661059,0.0,0.0,-4.713072565003415,False,True,GF_specific_high,0.0001,0.0,True
Nr4a2,49.50366666666667,10.089307227621395,0.0,0.0,-5.658316229084151,False,True,GF_specific_high,0.0001,0.0,True
Unc79,81.481,35.82718061751441,0.0,0.0,-6.365989918940319,False,True,GF_specific_high,0.0001,0.0,True
Pex1,23.903333333333336,26.969749300528054,150.33333333333334,19.857828011475306,2.603319030448803,False,False,GF_specific_high,0.0,0.0,True
Rxrb,0.0,0.0,151.09833333333333,53.265664102997285,7.24886053412636,True,False,GF_specific_high,0.0001,0.0,True
Rbm27,63.973333333333336,27.188350029623596,0.0,0.0,-6.021775816696435,False,True,GF_specific_high,0.0001,0.0,True
Nr2f1,20.657,9.115989962697414,0.0,0.0,-4.436761504736685,False,True,GF_specific_high,0.0001,0.0,True
Ccdc114,140.49666666666667,81.34788631755181,386.1503333333333,64.75339401400775,1.452125817394492,False,False,GF_specific_high,0.02,0.02,True
Gm10778,0.0,0.0,29.333333333333332,14.46835627614047,4.92283213947754,True,False,GF_specific_high,0.0001,0.0,True
Klhl18,0.0,0.0,21.929333333333332,6.885463044221015,4.5191225042903325,True,False,GF_specific_high,0.0001,0.0,True
Tubgcp6,0.0,0.0,129.6723333333333,39.88209179987095,7.029809907893799,True,False,GF_specific_high,0.0001,0.0,True
Klhl18,22.666666666666668,11.372481406154654,0.0,0.0,-4.564784618783526,False,True,GF_specific_high,0.0001,0.0,True
Ctbp1,44.69833333333333,21.4190328757704,0.0,0.0,-5.514069644512469,False,True,GF_specific_high,0.0001,0.0,True
Gm10778,20.361666666666668,12.257340997676998,0.0,0.0,-4.41695230735906,False,True,GF_specific_high,0.0001,0.0,True
Tnnt3,20.02033333333333,12.048811780973812,0.0,0.0,-4.393713642138642,False,True,GF_specific_high,0.0001,0.0,True
Cacnb2,23.70866666666667,10.566012745275925,0.0,0.0,-4.626945256695802,False,True,GF_specific_high,0.0001,0.0,True
Rxrb,78.98266666666666,41.68829544768331,0.0,0.0,-6.321615477093686,False,True,GF_specific_high,0.0001,0.0,True
Tubgcp6,97.964,57.88941558696201,0.0,0.0,-6.628831908293178,False,True,GF_specific_high,0.0001,0.0,True
