gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Sh3glb2,5.6450000000000005,1.0227507027619194,0.0,0.0,-2.73226919950145,False,True,GF_specific_medium,0.001,0.0,True
Nkx2-9,2.3333333333333335,0.5773502691896258,0.0,0.0,-1.7369655941662063,False,True,GF_specific_low,0.01,0.01,True
Irf3,25.22866666666667,6.307272812661059,0.0,0.0,-4.713072565003415,False,True,GF_specific_high,0.0001,0.0,True
Acot8,1.728,0.43640233729896544,0.0,0.0,-1.4478436443620855,False,True,GF_specific_low,0.01,0.01,True
Nr4a2,49.50366666666667,10.089307227621395,0.0,0.0,-5.658316229084151,False,True,GF_specific_high,0.0001,0.0,True
Chid1,2.318,0.10247438704378768,0.0,0.0,-1.7303138862937761,False,True,GF_specific_low,0.01,0.01,True
Pex1,107.09666666666668,21.636205243372356,0.0,0.0,-6.756178225727814,False,True,high_in_SCFA,0.0001,0.0,True
Entpd4,9.240666666666668,1.447637500665596,1.9153333333333336,0.6868714096054176,-1.8125768849283652,False,False,high_in_GF,0.0,0.0,True
Syngap1,8.732333333333335,1.5213659432672122,0.0,0.0,-3.282785733563587,False,True,GF_specific_medium,0.001,0.0,True
Clec4b1,9.900333333333334,1.1465741726261471,0.0,0.0,-3.4463003483293737,False,True,GF_specific_medium,0.001,0.0,True
Ifnar1,1.3436666666666666,0.31168948223084675,0.0,0.0,-1.2287673937602575,False,True,high_in_GF,0.02,0.02,True
Gm1673,3.065666666666667,0.36001990685701457,0.0,0.0,-2.023491937253423,False,True,GF_specific_low,0.01,0.01,True
Impdh1,1.7003333333333333,0.16816757515446706,0.0,0.0,-1.4331375067814107,False,True,high_in_SCFA,0.01,0.01,True
Phkg1,6.039666666666666,2.7386553878378592,0.0,0.0,-2.815507117821063,False,True,GF_specific_medium,0.001,0.0,True
Hip1r,15.524666666666667,4.7392861628449205,0.0,0.0,-4.046549265065277,False,True,GF_specific_medium,0.001,0.0,True
Kif24,19.666666666666668,4.163331998932266,0.0,0.0,-4.369233809665719,False,True,SCFA_specific_high,0.001,0.0,True
Adamts10,1.5746666666666667,0.7465556465082381,0.0,0.0,-1.364385663567407,False,True,GF_specific_low,0.01,0.01,True
Zfp738,7.012333333333333,2.6006945867081996,0.3333333333333333,0.5773502691896258,-2.5871849428832014,False,False,GF_specific_medium,0.001,0.0,True
Serpina1e,9.256333333333332,2.6138066748199518,0.7163333333333334,0.620435599666342,-2.5791133812448797,False,False,high_in_GF,0.02,0.02,True
Ccser1,23.090999999999998,1.2877736602369216,8.919333333333332,0.686933281573497,-1.2801792128930123,False,False,high_in_GF,0.0,0.0,True
Unc79,81.481,35.82718061751441,0.0,0.0,-6.365989918940319,False,True,GF_specific_high,0.0001,0.0,True
Ccdc114,176.508,82.99280183847272,0.0,0.0,-7.4717402358018665,False,True,high_in_SCFA,0.0001,0.0,True
Gja6,3.6666666666666665,0.5773502691896258,1.0,0.0,-1.2223924213364479,False,False,GF_specific_low,0.01,0.01,True
Pnmal1,1.6666666666666667,0.5773502691896257,0.0,0.0,-1.415037499278844,False,True,high_in_GF,0.04,0.04,True
Spin2c,10.666666666666666,1.1547005383792517,2.3333333333333335,0.5773502691896258,-1.807354922057604,False,False,high_in_GF,0.0,0.0,True
Wdr25,9.030999999999999,2.891390495937897,0.8713333333333333,1.5091936036616815,-2.4223269685283815,False,False,high_in_GF,0.02,0.02,True
Fcgbp,98.20333333333333,21.127743143396398,7.294333333333333,12.63415594067658,-3.5801906647880273,False,False,high_in_GF,0.01,0.01,True
Fnbp1,19.672666666666668,6.298646071445302,0.0,0.0,-4.369652595824476,False,True,GF_specific_medium,0.001,0.0,True
Igkv6-25,3.0,1.7320508075688772,0.0,0.0,-2.0,False,True,GF_specific_low,0.01,0.01,True
Slc38a10,4.166666666666667,1.3077891012442846,0.46199999999999997,0.8002074730968213,-1.8212904983753688,False,False,high_in_GF,0.02,0.02,True
Bdh2,14.333333333333334,2.516611478423583,2.0,3.4641016151377544,-2.3536369546147005,False,False,high_in_GF,0.01,0.01,True
Mylk4,6.126333333333334,2.798967726382949,0.6666666666666666,0.5773502691896258,-2.0961943727599333,False,False,GF_specific_medium,0.001,0.0,True
Ctse,3.6666666666666665,0.5773502691896258,0.6666666666666666,0.5773502691896258,-1.4854268271702418,False,False,GF_specific_low,0.01,0.01,True
Zup1,4.958333333333333,0.7368645284808691,0.5123333333333333,0.8873873637444548,-1.978132677089732,False,False,high_in_GF,0.0,0.0,True
Ifitm6,39.81366666666667,2.285204658960183,18.451,6.809934140650702,-1.0692079991122472,False,False,high_in_GF,0.02,0.02,True
Rgs3,20.153666666666666,5.735927940040158,6.845666666666666,2.055569345299091,-1.4309398072247745,False,False,high_in_GF,0.04,0.04,True
Ift122,74.92066666666666,14.641924236019435,23.322999999999997,13.734807752567928,-1.6421714790259516,False,False,high_in_GF,0.01,0.01,True
Acy1,10.723,2.5182668643334845,3.3806666666666665,1.530425539950681,-1.420119466527925,False,False,high_in_GF,0.02,0.02,True
Vmn2r57,4.0,1.0,0.6666666666666666,1.1547005383792517,-1.5849625007211563,False,False,high_in_GF,0.02,0.02,True
Gm14391,12.446666666666665,1.609587007071482,3.014666666666667,2.6276168543631573,-1.7438964707756461,False,False,high_in_GF,0.01,0.01,True
Hes7,2.6666666666666665,0.5773502691896258,0.6666666666666666,0.5773502691896258,-1.137503523749935,False,False,GF_specific_low,0.01,0.01,True
Gpr27,9.0,1.7320508075688772,3.6666666666666665,2.3094010767585034,-1.0995356735509145,False,False,high_in_GF,0.04,0.04,True
Acin1,40.107,7.918153635791619,11.245333333333335,10.220535325183969,-1.74715204106351,False,False,high_in_GF,0.02,0.02,True
Rbm27,63.973333333333336,27.188350029623596,0.0,0.0,-6.021775816696435,False,True,GF_specific_high,0.0001,0.0,True
Chtf18,7.8580000000000005,3.011679431812091,0.984,1.7043379946477752,-2.158568971498441,False,False,high_in_GF,0.04,0.04,True
Kdelr1,173.23866666666666,53.62321919032214,25.526,44.212328914003166,-2.7155857739798512,False,False,high_in_GF,0.02,0.02,True
Nr2f1,20.657,9.115989962697414,0.0,0.0,-4.436761504736685,False,True,GF_specific_high,0.0001,0.0,True
Bank1,5.713333333333334,3.862899084021395,0.0,0.0,-2.747029277510904,False,True,GF_specific_medium,0.001,0.0,True
Meis2,12.581666666666669,4.572412310075868,0.0,0.0,-3.7635886248526176,False,True,SCFA_specific_high,0.001,0.0,True
1700088E04Rik,2.792,0.36106509108469637,0.816,0.7117703281255829,-1.0621947616073442,False,False,high_in_GF,0.02,0.02,True
Llph,16.363,6.879889243294546,0.0,0.0,-4.117944334789297,False,True,GF_specific_medium,0.001,0.0,True
Ash2l,9.673,4.178441934501424,0.0,0.0,-3.41589384525681,False,True,GF_specific_medium,0.001,0.0,True
Stk4,16.780666666666665,4.757535531484062,4.312,3.749929599339166,-1.742982365658337,False,False,high_in_GF,0.03,0.03,True
Ciita,14.762333333333332,11.46505369953989,0.0,0.0,-3.9784092108527718,False,True,GF_specific_medium,0.001,0.0,True
Lepr,39.783,30.552376077811036,0.0,0.0,-5.349895998881687,False,True,GF_specific_medium,0.001,0.0,True
Rnf7,2.903666666666666,1.5135033311272665,0.0,0.0,-1.9648298667127133,False,True,GF_specific_low,0.01,0.01,True
Sec24a,36.02,28.778832498904467,0.0,0.0,-5.210232990095849,False,True,GF_specific_medium,0.001,0.0,True
Cyp4f40,5.0,2.6457513110645907,0.0,0.0,-2.584962500721156,False,True,GF_specific_low,0.01,0.01,True
Sec24c,146.62566666666666,38.17838074530314,38.54366666666667,34.41988794771611,-1.9004250191854268,False,False,high_in_GF,0.02,0.02,True
Mrps17,6.075666666666667,1.4608550007900623,1.6509999999999998,1.7114003038447783,-1.4163294143305059,False,False,high_in_GF,0.03,0.03,True
Plekha4,3.078,1.7309751586894593,0.0,0.0,-2.027861775354509,False,True,GF_specific_low,0.01,0.01,True
Cfap77,9.881666666666666,8.344511629408478,0.0,0.0,-3.4438276356287445,False,True,GF_specific_medium,0.001,0.0,True
Psmd4,291.62733333333335,35.08668736619822,142.01000000000002,57.22634958653226,-1.032948501812293,False,False,high_in_GF,0.03,0.03,True
Mcrip2,3.6199999999999997,3.127493085523931,0.0,0.0,-2.2078928516413328,False,True,GF_specific_low,0.01,0.01,True
Bcl11b,3.0,1.7320508075688772,0.0,0.0,-2.0,False,True,GF_specific_low,0.01,0.01,True
Il12rb1,4.666666666666667,2.0816659994661326,0.3333333333333333,0.5773502691896258,-2.0874628412503395,False,False,GF_specific_low,0.01,0.01,True
Slc5a12,5.097666666666666,3.6332652440103144,0.0,0.0,-2.6082572865413227,False,True,GF_specific_medium,0.001,0.0,True
Duox2,6.646999999999999,4.04645857509996,0.3333333333333333,0.5773502691896258,-2.519856374802427,False,False,GF_specific_medium,0.001,0.0,True
Pbx2,133.258,45.947548541788386,20.244333333333334,35.06421389869354,-2.659858079923024,False,False,high_in_GF,0.03,0.03,True
Ttc33,3.0683333333333334,2.5227874134245503,0.0,0.0,-2.0244378892852732,False,True,GF_specific_low,0.01,0.01,True
Atxn7l1,16.735666666666667,18.532778537859166,0.0,0.0,-4.148581655699917,False,True,GF_specific_medium,0.001,0.0,True
Cd209a,5.675666666666667,4.893224839850846,0.0,0.0,-2.738911918997544,False,True,GF_specific_medium,0.001,0.0,True
Rab36,8.547,7.736420877899547,0.0,0.0,-3.2550474593191705,False,True,GF_specific_medium,0.001,0.0,True
Gm2000,5.359333333333333,5.634514383097565,0.0,0.0,-2.66887553168792,False,True,GF_specific_medium,0.001,0.0,True
Art3,56.75899999999999,47.661618971663145,0.0,0.0,-5.851973859489009,False,True,GF_specific_medium,0.001,0.0,True
Celf3,8.751666666666667,8.900692913101391,0.0,0.0,-3.2856488123233887,False,True,GF_specific_medium,0.001,0.0,True
Gk5,6.0,3.0,0.0,0.0,-2.807354922057604,False,True,GF_specific_medium,0.001,0.0,True
Klhl18,22.666666666666668,11.372481406154654,0.0,0.0,-4.564784618783526,False,True,GF_specific_high,0.0001,0.0,True
Olfr464,1.6666666666666667,0.5773502691896257,0.0,0.0,-1.415037499278844,False,True,high_in_GF,0.04,0.04,True
Ctbp1,44.69833333333333,21.4190328757704,0.0,0.0,-5.514069644512469,False,True,GF_specific_high,0.0001,0.0,True
Nell1,5.0,3.0,0.0,0.0,-2.584962500721156,False,True,GF_specific_low,0.01,0.01,True
Asgr2,13.666666666666666,1.5275252316519468,3.3706666666666667,1.258275936880831,-1.7466157641999256,False,False,high_in_GF,0.0,0.0,True
Llgl1,91.48,69.17243111963032,0.0,0.0,-6.531069492725954,False,True,GF_specific_medium,0.001,0.0,True
Arhgef10l,73.456,50.764271569677824,0.0,0.0,-6.218316207246912,False,True,GF_specific_medium,0.001,0.0,True
Itgbl1,17.14833333333333,9.472482479969722,0.0,0.0,-4.181765158141961,False,True,GF_specific_medium,0.001,0.0,True
Gm10778,20.361666666666668,12.257340997676998,0.0,0.0,-4.41695230735906,False,True,GF_specific_high,0.0001,0.0,True
Abca7,536.6886666666667,193.05554137950386,115.642,140.8612624499724,-2.2046837008565694,False,False,SCFA_specific_high,0.04,0.04,True
Cacna1a,5.772666666666666,3.9321584827335396,0.0,0.0,-2.7597239917443637,False,True,GF_specific_medium,0.001,0.0,True
Pde2a,103.19599999999998,96.17708275883605,0.0,0.0,-6.7031560845607245,False,True,GF_specific_medium,0.001,0.0,True
Erich2,248.85966666666664,48.97598009568908,115.279,20.590186424605292,-1.103527465237563,False,False,high_in_GF,0.03,0.03,True
Crls1,32.90866666666667,35.12733283830888,0.0,0.0,-5.08358215170112,False,True,GF_specific_medium,0.001,0.0,True
Fgfbp3,10.666666666666666,2.081665999466133,3.6666666666666665,3.2145502536643185,-1.3219280948873624,False,False,high_in_GF,0.04,0.04,True
Igkv3-2,6.0,4.58257569495584,0.6666666666666666,0.5773502691896258,-2.070389327891398,False,False,GF_specific_medium,0.001,0.0,True
Ctnnd1,107.51866666666666,103.38306372580246,0.0,0.0,-6.761799416694341,False,True,GF_specific_medium,0.001,0.0,True
Tm2d1,15.569666666666665,8.920200801177813,0.0,0.0,-4.050472674925057,False,True,GF_specific_medium,0.001,0.0,True
Tnnt3,20.02033333333333,12.048811780973812,0.0,0.0,-4.393713642138642,False,True,GF_specific_high,0.0001,0.0,True
Trnau1ap,4.117999999999999,3.1741096389381385,0.0,0.0,-2.355580147377359,False,True,GF_specific_low,0.01,0.01,True
Cacnb2,23.70866666666667,10.566012745275925,0.0,0.0,-4.626945256695802,False,True,GF_specific_high,0.0001,0.0,True
Rxrb,78.98266666666666,41.68829544768331,0.0,0.0,-6.321615477093686,False,True,GF_specific_high,0.0001,0.0,True
Adgrl2,14.596333333333334,6.823245146800263,0.0,0.0,-3.9631349891294905,False,True,GF_specific_medium,0.001,0.0,True
Pecam1,22.663333333333338,1.9757090710257257,2.3683333333333336,4.102073662592291,-2.812546492104084,False,False,high_in_GF,0.01,0.01,True
Gbp2b,3.6666666666666665,0.5773502691896258,0.3333333333333333,0.5773502691896258,-1.807354922057604,False,False,GF_specific_low,0.01,0.01,True
Naip2,9.801333333333334,4.1454535738967495,0.0,0.0,-3.433137506781411,False,True,GF_specific_medium,0.001,0.0,True
