gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Lratd1,13.230333333333334,7.125809451096298,30.459999999999997,6.052668832837297,1.1445492146014598,False,False,high_in_SCFA,0.03,0.03,True
Mapk9,3.308666666666667,5.730778771976225,22.874666666666666,8.260806336752687,2.470167194661302,False,False,high_in_SCFA,0.03,0.03,True
Zfp513,20.442666666666668,22.965307516628933,81.92566666666666,19.886854385078934,1.9513343710399966,False,False,high_in_SCFA,0.03,0.03,True
Vwa5b2,0.5,0.5,2.3333333333333335,1.0408329997330663,1.15200309344505,False,False,SCFA_specific_low,0.01,0.01,True
Srsf11,31.023,19.675808191787194,78.51566666666668,10.707224679315054,1.3121306673680482,False,False,high_in_SCFA,0.03,0.03,True
Gkap1,2.0313333333333334,3.5183725404415793,11.784,3.986954225972504,2.0763149049045935,False,False,high_in_SCFA,0.03,0.03,True
Tcerg1,69.982,62.10505685529963,266.90066666666667,61.291782584073474,1.9161730416224207,False,False,high_in_SCFA,0.02,0.02,True
Rbm27,23.421000000000003,24.733155742848503,97.34566666666667,17.380196958991387,2.0097392079488845,False,False,high_in_SCFA,0.02,0.02,True
Plekhh3,0.963,1.6679649276888286,5.126666666666666,1.0649677616403856,1.6420421879890694,False,False,high_in_SCFA,0.03,0.03,True
Usp33,36.94166666666667,32.110782026187614,167.44033333333334,44.558709096352125,2.1503826769936096,False,False,high_in_SCFA,0.02,0.02,True
Krt86,0.3333333333333333,0.5773502691896258,3.000666666666666,1.0010001665001524,1.5852029298594323,False,False,SCFA_specific_low,0.01,0.01,True
Klf9,52.01766666666666,15.401718616223754,146.17366666666666,39.52891954421892,1.4729744744782864,False,False,high_in_SCFA,0.04,0.04,True
Clcn7,4.504666666666666,7.8023115378286025,36.06766666666667,9.674606055717895,2.7514341937219564,False,False,high_in_SCFA,0.01,0.01,True
Bag6,703.3863333333334,363.64065767228686,1569.4363333333333,114.79243896848494,1.1567266331863284,False,False,high_in_SCFA,0.04,0.04,True
Jag2,223.06566666666666,105.88773269993712,481.1046666666666,28.33732443850924,1.105424791547222,False,False,high_in_SCFA,0.04,0.04,True
Stx1a,2.9569999999999994,3.7398177763094287,12.496333333333332,1.4720653291662484,1.770088540532432,False,False,high_in_SCFA,0.03,0.03,True
